Feedstock_LAU,Location,Distance_km
CLUSTER_0,A,96.22439712639681
CLUSTER_0,B,134.1241794452091
CLUSTER_0,C,88.40911247825939
CLUSTER_0,D,107.41319089472235
CLUSTER_0,E,150.55993249137308
CLUSTER_0,F,50.1299008851587
CLUSTER_0,G,82.4762917754951
CLUSTER_0,H,150.2522407385519
CLUSTER_0,I,82.30032917083842
CLUSTER_0,J,185.99036684061596
CLUSTER_0,K,189.69203771405256
CLUSTER_0,L,130.65951348657012
CLUSTER_0,M,26.462777803031067
CLUSTER_0,N,56.903746053816654
CLUSTER_0,O,136.11702933167084
CLUSTER_0,P,130.17166375846952
CLUSTER_0,Q,41.42602301817925
CLUSTER_0,R,123.76595070329826
CLUSTER_0,S,95.36433811029318
CLUSTER_0,T,89.40615929370982
CLUSTER_1,A,90.01856110251121
CLUSTER_1,B,228.5314391832724
CLUSTER_1,C,60.11056509836246
CLUSTER_1,D,181.28428594099503
CLUSTER_1,E,234.181319690638
CLUSTER_1,F,128.89564254820036
CLUSTER_1,G,14.298948848296144
CLUSTER_1,H,140.0120637658079
CLUSTER_1,I,126.15101283082151
CLUSTER_1,J,281.07774934502925
CLUSTER_1,K,281.1458412995151
CLUSTER_1,L,107.23568111808109
CLUSTER_1,M,81.5040817572205
CLUSTER_1,N,148.3309884960368
CLUSTER_1,O,229.63238690626807
CLUSTER_1,P,37.51527925454912
CLUSTER_1,Q,77.03755103893245
CLUSTER_1,R,72.26564457960973
CLUSTER_1,S,130.471634249714
CLUSTER_1,T,181.74895636968986
CLUSTER_10,A,31.958441019692543
CLUSTER_10,B,197.47747177595775
CLUSTER_10,C,104.02039390116393
CLUSTER_10,D,185.97855146218248
CLUSTER_10,E,230.68016658525465
CLUSTER_10,F,89.94167654581406
CLUSTER_10,G,47.21932968352164
CLUSTER_10,H,86.94933095085212
CLUSTER_10,I,146.23116648175292
CLUSTER_10,J,252.55143803359144
CLUSTER_10,K,242.2930099672777
CLUSTER_10,L,155.64378453596896
CLUSTER_10,M,84.36449893981853
CLUSTER_10,N,136.34409513813088
CLUSTER_10,O,211.76830415587662
CLUSTER_10,P,92.7145105768211
CLUSTER_10,Q,41.24725127781074
CLUSTER_10,R,43.82063556224951
CLUSTER_10,S,73.31441571786905
CLUSTER_10,T,148.3706384040554
CLUSTER_100,A,162.25632666129954
CLUSTER_100,B,50.098581860349306
CLUSTER_100,C,166.0521041666107
CLUSTER_100,D,88.46239483399468
CLUSTER_100,E,94.8365223597696
CLUSTER_100,F,74.43869397183488
CLUSTER_100,G,169.73062736286474
CLUSTER_100,H,203.36220331826644
CLUSTER_100,I,119.39075572386437
CLUSTER_100,J,98.78168121559995
CLUSTER_100,K,111.51555138758064
CLUSTER_100,L,195.0483646711125
CLUSTER_100,M,105.68211548441684
CLUSTER_100,N,43.92405456072838
CLUSTER_100,O,55.09741502363027
CLUSTER_100,P,217.12170057773147
CLUSTER_100,Q,117.52082924394806
CLUSTER_100,R,201.4673105912262
CLUSTER_100,S,133.5385589081344
CLUSTER_100,T,31.10735166904074
CLUSTER_1000,A,78.71789624019155
CLUSTER_1000,B,169.4569974786787
CLUSTER_1000,C,66.67285761153543
CLUSTER_1000,D,134.33504866770366
CLUSTER_1000,E,182.50621571334187
CLUSTER_1000,F,73.96938220532769
CLUSTER_1000,G,46.26819362920517
CLUSTER_1000,H,135.89893951682254
CLUSTER_1000,I,92.94188488444742
CLUSTER_1000,J,221.96511896869862
CLUSTER_1000,K,223.13820936050044
CLUSTER_1000,L,116.21054434681936
CLUSTER_1000,M,31.056619107433598
CLUSTER_1000,N,91.604786599805
CLUSTER_1000,O,171.99389558707065
CLUSTER_1000,P,95.03137184041306
CLUSTER_1000,Q,31.446137592367528
CLUSTER_1000,R,94.41752921704644
CLUSTER_1000,S,96.85106220201465
CLUSTER_1000,T,123.18856359291263
CLUSTER_1001,A,171.27288204468127
CLUSTER_1001,B,70.13851823669712
CLUSTER_1001,C,153.21735093024594
CLUSTER_1001,D,61.99530167138049
CLUSTER_1001,E,74.78188729130302
CLUSTER_1001,F,87.53750141384799
CLUSTER_1001,G,166.3202685797576
CLUSTER_1001,H,217.11473283320336
CLUSTER_1001,I,98.13287374125285
CLUSTER_1001,J,110.05943301877095
CLUSTER_1001,K,132.6474488096209
CLUSTER_1001,L,176.69997907677018
CLUSTER_1001,M,97.39070430424893
CLUSTER_1001,N,29.877052573565198
CLUSTER_1001,O,51.673697820442385
CLUSTER_1001,P,210.4007096046252
CLUSTER_1001,Q,121.49333965820881
CLUSTER_1001,R,206.37081669235278
CLUSTER_1001,S,149.13229500010908
CLUSTER_1001,T,56.69059312336943
CLUSTER_1002,A,246.92393777580935
CLUSTER_1002,B,57.284771965350295
CLUSTER_1002,C,272.47605351495
CLUSTER_1002,D,171.35919956254804
CLUSTER_1002,E,138.4880521368021
CLUSTER_1002,F,162.43145869683448
CLUSTER_1002,G,272.15097721085016
CLUSTER_1002,H,272.47439209531416
CLUSTER_1002,I,220.30606695021874
CLUSTER_1002,J,25.32318301023641
CLUSTER_1002,K,32.75687229405823
CLUSTER_1002,L,299.1948843548772
CLUSTER_1002,M,211.75160504017938
CLUSTER_1002,N,149.09322621955354
CLUSTER_1002,O,85.8603288102652
CLUSTER_1002,P,321.47425846792027
CLUSTER_1002,Q,214.04844587278708
CLUSTER_1002,R,292.0001102962268
CLUSTER_1002,S,204.46044141294118
CLUSTER_1002,T,104.63479039232442
CLUSTER_1003,A,261.56104136297876
CLUSTER_1003,B,74.35911492448959
CLUSTER_1003,C,289.78840278105804
CLUSTER_1003,D,187.64131266457292
CLUSTER_1003,E,152.4307276278515
CLUSTER_1003,F,178.18334686838764
CLUSTER_1003,G,288.7938670487976
CLUSTER_1003,H,285.0329140335361
CLUSTER_1003,I,237.46029045291453
CLUSTER_1003,J,36.94593772183649
CLUSTER_1003,K,35.75841249531931
CLUSTER_1003,L,316.48043367013827
CLUSTER_1003,M,228.9489517503739
CLUSTER_1003,N,166.44227581926145
CLUSTER_1003,O,101.68400720134157
CLUSTER_1003,P,338.3453396994487
CLUSTER_1003,Q,230.16889945117902
CLUSTER_1003,R,307.1115999480675
CLUSTER_1003,S,217.9745090974187
CLUSTER_1003,T,120.94842284623904
CLUSTER_1004,A,178.63836338001093
CLUSTER_1004,B,204.56620207058685
CLUSTER_1004,C,56.110015892915776
CLUSTER_1004,D,99.07725344078248
CLUSTER_1004,E,155.62541805841587
CLUSTER_1004,F,152.63686818012874
CLUSTER_1004,G,114.56199041230681
CLUSTER_1004,H,235.8046509327741
CLUSTER_1004,I,37.608761468655885
CLUSTER_1004,J,243.3981901019062
CLUSTER_1004,K,266.77344890757547
CLUSTER_1004,L,43.734321691748384
CLUSTER_1004,M,78.80513800459772
CLUSTER_1004,N,111.66279697643141
CLUSTER_1004,O,178.40046592293217
CLUSTER_1004,P,125.77234226088582
CLUSTER_1004,Q,130.65749053353596
CLUSTER_1004,R,182.3717914332112
CLUSTER_1004,S,194.8519650740388
CLUSTER_1004,T,174.1455895833194
CLUSTER_1005,A,246.11274415278606
CLUSTER_1005,B,105.54775100949884
CLUSTER_1005,C,201.83251669271613
CLUSTER_1005,D,65.51509827677118
CLUSTER_1005,E,9.807496501326593
CLUSTER_1005,F,163.4057307497059
CLUSTER_1005,G,230.60418502807465
CLUSTER_1005,H,292.9920542203685
CLUSTER_1005,I,129.54148884077085
CLUSTER_1005,J,106.80232063053998
CLUSTER_1005,K,155.2833269641895
CLUSTER_1005,L,207.99060862590616
CLUSTER_1005,M,159.38218377304432
CLUSTER_1005,N,98.46117802620473
CLUSTER_1005,O,51.57099467143836
CLUSTER_1005,P,268.08332412742106
CLUSTER_1005,Q,194.33537910048858
CLUSTER_1005,R,278.4490753676398
CLUSTER_1005,S,224.85275160768268
CLUSTER_1005,T,123.36117527887973
CLUSTER_1006,A,138.6299112518325
CLUSTER_1006,B,234.19510347580643
CLUSTER_1006,C,19.60570039472737
CLUSTER_1006,D,157.02768235943668
CLUSTER_1006,E,213.63336681276166
