PlantLocation,Alternative,Capacity,Omega,N_CH4,CO2_Production,Revenue,Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,Upgrading_tech1,2000000,1826484.0182648401,1127475.3608245854,699008.6574402547,337227.88042263355,448613.1224949303,4463438.473295231,471039.90337433503,8000.0,48.06960803192524,11.215417240258423,0,0,0,0
B,Upgrading_tech1,2000000,1826484.0182648401,1164455.790657834,662028.2276070062,348288.72698575817,450462.1439865927,4463438.473295231,486489.693853707,8000.0,49.50227956797867,12.205202086151932,0,0,0,0
C,Upgrading_tech1,2000000,1826484.0182648401,1129086.6716990727,697397.3465657674,337709.8235051927,448693.6880386546,4463438.473295231,471713.0814720534,8000.0,49.88476617410722,9.261348009884363,0,0,0,0
D,Upgrading_tech1,2000000,1826484.0182648401,1166597.9866426,659886.0316222401,348929.4578048017,450569.2537858302,4463438.473295231,487384.6666617471,8000.0,48.883571185282726,10.83079957947446,0,0,0,0
E,Upgrading_tech1,2000000,1826484.0182648401,1166597.9866426007,659886.0316222394,348929.45780480193,450569.25378583104,4463438.473295231,487384.6666617473,8000.0,48.0384038221881,12.393634797683008,0,0,0,0
F,Upgrading_tech1,2000000,1826484.0182648401,1166597.9866426003,659886.0316222399,348929.45780480176,450569.25378583104,4463438.473295231,487384.66666174715,8000.0,50.16017519170028,10.963577101202628,0,0,0,0
G,Upgrading_tech1,2000000,1826484.0182648401,1166597.9866426,659886.0316222401,348929.4578048017,450569.25378583104,4463438.473295231,487384.6666617471,8000.0,48.9026431440661,13.061544972674753,0,0,0,0
H,Upgrading_tech1,2000000,1826484.0182648401,1166597.9866426,659886.0316222401,348929.4578048017,450569.25378583104,4463438.473295231,487384.66666174727,8000.0,49.75631137187534,10.139628232180865,0,0,0,0
I,Upgrading_tech1,2000000,1826484.0182648401,1166597.9866426,659886.0316222401,348929.4578048017,450569.25378583104,4463438.473295231,487384.6666617474,8000.0,48.50726767197976,11.366620988374814,0,0,0,0
J,Upgrading_tech1,2000000,1826484.0182648401,1118384.1245463113,708099.8937185288,334508.69165180216,448158.5606810166,4463438.473295231,467241.74049923674,8000.0,47.97728180315893,10.53936229447795,0,0,0,0
