PlantLocation,Alternative,Capacity,Omega,N_CH4,CO2_Production,Revenue,Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,Upgrading_tech1,3500000,3196347.03196347,1861165.0502881892,1335181.9816752807,556674.4665411975,719249.0347886557,6460727.558650183,777562.8948647444,7999.999999999998,48.06960803192524,11.215417240258423,0,0,0,0
B,Upgrading_tech1,3500000,3196347.03196347,1829763.4828306574,1366583.5491328125,547282.2577146497,717678.9564157791,6460727.558650183,764443.8575758224,7999.999999999998,49.50227956797867,12.205202086151932,0,0,0,0
C,Upgrading_tech1,3500000,3196347.03196347,1834051.4492369657,1362295.5827265042,548564.7884667765,717893.3547360945,6460727.558650183,766235.296530393,7999.999999999998,49.88476617410722,9.261348009884363,0,0,0,0
D,Upgrading_tech1,3500000,3196347.03196347,1907632.8967261252,1288714.1352373448,570572.9994107841,721572.4271105524,6460727.558650183,796976.3655769834,7999.999999999998,48.883571185282726,10.83079957947446,0,0,0,0
E,Upgrading_tech1,3500000,3196347.03196347,1859246.7301796437,1337100.3017838262,556100.6969967315,719153.1187832284,6460727.558650183,776761.4535650343,7999.999999999998,48.0384038221881,12.393634797683008,0,0,0,0
F,Upgrading_tech1,3500000,3196347.03196347,1867973.9600609648,1328373.0719025051,558711.0114542346,719589.4802772945,6460727.558650183,780407.5407992748,7999.999999999998,50.16017519170028,10.963577101202628,0,0,0,0
G,Upgrading_tech1,3500000,3196347.03196347,1884682.4068761605,1311664.6250873094,563708.5078966597,720424.9026180543,6460727.558650183,787388.0438300543,7999.999999999998,48.9026431440661,13.061544972674753,0,0,0,0
H,Upgrading_tech1,3500000,3196347.03196347,1905886.0468181593,1290460.9851453106,570050.5166033115,721485.0846151542,6460727.558650183,796246.5615915055,7999.999999999998,49.75631137187534,10.139628232180865,0,0,0,0
I,Upgrading_tech1,3500000,3196347.03196347,1886831.502142599,1309515.5298208708,564351.3022908515,720532.3573813762,6460727.558650183,788285.8990398614,7999.999999999998,48.50726767197976,11.366620988374814,0,0,0,0
J,Upgrading_tech1,3500000,3196347.03196347,1817665.4837026696,1378681.5482608003,543663.7461754686,717074.0564593797,6460727.558650183,759389.5206578943,7999.999999999998,47.97728180315893,10.53936229447795,0,0,0,0
K,Upgrading_tech1,3500000,3196347.03196347,1843493.3554537804,1352853.6765096895,551388.8626162257,718365.4500469352,6460727.558650183,770179.9633023444,7999.999999999998,49.67124031240848,11.693838540329466,0,0,0,0
L,Upgrading_tech1,3500000,3196347.03196347,1862735.9849237269,1333611.047039743,557144.3330906868,719327.5815204326,6460727.558650183,778219.2044610719,7999.999999999998,49.18336372889802,12.00056860372159,0,0,0,0
M,Upgrading_tech1,3500000,3196347.03196347,1951656.8494172145,1244690.1825462554,583740.5636606889,723773.6247451069,6460727.558650183,815368.8193212505,7999.999999999998,48.371161191493634,12.77310510888665,0,0,0,0
N,Upgrading_tech1,3500000,3196347.03196347,1859002.4955874518,1337344.536376018,556027.646430207,719140.9070536188,6460727.558650183,776659.4165337131,7999.999999999998,49.629404377131614,10.618452124985565,0,0,0,0
O,Upgrading_tech1,3500000,3196347.03196347,1816408.825273684,1379938.206689786,543287.879639359,717011.2235379304,6460727.558650183,758864.5102802566,7999.999999999998,47.61848220057933,10.293541269366749,0,0,0,0
P,Upgrading_tech1,3500000,3196347.03196347,1858188.9866415197,1338158.0453219502,555784.3259044786,719100.2316063222,6460727.558650183,776319.5464233757,7999.999999999998,49.30587717494774,11.324904581572556,0,0,0,0
Q,Upgrading_tech1,3500000,3196347.03196347,1865868.9143971344,1330478.1175663355,558081.3922961829,719484.227994103,6460727.558650183,779528.0887593084,7999.999999999998,49.86363610360658,12.1344467289816,0,0,0,0
