PlantLocation,Alternative,Capacity,Omega,N_CH4,CO2_Production,Revenue,Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,Upgrading_tech1,40000000,36529680.3652976,20988325.801155932,15541354.564141668,6277608.24712574,5847658.190268794,32578186.320698738,8768563.199585235,8000.000000000175,49.190452456276,10.86935743778202,0.0,0.0,0.0,0.0
B,Upgrading_tech1,75000000,68493150.6849315,38848000.450992435,29645150.233939067,11619436.934891839,10057313.658923758,49554998.78552292,16230029.510656925,8000.0,47.97187334179478,12.206698326959254,0.0,0.0,0.0,0.0
C,Upgrading_tech1,75000000,68493150.6849315,38780980.18529856,29712170.49963294,11599391.1734228,10053962.645639045,49554998.78552292,16202029.591037042,8000.0,47.79416895778944,10.720502863500665,0.0,0.0,0.0,0.0
D,Upgrading_tech1,75000000,68493150.6849315,39064383.75173201,29428766.933199495,11684157.180143045,10068132.823960712,49554998.78552292,16320430.749223813,8000.0,49.4057565749067,12.15991376299744,0.0,0.0,0.0,0.0
E,FlexEEG_biogas,75000000,63077173.044953525,35694056.775579214,27383116.26937431,21619811.645331368,8114913.636374631,40027251.15270307,0.0,7367.413811650572,50.02500394414427,9.771363652510493,10950497.875332562,4697480.647893327,2846957.968420198,2201521.0311300266
F,FlexEEG_biogas,75000000,68493150.6849315,38680850.99836222,29812299.68656928,22572718.474168055,8114913.636374635,40027251.15270307,0.0,8000.0,49.85102282209206,10.697891348140294,11866809.629871428,5090554.714788463,3085184.6756293713,2201521.0311300266
G,Upgrading_tech1,75000000,68493150.68493149,39433427.39942953,29059723.285501957,11794538.135169374,10086585.0063456,49554998.78552292,16474610.867204584,7999.999999999997,48.70293811569916,13.007894583638096,0.0,0.0,0.0,0.0
H,Upgrading_tech1,75000000,68493150.6849315,39210642.29317023,29282508.391761273,11727903.109887216,10075445.751032634,49554998.78552292,16381535.063890465,8000.0,48.48375607737792,10.710971424792586,0.0,0.0,0.0,0.0
I,FlexEEG_biogas,75000000,68493150.68493281,38179535.13648899,30313615.548443824,22412778.661596026,8114913.63637462,40027251.15270307,0.0,8000.000000000152,48.616356206366696,11.845219338065377,11713012.085511908,5024579.542102497,3045199.7224863623,2201521.0311300266
J,FlexEEG_biogas,75000000,68493150.68493281,38993557.31264859,29499593.372284226,22672484.296678446,8114913.636374651,40027251.15270307,0.0,8000.000000000152,50.08349439109837,11.695657203031308,11962744.083377948,5131708.116573805,3110126.1312568514,2201521.0311300266
