SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km
CLUSTER_109,Plant_0,cattle_man,10424.0,45.78679490390974
CLUSTER_109,Plant_0,horse_man,2924.0,45.78679490390974
CLUSTER_109,Plant_0,pig_man,121.22265,45.78679490390974
CLUSTER_125,Plant_0,cattle_man,17940.0,54.5242983831542
CLUSTER_125,Plant_0,horse_man,653.0,54.5242983831542
CLUSTER_125,Plant_0,pig_man,536.0,54.5242983831542
CLUSTER_130,Plant_0,cattle_man,16581.0,19.35194213178901
CLUSTER_130,Plant_0,cattle_slu,77450.00000000022,19.35194213178901
CLUSTER_130,Plant_0,horse_man,373.2,19.35194213178901
CLUSTER_130,Plant_0,maize_str,270.1,19.35194213178901
CLUSTER_130,Plant_0,pig_man,304.35,19.35194213178901
CLUSTER_140,Plant_0,cattle_man,7209.0,27.27152674493892
CLUSTER_140,Plant_0,horse_man,867.0,27.27152674493892
CLUSTER_140,Plant_0,pig_man,765.7,27.27152674493892
CLUSTER_143,Plant_0,cattle_man,20920.000000000055,30.557526374009026
CLUSTER_143,Plant_0,horse_man,1329.0,30.557526374009026
CLUSTER_143,Plant_0,maize_str,405.5,30.557526374009026
CLUSTER_143,Plant_0,pig_man,52.20089,30.557526374009026
CLUSTER_15,Plant_0,pig_man,68.319,67.76167902258497
CLUSTER_150,Plant_0,cattle_man,18939.99999999991,29.56823972040764
CLUSTER_150,Plant_0,horse_man,998.0,29.56823972040764
CLUSTER_150,Plant_0,maize_str,307.3,29.56823972040764
CLUSTER_150,Plant_0,pig_man,605.1,29.56823972040764
CLUSTER_167,Plant_0,cattle_man,16680.0,40.32567734778242
CLUSTER_167,Plant_0,horse_man,1062.4,40.32567734778242
CLUSTER_17,Plant_0,cattle_man,9480.0,24.011373757746824
CLUSTER_17,Plant_0,cattle_slu,36030.0,24.011373757746824
CLUSTER_17,Plant_0,horse_man,663.59,24.011373757746824
CLUSTER_17,Plant_0,maize_str,87.2,24.011373757746824
CLUSTER_17,Plant_0,pig_man,202.955,24.011373757746824
CLUSTER_175,Plant_0,cattle_man,2182.272,50.14892120420727
CLUSTER_175,Plant_0,horse_man,1207.3,50.14892120420727
CLUSTER_175,Plant_0,pig_man,35.4,50.14892120420727
CLUSTER_186,Plant_0,horse_man,2019.1,55.4892893284169
CLUSTER_186,Plant_0,pig_man,471.4,55.4892893284169
CLUSTER_195,Plant_0,cattle_man,17240.000000000233,41.15201902737273
CLUSTER_195,Plant_0,horse_man,1276.5,41.15201902737273
CLUSTER_195,Plant_0,pig_man,34.13825,41.15201902737273
CLUSTER_230,Plant_0,cattle_man,11370.0,42.45693525940274
CLUSTER_230,Plant_0,horse_man,900.0,42.45693525940274
CLUSTER_230,Plant_0,pig_man,156.99,42.45693525940274
CLUSTER_231,Plant_0,cattle_man,13870.0,40.78528109729885
CLUSTER_231,Plant_0,horse_man,1176.0,40.78528109729885
CLUSTER_231,Plant_0,pig_man,10.6436,40.78528109729885
CLUSTER_240,Plant_0,cattle_man,402.04,43.38419322778343
CLUSTER_240,Plant_0,horse_man,172.5,43.38419322778343
CLUSTER_240,Plant_0,pig_man,24.931,43.38419322778343
CLUSTER_259,Plant_0,cattle_man,11538.0,41.660777463405
CLUSTER_259,Plant_0,horse_man,817.6,41.660777463405
CLUSTER_259,Plant_0,pig_man,260.08,41.660777463405
CLUSTER_262,Plant_0,cattle_man,7320.0,56.88597222156266
CLUSTER_262,Plant_0,horse_man,491.0,56.88597222156266
CLUSTER_280,Plant_0,cattle_man,7664.0,20.813898472346867
CLUSTER_280,Plant_0,cattle_slu,35900.00425,20.813898472346867
CLUSTER_280,Plant_0,horse_man,1101.277,20.813898472346867
CLUSTER_280,Plant_0,maize_str,290.7,20.813898472346867
CLUSTER_280,Plant_0,pig_man,171.3,20.813898472346867
CLUSTER_290,Plant_0,cattle_man,4269.0,43.448933664502114
CLUSTER_290,Plant_0,horse_man,887.0,43.448933664502114
CLUSTER_290,Plant_0,pig_man,122.18799999999999,43.448933664502114
CLUSTER_295,Plant_0,cattle_man,1036.53,36.56182724131223
CLUSTER_295,Plant_0,horse_man,46.7,36.56182724131223
CLUSTER_301,Plant_0,cattle_man,2641.0,39.60655175846318
CLUSTER_301,Plant_0,horse_man,760.0,39.60655175846318
CLUSTER_301,Plant_0,maize_str,2147.5094847620953,39.60655175846318
CLUSTER_301,Plant_0,pig_man,225.23,39.60655175846318
CLUSTER_31,Plant_0,cattle_man,11270.176,24.24017290535077
CLUSTER_31,Plant_0,cattle_slu,55000.0,24.24017290535077
CLUSTER_31,Plant_0,horse_man,3786.0,24.24017290535077
CLUSTER_31,Plant_0,maize_str,1794.1,24.24017290535077
CLUSTER_31,Plant_0,pig_man,390.4,24.24017290535077
CLUSTER_311,Plant_0,cattle_man,22700.0,35.97992870205626
CLUSTER_311,Plant_0,horse_man,1250.5,35.97992870205626
CLUSTER_311,Plant_0,maize_str,38.61,35.97992870205626
CLUSTER_321,Plant_0,cattle_man,2184.0,42.94755839043341
CLUSTER_321,Plant_0,horse_man,1668.0,42.94755839043341
CLUSTER_321,Plant_0,pig_man,53.32708,42.94755839043341
CLUSTER_322,Plant_0,horse_man,1355.0,65.59007753328811
CLUSTER_322,Plant_0,pig_man,57.48,65.59007753328811
CLUSTER_333,Plant_0,cattle_man,11300.000000000107,22.83935097056459
CLUSTER_333,Plant_0,cattle_slu,53090.0,22.83935097056459
CLUSTER_333,Plant_0,horse_man,712.5,22.83935097056459
CLUSTER_333,Plant_0,pig_man,364.2,22.83935097056459
CLUSTER_343,Plant_0,cattle_man,10540.0,13.22044472601503
CLUSTER_343,Plant_0,cattle_slu,47200.00000000003,13.22044472601503
CLUSTER_343,Plant_0,horse_man,329.269,13.22044472601503
CLUSTER_343,Plant_0,maize_str,12.732,13.22044472601503
CLUSTER_343,Plant_0,pig_man,296.7,13.22044472601503
CLUSTER_370,Plant_0,cattle_man,11089.9999999995,39.23413192707351
CLUSTER_370,Plant_0,horse_man,1921.0,39.23413192707351
CLUSTER_370,Plant_0,maize_str,133.51,39.23413192707351
CLUSTER_370,Plant_0,pig_man,15.373134,39.23413192707351
CLUSTER_372,Plant_0,cattle_man,9440.0,11.65533693549778
CLUSTER_372,Plant_0,cattle_slu,40550.0,11.65533693549778
CLUSTER_372,Plant_0,horse_man,1283.0,11.65533693549778
CLUSTER_372,Plant_0,maize_str,454.3,11.65533693549778
CLUSTER_372,Plant_0,pig_man,127.52,11.65533693549778
CLUSTER_385,Plant_0,cattle_man,5530.0,15.575780900393823
CLUSTER_385,Plant_0,cattle_slu,21690.0,15.575780900393823
CLUSTER_385,Plant_0,horse_man,616.3,15.575780900393823
CLUSTER_385,Plant_0,maize_str,270.19,15.575780900393823
CLUSTER_385,Plant_0,pig_man,407.79,15.575780900393823
CLUSTER_387,Plant_0,cattle_man,7795.0,36.1599796453572
CLUSTER_387,Plant_0,horse_man,1714.3,36.1599796453572
CLUSTER_392,Plant_0,cattle_man,5800.0,55.47686032165364
CLUSTER_392,Plant_0,horse_man,513.0,55.47686032165364
CLUSTER_392,Plant_0,pig_man,46.5,55.47686032165364
CLUSTER_397,Plant_0,cattle_man,5686.0,33.972691654730724
CLUSTER_397,Plant_0,horse_man,797.2,33.972691654730724
CLUSTER_397,Plant_0,pig_man,80.291,33.972691654730724
CLUSTER_399,Plant_0,horse_man,218.1,56.26337704414753
CLUSTER_399,Plant_0,pig_man,646.33,56.26337704414753
CLUSTER_408,Plant_0,cattle_man,7585.8,27.30099448413481
CLUSTER_408,Plant_0,horse_man,3122.0,27.30099448413481
CLUSTER_408,Plant_0,maize_str,816.0,27.30099448413481
CLUSTER_408,Plant_0,pig_man,511.6000000000001,27.30099448413481
CLUSTER_409,Plant_0,cattle_man,12230.0,29.29239802396109
CLUSTER_409,Plant_0,horse_man,858.0,29.29239802396109
CLUSTER_409,Plant_0,pig_man,568.9,29.29239802396109
CLUSTER_429,Plant_0,cattle_man,6420.0,30.036790474499156
CLUSTER_429,Plant_0,horse_man,723.0,30.036790474499156
CLUSTER_429,Plant_0,maize_str,90.5,30.036790474499156
CLUSTER_439,Plant_0,cattle_man,12440.0,12.216643651953069
CLUSTER_439,Plant_0,cattle_slu,56499.9999999996,12.216643651953069
CLUSTER_439,Plant_0,horse_man,163.7,12.216643651953069
CLUSTER_439,Plant_0,maize_str,371.2,12.216643651953069
CLUSTER_439,Plant_0,pig_man,625.9,12.216643651953069
CLUSTER_45,Plant_0,cattle_man,15750.0,31.17668448179268
CLUSTER_45,Plant_0,horse_man,1188.0,31.17668448179268
CLUSTER_45,Plant_0,pig_man,55.502,31.17668448179268
CLUSTER_451,Plant_0,cattle_man,7650.0,55.85041361648792
CLUSTER_451,Plant_0,horse_man,523.0000000000014,55.85041361648792
CLUSTER_451,Plant_0,pig_man,528.0,55.85041361648792
CLUSTER_453,Plant_0,cattle_man,163.9,48.342347478593325
CLUSTER_453,Plant_0,horse_man,209.4,48.342347478593325
CLUSTER_453,Plant_0,pig_man,269.0,48.342347478593325
CLUSTER_470,Plant_0,cattle_man,25970.0,47.00711553842758
CLUSTER_470,Plant_0,horse_man,1289.0,47.00711553842758
CLUSTER_470,Plant_0,pig_man,190.5,47.00711553842758
CLUSTER_472,Plant_0,cattle_man,24810.0,17.416071691144435
CLUSTER_472,Plant_0,cattle_slu,106199.9999999993,17.416071691144435
CLUSTER_472,Plant_0,horse_man,709.0,17.416071691144435
CLUSTER_472,Plant_0,maize_str,62.6,17.416071691144435
CLUSTER_472,Plant_0,pig_man,22.5159,17.416071691144435
CLUSTER_477,Plant_0,cattle_man,6130.0,28.285871737506287
CLUSTER_477,Plant_0,horse_man,908.0,28.285871737506287
CLUSTER_477,Plant_0,maize_str,141.3,28.285871737506287
CLUSTER_481,Plant_0,pig_man,527.3000000000008,67.07290997073193
CLUSTER_484,Plant_0,cattle_man,10650.0,23.75422168164221
