SupplyNode,PlantLocation,Feedstock,FlowTons
DE_09173126,A,pig_man,28.2
DE_09174111,A,pig_man,162
DE_09174118,A,pig_man,127
DE_09174122,A,pig_man,103
DE_09174131,A,pig_man,197
DE_09174135,A,pig_man,61.3
DE_09174137,A,pig_man,120
DE_09174146,A,pig_man,75.7
DE_09175111,A,pig_man,140
DE_09175121,A,pig_man,40.7
DE_09175135,A,pig_man,441
DE_09177117,A,pig_man,106
DE_09177130,A,pig_man,40.4
DE_09177142,A,pig_man,441
DE_09178120,A,pig_man,71.9
DE_09178145,A,pig_man,59.7
DE_09179113,A,pig_man,33.3
DE_09179125,A,horse_man,136
DE_09179131,A,horse_man,34
DE_09179134,A,pig_man,53.4
DE_09179138,A,pig_man,146
DE_09181115,A,horse_man,57.1
DE_09181116,A,pig_man,93.3
DE_09181132,A,pig_man,58.3
DE_09181138,A,pig_man,79
DE_09184112,A,pig_man,36.5
DE_09184135,A,pig_man,71.1
DE_09184137,A,pig_man,29.5
DE_09187130,A,pig_man,146
DE_09188121,A,horse_man,1340
DE_09188121,A,pig_man,76.6
DE_09188124,A,horse_man,773
DE_09188126,A,horse_man,858
DE_09188132,A,horse_man,120
DE_09188144,A,horse_man,1990
DE_09188145,A,horse_man,273
DE_09188145,A,cattle_man,1605.163089
DE_09190152,A,pig_man,36.9
DE_09771111,A,pig_man,308
DE_09771112,A,pig_man,435
DE_09771122,A,pig_man,633
DE_09771129,A,pig_man,84.2
DE_09771130,A,pig_man,96.2
DE_09771142,A,pig_man,319
DE_09771145,A,pig_man,403
DE_09771146,A,pig_man,281
DE_09771149,A,pig_man,70
DE_09771158,A,pig_man,382
DE_09771160,A,pig_man,291
DE_09771163,A,pig_man,130
DE_09771165,A,pig_man,439
DE_09771168,A,pig_man,40.1
DE_09771169,A,pig_man,55.8
DE_09772121,A,pig_man,201
DE_09772147,A,pig_man,178
DE_09772160,A,pig_man,60.2
DE_09772163,A,pig_man,101
DE_09772166,A,pig_man,427.4628012
DE_09772171,A,pig_man,59
DE_09772177,A,pig_man,428
DE_09772184,A,pig_man,44.2
DE_09772186,A,pig_man,124
DE_09361000,B,pig_man,115
DE_09363000,B,pig_man,180
DE_09371116,B,pig_man,33.5
DE_09371118,B,pig_man,103
DE_09371120,B,pig_man,91.7
DE_09371121,B,pig_man,194
DE_09371122,B,pig_man,505
DE_09371123,B,pig_man,78.3
DE_09371126,B,pig_man,121
DE_09371127,B,pig_man,329
DE_09371131,B,pig_man,41.9
DE_09371132,B,pig_man,148
DE_09371136,B,pig_man,463
DE_09371141,B,pig_man,126
DE_09371144,B,pig_man,98.3
DE_09371146,B,pig_man,128
DE_09371148,B,pig_man,211
DE_09371150,B,pig_man,63.9
DE_09371151,B,pig_man,265
DE_09372146,B,pig_man,47.3
DE_09372153,B,pig_man,51.1
DE_09372154,B,pig_man,22.5
DE_09372163,B,pig_man,168
DE_09372165,B,pig_man,34.8
DE_09372169,B,pig_man,119
DE_09372170,B,pig_man,44.8
DE_09372171,B,pig_man,70.3
DE_09374111,B,pig_man,21
DE_09374123,B,pig_man,41.6
DE_09374128,B,pig_man,333
DE_09374131,B,pig_man,54.1
DE_09374137,B,pig_man,54.5
DE_09374144,B,pig_man,221
DE_09374148,B,pig_man,23
DE_09374150,B,pig_man,153
DE_09374159,B,pig_man,51
DE_09374165,B,pig_man,134
DE_09374168,B,pig_man,356
DE_09375119,B,pig_man,419
DE_09375156,B,pig_man,46.1
DE_09375190,B,pig_man,43.3
DE_09376112,B,pig_man,87.9
DE_09376116,B,pig_man,80.3
DE_09376119,B,pig_man,257
DE_09376122,B,pig_man,126
DE_09376125,B,pig_man,108
DE_09376131,B,horse_man,26.7
DE_09376133,B,horse_man,62.3
DE_09376133,B,pig_man,136
DE_09376141,B,pig_man,70.3
DE_09376144,B,horse_man,490
DE_09376144,B,pig_man,288
DE_09376146,B,pig_man,104
DE_09376147,B,pig_man,562
DE_09376148,B,pig_man,402
DE_09376149,B,pig_man,45.8
DE_09376150,B,horse_man,414
DE_09376150,B,pig_man,262
DE_09376151,B,pig_man,80.6
DE_09376153,B,horse_man,213
DE_09376153,B,cattle_man,2428.545354
DE_09376153,B,pig_man,36.4
DE_09376159,B,pig_man,107
DE_09376161,B,pig_man,313
DE_09376163,B,pig_man,59.7
DE_09376169,B,pig_man,150
DE_09376171,B,pig_man,171
DE_09376172,B,pig_man,136
DE_09376173,B,horse_man,85.5
DE_09376173,B,pig_man,65.8
DE_09376175,B,pig_man,93.7
DE_09376178,B,pig_man,34.7
DE_09377112,B,pig_man,178
DE_09377116,B,pig_man,118
DE_09377146,B,pig_man,1220
DE_09377149,B,pig_man,353
DE_09377154,B,pig_man,77.0525988
DE_09575163,C,pig_man,927
DE_09663000,C,pig_man,20.3
DE_09671111,C,pig_man,202
DE_09671112,C,horse_man,952
DE_09671122,C,pig_man,241
DE_09671124,C,horse_man,151
DE_09671127,C,horse_man,457
DE_09671127,C,cattle_man,24.7
DE_09671130,C,pig_man,44.8
DE_09671141,C,horse_man,84.7
DE_09671143,C,pig_man,45.1
