PlantLocation,Alternative,Capacity,Omega,N_CH4,CO2_Production,Revenue,Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,Upgrading_tech1,75000000,68493150.68493149,39632097.48835982,28861053.196571674,121.13408877931333,8.114915617979527,49.55499878552291,14.642566696951402,7999.999999999998,48.60531968542862,13.350030147895405,0,0,0,0
B,Upgrading_tech1,75000000,68493150.68493149,38204419.99503185,30288730.689899646,116.99224749433571,8.114915546595652,49.55499878552291,8.825611552037612,7999.999999999998,50.11543881182247,10.73483406874872,0,0,0,0
C,Upgrading_tech1,75000000,68493150.68493149,40013563.26289543,28479587.422036063,122.2407607701245,8.114915637052816,49.55499878552291,16.71698169903466,7999.999999999998,48.028767926825765,10.501726634635483,0,0,0,0
D,Upgrading_tech1,75000000,68493150.68493149,38268131.707625516,30225018.97730598,117.17708181636593,8.114915549781237,49.55499878552291,9.926329581937777,7999.999999999998,48.994021890767264,11.930054070441624,0,0,0,0
E,Upgrading_tech1,75000000,68493150.68493149,39968563.213904895,28524587.4710266,122.11021093427705,8.114915634802813,49.55499878552291,15.26940973140474,7999.999999999998,48.27042919491146,12.019069415072051,0,0,0,0
F,Upgrading_tech1,75000000,68493150.68493149,39209772.8474856,29283377.83744589,119.90888095164122,8.114915596863295,49.55499878552291,11.737717229417333,7999.999999999998,49.85954311885126,12.048137529824446,0,0,0,0
G,Upgrading_tech1,75000000,68493150.68493149,38493894.76347554,29999255.921455953,117.83204398374075,8.11491556106939,49.55499878552291,10.136213752718403,7999.999999999998,48.74387513071648,10.774690848063164,0,0,0,0
H,Upgrading_tech1,75000000,68493150.68493149,38963586.27315119,29529564.411780305,119.1946680322878,8.114915584553966,49.55499878552291,10.30098608789355,7999.999999999998,49.434322404003495,10.361339923973931,0,0,0,0
I,Upgrading_tech1,75000000,68493150.68493149,39755413.790513605,28737736.894417886,121.49184222627719,8.114915624145342,49.55499878552291,14.333540738600641,7999.999999999998,49.17956011355381,12.611490815302624,0,0,0,0
J,Upgrading_tech1,75000000,68493150.68493149,38039589.46893403,30453561.21599746,116.51405694859338,8.114915538354126,49.55499878552291,8.533307381529815,7999.999999999998,50.26422517679616,10.03673675817306,0,0,0,0
K,Upgrading_tech1,75000000,68493150.68493149,39789321.02470752,28703829.660223976,121.59021065337687,8.114915625840704,49.55499878552291,14.361597834781898,7999.999999999998,47.85138343158165,12.65805978531181,0,0,0,0
L,Upgrading_tech1,75000000,68493150.68493149,38738296.37409171,29754854.310839783,118.54107854093854,8.11491557328947,49.55499878552291,9.068719796875492,7999.999999999998,50.21356052860746,11.352295185057468,0,0,0,0
M,Upgrading_tech1,75000000,68493150.68493149,38317026.62834437,30176124.05658712,117.3189310789224,8.114915552225984,49.55499878552291,10.284584221442488,7999.999999999998,48.604846795038114,11.599861735909355,0,0,0,0
N,Upgrading_tech1,75000000,68493150.68493149,38424496.04367122,30068654.641260274,117.6307110607568,8.114915557599454,49.55499878552291,9.238251801752275,7999.999999999998,49.8389275993595,10.125960041566334,0,0,0,0
O,Upgrading_tech1,75000000,68493150.68493149,39190387.24561479,29302763.439316705,119.8526413028274,8.114915595894015,49.55499878552291,12.707249425453792,7999.999999999998,47.90563789717115,11.316325953630654,0,0,0,0
P,Upgrading_tech1,75000000,68493150.68493149,39047040.75652096,29446109.928410538,119.43677818993245,8.11491558872669,49.55499878552291,11.210042146111023,7999.999999999998,48.42372173094734,10.445577584194478,0,0,0,0
Q,Upgrading_tech1,75000000,68493150.68493149,39451502.244731635,29041648.440199856,120.61016314036056,8.114915608949765,49.55499878552291,13.051727632998945,7999.999999999998,47.63537708936969,10.994180309015851,0,0,0,0
R,Upgrading_tech1,75000000,68493150.68493149,38519914.00582497,29973236.679106526,117.90752851905796,8.114915562370353,49.55499878552291,11.519487745704613,7999.999999999998,48.88571010292042,13.073217175173024,0,0,0,0
S,Upgrading_tech1,75000000,68493150.68493149,39928818.93102931,28564331.753902182,121.99490862632364,8.114915632815599,49.55499878552291,15.43055884615665,7999.999999999998,48.26123039524214,12.649589276506946,0,0,0,0
