SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km
CLUSTER_153,A,pig_man,71.88691,16.261046202012935
CLUSTER_289,A,horse_man,662.4962510109377,4.093974122919076
CLUSTER_289,A,pig_man,222.68,4.093974122919076
CLUSTER_348,A,pig_man,264.2,9.647771692113034
CLUSTER_4,A,pig_man,730.49,15.500761161629011
CLUSTER_405,A,pig_man,520.2877975857623,18.72752586336349
CLUSTER_75,A,pig_man,1113.72,19.70091726377564
CLUSTER_0,B,pig_man,1695.2,7.211287278718144
CLUSTER_203,B,pig_man,696.0841531205467,13.911688292523186
CLUSTER_205,B,horse_man,662.4962510109377,6.610742664183632
CLUSTER_205,B,pig_man,123.23616,6.610742664183632
CLUSTER_378,B,pig_man,297.007,8.85494929712452
CLUSTER_58,B,pig_man,111.73739432055649,17.73320027506528
CLUSTER_140,C,pig_man,765.7,10.515806208328772
CLUSTER_167,C,pig_man,33.31320981423758,21.90194710497705
CLUSTER_31,C,pig_man,28.273677362485927,25.81520725084481
CLUSTER_333,C,pig_man,364.2,13.990431333654271
CLUSTER_372,C,pig_man,127.52,23.751098565273907
CLUSTER_385,C,pig_man,407.79,11.236977587947893
CLUSTER_409,C,pig_man,568.9,10.938722148192731
CLUSTER_439,C,pig_man,22.85572040903886,16.520777694685403
CLUSTER_50,C,horse_man,662.4962510109377,4.466403195278085
CLUSTER_50,C,pig_man,604.7121,4.466403195278085
CLUSTER_132,D,pig_man,943.9,22.392418291439117
CLUSTER_14,D,pig_man,256.805,11.873013771627042
CLUSTER_187,D,pig_man,939.3,16.286429206125604
CLUSTER_235,D,pig_man,439.78,20.182486809072984
CLUSTER_365,D,horse_man,662.4962510109377,4.279182258431238
CLUSTER_411,D,pig_man,63.267695285762436,28.13255226128914
CLUSTER_446,D,pig_man,216.2920123,21.15960954265377
CLUSTER_485,D,pig_man,19.72,19.53374077548404
CLUSTER_83,D,pig_man,44.2,9.506499336787703
CLUSTER_175,E,pig_man,35.4,10.097157990620207
CLUSTER_184,E,horse_man,556.0,5.038988384229778
CLUSTER_184,E,pig_man,1364.0,5.038988384229778
CLUSTER_453,E,pig_man,145.86470758576237,10.63561708610482
CLUSTER_501,E,horse_man,106.4962510109378,9.676821466664936
CLUSTER_501,E,pig_man,1378.0,9.676821466664936
CLUSTER_1,F,pig_man,381.6,15.157564545459945
CLUSTER_101,F,pig_man,311.45,13.45760360429043
CLUSTER_103,F,horse_man,662.4962510109377,7.535177436389571
CLUSTER_103,F,pig_man,791.300184,7.535177436389571
CLUSTER_171,F,pig_man,887.0,10.102484625093286
CLUSTER_237,F,pig_man,122.91452358576254,16.874031933513763
CLUSTER_382,F,pig_man,429.0,9.29532863131272
CLUSTER_133,G,horse_man,300.39625101093776,11.217663024353582
CLUSTER_168,G,pig_man,426.892,12.893319557233037
CLUSTER_359,G,horse_man,362.1,2.01454688374803
CLUSTER_359,G,pig_man,13.947,2.01454688374803
CLUSTER_36,G,pig_man,1634.0,15.971627404283582
CLUSTER_401,G,pig_man,189.6729,14.127344759609027
CLUSTER_467,G,pig_man,658.7528075857625,28.22243634061947
CLUSTER_202,I,pig_man,229.17,5.830485008110124
CLUSTER_250,I,pig_man,54.334,16.946648765159587
CLUSTER_282,I,pig_man,277.076,5.9981832031975975
CLUSTER_456,I,pig_man,30.472,13.988328962934686
CLUSTER_513,I,pig_man,657.0,12.668088395487564
CLUSTER_514,I,pig_man,13.03,11.158564733619036
CLUSTER_549,I,horse_man,662.4962510109377,4.62209923241637
CLUSTER_68,I,pig_man,340.18025758576266,20.968545838175004
CLUSTER_79,I,pig_man,1322.00245,18.659896596910063
CLUSTER_116,M,horse_man,662.4962510109377,6.482635102336417
CLUSTER_116,M,pig_man,144.5,6.482635102336417
CLUSTER_239,M,pig_man,931.74,11.751009885976814
CLUSTER_306,M,pig_man,479.4,12.524416996867265
CLUSTER_441,M,pig_man,698.5247075857623,19.999967825874208
CLUSTER_504,M,pig_man,442.0,19.74743586190805
CLUSTER_545,M,pig_man,227.1,9.587263328368358
CLUSTER_104,P,pig_man,527.2180000000001,11.272140173214895
CLUSTER_208,P,pig_man,22.65,16.667958255223688
CLUSTER_302,P,horse_man,662.4962510109377,4.846717749326871
CLUSTER_302,P,pig_man,141.874306,4.846717749326871
CLUSTER_319,P,pig_man,78.23483678576262,19.997174322119594
CLUSTER_398,P,pig_man,169.0001898,14.240311998238374
CLUSTER_436,P,pig_man,326.0,17.882798448751373
CLUSTER_450,P,pig_man,315.5,5.432661600709476
CLUSTER_473,P,pig_man,510.99999999999994,17.008591140134158
CLUSTER_493,P,pig_man,193.15,10.98038462646703
CLUSTER_516,P,pig_man,123.100375,9.332654644437527
CLUSTER_61,P,pig_man,392.8,16.774290375529915
CLUSTER_92,P,pig_man,122.73699999999998,17.207732959766275
CLUSTER_183,R,pig_man,458.82,9.298673667529096
CLUSTER_232,R,pig_man,245.34999999999997,9.624677857843036
CLUSTER_278,R,pig_man,334.9909999999999,18.604838020361434
CLUSTER_314,R,pig_man,108.48213658576239,22.33254541470502
CLUSTER_390,R,pig_man,1056.886,12.352229887318288
CLUSTER_433,R,pig_man,179.118,9.852831328588334
CLUSTER_460,R,pig_man,189.907,19.62587248205879
CLUSTER_462,R,pig_man,169.4,18.437000805416872
CLUSTER_66,R,horse_man,662.4962510109377,5.43485777541082
CLUSTER_66,R,pig_man,180.310571,5.43485777541082
CLUSTER_399,U,pig_man,340.74469505175193,9.818898599859748
CLUSTER_48,U,horse_man,662.4962510109377,9.331390234890655
CLUSTER_48,U,pig_man,1701.4,9.331390234890655
CLUSTER_52,U,pig_man,881.1200125340102,10.51777702225882
CLUSTER_194,V,horse_man,662.4962510109377,2.693878466784495
CLUSTER_194,V,pig_man,308.943,2.693878466784495
CLUSTER_222,V,pig_man,43.141,22.718243624349533
CLUSTER_24,V,pig_man,438.94,14.410101132016772
