PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,EEG_CHP_large1,500000,0.2750167331021267,0.061778784270389187,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.019314928931477147,1.2677361912872562,0,8000.0,49.715464649326336,10.55895422648173,0,0,0,0
B,EEG_CHP_large1,500000,0.3046792895869088,0.0638131530648276,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.01737582103300082,1.2677361912872562,0,8000.0,48.12109180999548,12.45599336175814,0,0,0,0
C,EEG_CHP_large1,500000,0.3235366645109674,0.06509793448654344,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673015,0.016143072106638626,1.2677361912872565,0,8000.0,49.41572931769516,12.08958624916116,0,0,0,0
D,EEG_CHP_large1,500000,0.2104482289332683,0.05729062904371118,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.023535916980530536,1.2677361912872562,0,8000.0,48.34153079121238,10.619407844773292,0,0,0,0
E,EEG_CHP_large1,500000,0.35152250834390797,0.06699285647399922,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.014313574677790184,1.2677361912872562,0,8000.0,48.81820878827289,12.297379252014752,0,0,0,0
F,EEG_CHP_large1,500000,0.30187962499278265,0.06362184959722161,456621.00456621003,291649.49666065,164971.50790556002,0.2432769846943368,0.12310883420673013,0.017558841391692337,1.2677361912872562,0,8000.0,48.97352700833465,10.964441780188364,0,0,0,0
G,EEG_CHP_large1,500000,0.246453888684095,0.05980377009662252,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.021182146183718074,1.2677361912872562,0,8000.0,50.33956981591687,11.300914392589226,0,0,0,0
H,EEG_CHP_large1,500000,0.16397841651201994,0.05400626425846933,456621.00456621003,291649.4966606501,164971.50790555993,0.2432769846943369,0.12310883420673015,0.026573752925419043,1.2677361912872565,0,8000.0,49.76889015095403,9.2410857479456,0,0,0,0
I,EEG_CHP_large1,500000,0.25833322035036166,0.06062713827111099,456621.00456621003,291649.49666065,164971.50790556002,0.2432769846943368,0.12310883420673013,0.0204055676081493,1.2677361912872562,0,8000.0,48.75802589014527,13.131068617445017,0,0,0,0
L,EEG_CHP_large1,500000,0.2287218012422383,0.05856944272559694,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673015,0.02234133254152971,1.2677361912872565,0,8000.0,50.20236554784325,9.865133944472616,0,0,0,0
M,EEG_CHP_large1,500000,0.26602074315329993,0.061158476678447427,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.019903016986980136,1.2677361912872562,0,8000.0,48.59630522041872,11.647814747139895,0,0,0,0
O,EEG_CHP_large1,500000,0.23218381668629262,0.058810937793504436,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.02211501282105465,1.2677361912872562,0,8000.0,49.275738973117214,11.314839689864774,0,0,0,0
P,EEG_CHP_large1,500000,0.29524480402803177,0.06316790289683105,456621.00456621003,291649.4966606501,164971.50790555993,0.2432769846943369,0.12310883420673013,0.017992574530787356,1.2677361912872562,0,8000.0,48.32330337226768,12.776355457482383,0,0,0,0
R,EEG_CHP_large1,500000,0.30910034303991507,0.06411495162210423,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.01708680684520788,1.2677361912872562,0,8000.0,49.16788715242737,10.443101087628612,0,0,0,0
U,EEG_CHP_large1,500000,0.3241874307765127,0.06514215651443744,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.016100530055139207,1.2677361912872562,0,8000.0,48.84824758892444,11.824515292690378,0,0,0,0
V,EEG_CHP_large1,500000,0.2694096358623992,0.06139233857890658,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.01968147746382156,1.2677361912872562,0,8000.0,49.9492883777276,10.610599251121982,0,0,0,0
W,EEG_CHP_large1,500000,0.24564357785177604,0.05974750371993465,456621.00456621003,291649.4966606501,164971.50790555993,0.2432769846943369,0.12310883420673015,0.021235118021663914,1.2677361912872565,0,8000.0,49.82262455124026,11.013765666210508,0,0,0,0
Y,EEG_CHP_large1,500000,0.36437421083680466,0.06785844980020062,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.013473430038684987,1.2677361912872562,0,8000.0,48.83459302299672,10.602947644846882,0,0,0,0
Z,EEG_CHP_large1,500000,0.1948965094727706,0.05619672687015642,456621.00456621003,291649.49666065,164971.50790556002,0.2432769846943368,0.12310883420673015,0.02455256778931058,1.2677361912872565,0,8000.0,49.14934414075783,12.754353691734725,0,0,0,0
AA,EEG_CHP_large1,500000,0.35173176764171865,0.06700697346552631,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.01429989492778545,1.2677361912872562,0,8000.0,48.42627688873474,11.071020401086622,0,0,0,0
AB,EEG_CHP_large1,500000,0.30317745587479394,0.06371054959700606,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.017473999273802616,1.2677361912872562,0,8000.0,48.18369574363663,12.136260903314422,0,0,0,0
AC,EEG_CHP_large1,500000,0.27163076852360946,0.06154549383561503,456621.00456621003,291649.4966606501,164971.50790555993,0.2432769846943369,0.12310883420673015,0.01953627703616705,1.2677361912872565,0,8000.0,50.28991045014164,11.680846169414558,0,0,0,0
AD,EEG_CHP_large1,500000,0.31465823433997975,0.06449384433996741,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.016723475015587692,1.2677361912872562,0,8000.0,49.93231653978721,10.159815219202752,0,0,0,0
AE,EEG_CHP_large1,500000,0.22026105901400617,0.05797821458002539,456621.00456621003,291649.4966606501,164971.50790555993,0.2432769846943369,0.12310883420673013,0.0228944302521116,1.2677361912872562,0,8000.0,48.70734027325264,13.556476731812438,0,0,0,0
AF,EEG_CHP_large1,500000,0.25257826363463454,0.06022860822619758,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673015,0.02078178204632772,1.2677361912872565,0,8000.0,48.37767945156215,10.281203764248891,0,0,0,0
AG,EEG_CHP_large1,500000,0.16794066634044302,0.05428817014913356,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673015,0.026314731760403352,1.2677361912872565,0,8000.0,49.17227905976376,12.289463069095184,0,0,0,0
AH,EEG_CHP_large1,500000,0.3050130491712486,0.06383594943312776,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673015,0.017354002419810173,1.2677361912872565,0,8000.0,49.90644420476749,12.177555761337684,0,0,0,0
AI,EEG_CHP_large1,500000,0.292833223775703,0.06300270083089443,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.01815022494495509,1.2677361912872562,0,8000.0,48.35465533391615,11.471452337379969,0,0,0,0
AK,EEG_CHP_large1,500000,0.25085779618458237,0.06010933800842366,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.020894252865327423,1.2677361912872562,0,8000.0,48.3806943020371,11.91933676680278,0,0,0,0
AM,EEG_CHP_large1,500000,0.26035809884582783,0.06076720470724872,456621.00456621003,287949.024890431,168671.979675779,0.24019026716348893,0.12310883420673015,0.01718647922497693,1.2677361912872565,0,8000.0,49.3837336474317,12.473690068323949,0,0,0,0
AN,EEG_CHP_large1,500000,0.39148685457979404,0.0696753504596126,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.011701015659716076,1.2677361912872562,0,8000.0,48.37464481080303,13.128011409147554,0,0,0,0
AO,EEG_CHP_large1,500000,0.32188420079215474,0.06498560892861027,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.016251097369084883,1.2677361912872562,0,8000.0,48.57964247744164,10.505281792100565,0,0,0,0
AP,EEG_CHP_large1,500000,0.3004799767948507,0.06352615576567033,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.017650339536064753,1.2677361912872562,0,8000.0,48.9972799244183,11.464443463905145,0,0,0,0
AR,EEG_CHP_large1,500000,0.24431746604223048,0.059655392596092316,456621.00456621003,291649.49666065,164971.50790556002,0.2432769846943368,0.12310883420673015,0.021321808927266414,1.2677361912872565,0,8000.0,48.06174005564653,10.68739874870465,0,0,0,0
AS,EEG_CHP_large1,500000,0.3359246703009533,0.06593844047916186,456621.00456621003,291649.49666065,164971.50790556002,0.2432769846943368,0.12310883420673013,0.015333240361824022,1.2677361912872562,0,8000.0,50.30439893169708,10.334217807027686,0,0,0,0
AT,EEG_CHP_large1,500000,0.3155044733588148,0.06455148449780257,456621.00456621003,291649.4966606501,164971.50790555993,0.2432769846943369,0.12310883420673015,0.01666815447144429,1.2677361912872565,0,8000.0,50.10024548774822,11.417385551498397,0,0,0,0
AV,EEG_CHP_large1,500000,0.201941627871699,0.05669292048853647,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673015,0.024092012585983112,1.2677361912872565,0,8000.0,48.01652303931469,11.844241443567366,0,0,0,0
AW,EEG_CHP_large1,500000,0.342548464913625,0.06638673260186367,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.014900228040114453,1.2677361912872562,0,8000.0,48.619764534193855,12.147909976531084,0,0,0,0
AY,EEG_CHP_large1,500000,0.27477983870175837,0.06176246964484644,456621.00456621003,291649.4966606501,164971.50790555993,0.2432769846943369,0.12310883420673013,0.019330415250166332,1.2677361912872562,0,8000.0,49.53451265704346,10.690956706353708,0,0,0,0
AZ,EEG_CHP_large1,500000,0.2924009053281338,0.06297307385726847,456621.00456621003,291649.49666065007,164971.50790555996,0.24327698469433687,0.12310883420673013,0.018178486572261843,1.2677361912872562,0,8000.0,49.24127519682068,10.843995706063344,0,0,0,0
