PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,IRR,CAPEX_EUR,OPEX_EUR,Feed_Trans_Cost
O,10.914721771375948,50.00482723433811,Upgrading_tech1,60000000.0,65.5471247710023,0.15938345148425648,43.69592899836637,8.464199047357825,6.174783454530092
A,10.961617986877082,48.052567975235725,Upgrading_tech1,60000000.0,62.02363605881724,0.15373336242557722,43.69592899836637,8.456246424915623,6.362546874073858
F,10.813739304595853,48.84198996194425,Upgrading_tech1,60000000.0,41.73519725531618,0.12035158512496791,43.69592899836638,8.407638472530465,6.7744041292883965
G,12.00580877390384,48.181245350250514,Upgrading_tech1,60000000.0,39.6606087731595,0.11683364189406675,43.69592899836637,8.411935004992902,6.9504767240412475
D,12.0415599853881,49.7389572248469,Upgrading_tech1,60000000.0,37.44765032479278,0.11305403651625046,43.69592899836637,8.402298699155438,6.889359733908576
L,13.267951380419426,48.73761309345703,Upgrading_tech1,60000000.0,31.81712340728233,0.10329785107781264,43.69592899836637,8.403280972336368,6.765903983393288
M,11.854687029576375,48.81388314853605,FlexEEG_biogas,60000000.0,23.318850798444302,0.09954849804247479,34.3229626128024,6.734057529883965,6.5163059619674035
B,10.278523931308154,49.7466782215084,Upgrading_tech1,60000000.0,29.562040548764045,0.09932785200838379,43.69592899836637,8.401283687884689,7.354569072289544
R,11.382274695310208,47.7308809468272,FlexEEG_biogas,60000000.0,22.129142682389485,0.09686141146446392,34.322962612801646,6.734057529883818,6.73516085063772
S,10.445101394489514,48.34246152067781,Upgrading_tech1,60000000.0,27.54222455350856,0.09573825819045423,43.69592899836637,8.397096958082727,6.722565345214641
E,11.663840766180163,50.19063886859377,FlexEEG_biogas,60000000.0,19.04655719456173,0.08980897580835134,34.322962612801646,6.734057529883818,6.814138428221869
K,9.43952051273737,49.89226728277097,FlexEEG_biogas,60000000.0,17.052966540874785,0.08517219436510715,34.32296261280164,6.734057529883816,6.7677321262725165
N,11.422676347301191,49.35066205735373,FlexEEG_biogas,60000000.0,16.81646553548795,0.08461786319232067,34.322962612801646,6.734057529883818,6.7804898951788015
H,10.391542725392734,47.709174961672346,Upgrading_tech1,38808418.81126119,8.842977661364635,0.06625986483564428,32.90713082842774,5.7612782074078845,4.472230368739598
I,12.455326330526646,49.22910308852548,Upgrading_tech1,60000000.0,9.66846446364881,0.06215666514384699,43.69592899836638,8.409113566836313,7.722830820469148
P,12.581765671011546,47.92045809885328,Upgrading_tech1,39879709.1443698,7.09999016393995,0.06134565133070957,33.49391454273734,5.895216714718738,4.667104302488231
