PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
Plant_1,Upgrading_tech1,80000000,104.91771083645214,0.19566754240870443,73059360.73059359,42252343.285753004,30807017.444840588,15.407094920713403,10.677336035495863,11.712082229614929,51.73782534072534,17.223247375913605,7999.999999999998,48.01563982376891,12.441615404443551,0.0,0.0,0.0,0.0
Plant_3,Upgrading_tech1,60000000,41.240656246025104,0.1211476540772185,54794520.54794522,31564608.649088304,23229911.898856916,11.529244125012875,8.312287962338232,8.65761658012373,42.69592899836638,10.927783400326012,8000.000000000002,48.925837319407776,13.034595304886864,0.0,0.0,0.0,0.0
Plant_4,Upgrading_tech1,60000000,72.71269561478005,0.1734638350165807,54794520.54795563,32007374.812208254,22787145.73574738,11.621872700952572,8.334426270495378,8.878211260301248,42.6959289983729,13.135285668918348,8000.0000000015225,47.746843560454224,10.683695095864278,0.0,0.0,0.0,0.0
Plant_6,Upgrading_tech1,80000000,69.60277388228498,0.14850611315446427,73059360.73059359,42167694.873008974,30891665.85758462,15.3893861105537,10.673103614858661,11.907861731196245,51.73782534072534,15.123886569830447,7999.999999999998,49.199604330522575,12.485066853820264,0.0,0.0,0.0,0.0
Plant_7,FlexEEG_biogas,60000000,9.560851975297716,0.06710161564942951,54794520.54794522,30842958.54228317,23951562.005662046,18.025615996090604,6.734057529883816,8.422775004244839,34.322962612801646,0.0,8000.000000000002,48.11770462067978,11.110178307330836,9.462240565978972,4.0590567159986355,2.460034373332506,2.348258887117695
Plant_8,Upgrading_tech1,60000000,68.29830193839692,0.16631451413191534,54794520.54794521,31864687.39156957,22929833.15637564,11.59202188198779,8.327291899462287,8.453866722754164,42.69592899836638,12.44507875605612,8000.000000000001,48.36792745746638,12.926756422930175,0.0,0.0,0.0,0.0
Plant_9,Upgrading_tech1,60000000,39.012214198488174,0.11728489850697188,54794520.54794521,31631771.87548756,23162748.672457654,11.543294959369483,8.315646123658194,8.652177260599197,42.69592899836638,10.765973149119377,8000.000000000001,50.16251810173407,11.836341847882162,0.0,0.0,0.0,0.0
Plant_12,Upgrading_tech1,80000000,81.02868838269484,0.16398761236025639,73059360.73044154,41413094.23408384,31646266.496357705,15.231520427913367,10.635373582894584,10.619366672820066,51.737825340617654,14.702464839812425,7999.999999983348,49.86154010204937,10.118353538928057,0.0,0.0,0.0,0.0
Plant_13,FlexEEG_biogas,80000000,19.9476633184058,0.08354759734776529,73059360.73059359,41250845.80397003,31808514.926623564,24.07464118231275,8.564718871208212,11.470246132669988,41.84731101860637,0.0,7999.999999999998,49.036271177635975,11.62396845498417,12.655252446426772,5.428776311185672,3.29016746132465,2.348258887117695
Plant_15,Upgrading_tech1,60000000,54.08691176102344,0.14293393404519228,54794520.54794521,31952025.237686913,22842495.310258295,11.610293333117355,8.331658791768078,8.96416247003678,42.69592899836638,12.012439469498013,8000.000000000001,48.661995911089015,13.391029855498797,0.0,0.0,0.0,0.0
