PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,Upgrading_tech1,60000000,37.61949407160483,0.11485600363549686,54794520.54794519,31352765.3957025,23441755.15224269,11.484925609919586,13.004610609024315,7.821011129588397,42.69592899836638,14.591095612107535,7999.999999999997,49.76345010396675,10.426031180937702,0.0,0.0,0.0,0.0
B,FlexEEG_biogas,60000000,43.65772798098563,0.1433025264004424,54794520.5479452,29048930.566256557,25745589.98168865,17.4532493106191,6.734057529883816,5.621418999868249,34.322962612801646,0.0,8000.0,48.850419897877885,11.74633195740246,8.911854834727277,3.8229554582416276,2.316942701964623,1.7611941653382708
C,Upgrading_tech1,60000000,45.660780292589955,0.12873021586543265,54794520.5479452,31177636.271797083,23616884.27614812,11.448287847814692,12.969584784243233,7.851551689773118,42.69592899836638,15.14892503948626,8000.0,49.28272065881865,12.256253982579375,0.0,0.0,0.0,0.0
D,Upgrading_tech1,40000000,37.627948417284706,0.13492555295912956,36529680.36529724,20940491.18592906,15589189.179368187,7.664702314229917,8.986340137397406,4.218312902798025,32.57818632069874,10.129483339641668,8000.000000000096,48.43108917943932,11.29787629540125,0.0,0.0,0.0,0.0
E,Upgrading_tech1,60000000,68.66168370873211,0.16690478592746327,54794520.5479452,31223928.50031804,23570592.047627166,11.457972380107403,12.978843229947424,6.418391955092746,42.69592899836638,15.21895990273978,8000.0,48.20684696854946,12.012979763620333,0.0,0.0,0.0,0.0
F,Upgrading_tech1,40000000,26.213271897791742,0.10911357681739897,36529680.365297355,20793022.72164958,15736657.643647775,7.633851280479746,8.95684644454151,4.958575478567449,32.57818632069874,10.124900230653918,8000.00000000012,50.12888374474623,11.84761918143194,0.0,0.0,0.0,0.0
G,Upgrading_tech1,60000000,61.6995801607248,0.15553482084499892,54794520.5479452,31129615.375545915,23664905.17239929,11.438241670835788,12.959980604993,6.826682729925006,42.69592899836638,15.172990425702926,8000.0,47.93100019401797,12.570237543965584,0.0,0.0,0.0,0.0
I,Upgrading_tech1,60000000,55.50799737216473,0.145301299336412,54794520.5479452,31560464.37442405,23234056.173521154,11.52837712501961,13.046150404768627,7.407963115141782,42.69592899836638,15.34554749189394,8000.0,48.591362333233874,13.304323733731383,0.0,0.0,0.0,0.0
J,Upgrading_tech1,60000000,57.92987685809542,0.14931931236844154,54794520.5479452,31312968.41117008,23481552.136775125,11.476599910462662,12.996651212117833,7.164173048017817,42.69592899836638,15.26235914486227,8000.0,47.704819746780906,10.437869887108333,0.0,0.0,0.0,0.0
K,Upgrading_tech1,60000000,55.22836982975944,0.1448360548231784,54794520.5479452,31178824.43540681,23615696.112538394,11.448536416726043,12.96982241696518,7.270046796655904,42.69592899836638,15.192864013794532,8000.0,47.79827729901043,11.34184774305326,0.0,0.0,0.0,0.0
N,Upgrading_tech1,40000000,23.233504222314828,0.10214890468056237,36529680.36529741,20838149.77220096,15691530.593096448,7.643292052555387,8.965871854651787,5.120574731543689,32.57818632069874,10.091690020282934,8000.000000000133,49.344264300148,11.253411910986838,0.0,0.0,0.0,0.0
O,FlexEEG_biogas,60000000,38.86511223597887,0.1332900528217833,54794520.5479452,29734253.580143373,25060266.96780183,17.67189476496955,6.734057529883816,6.15336850305456,34.322962612801646,0.0,8000.0,50.23689430528555,10.115536474374528,9.122103511549534,3.913146708161188,2.3716040655522357,1.7611941653382708
Q,FlexEEG_biogas,60000000,36.55408484401072,0.12840723491477868,54794520.5479452,29252997.82005259,25541522.72789261,17.518354927270188,6.734057529883816,6.150905713338562,34.322962612801646,0.0,8000.0,48.78714279700576,10.769888412188664,8.97446015984256,3.8498115251102014,2.333219106127395,1.7611941653382708
R,FlexEEG_biogas,60000000,35.42275935191573,0.12600256062341786,54794520.5479452,29342249.019145384,25452271.52879982,17.54682962982875,6.734057529883816,6.253337702707332,34.322962612801646,0.0,8000.0,48.9859952261635,12.948598803210228,9.001841330668318,3.8615573399156093,2.340337781767036,1.7611941653382708
S,FlexEEG_biogas,60000000,45.86961205819841,0.14787738994100907,54794520.5479452,29150975.064055488,25643545.483889718,17.48580558719687,6.734057529883816,5.509379449486942,34.322962612801646,0.0,8000.0,48.58883272838263,12.518684972280344,8.943160832343693,3.836384922329959,2.325081771109066,1.7611941653382708
T,Upgrading_tech1,60000000,52.18585888382578,0.13975511745996472,54794520.5479452,31433396.035409108,23361124.512536097,11.501793884767647,13.020736736965638,7.33485916193715,42.69592899836638,15.05643746122843,8000.0,48.25246076615605,10.49206911072586,0.0,0.0,0.0,0.0
