PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Methane,Feed_Trans_Cost,IRR
I,12.022993302559682,48.31128051737323,Upgrading_tech1,60000000,92.47374863524628,43.69592899836637,13.79836232715962,35.32152398637901,5.968166465474091,0.20165648703083483
Y,10.521058207772896,48.10363987383523,Upgrading_tech1,60000000,70.06855614472015,43.69592899836637,13.56212418153131,34.14033325823746,6.782533643723974,0.1665853484951587
U,11.864730084853388,47.84794333549336,Upgrading_tech1,60000000,61.71015971550757,43.69592899836637,13.529597528289067,33.977699992026245,7.239402210171005,0.15322895850726503
AC,12.742475486576245,49.1362356817195,Upgrading_tech1,60000000,58.95090178720484,43.69592899836637,13.575698651047412,34.20820560581798,7.546687129128916,0.14877617403041143
Z,12.509266846017434,48.21077669020171,Upgrading_tech1,60000000,42.485835369785036,43.69592899836637,13.567075788422056,34.1650912926912,8.599308674845616,0.12161872920492578
O,11.686605444268857,49.62711633580038,Upgrading_tech1,60000000,41.68691157819123,43.69592899836637,13.622667284189406,34.44304877152795,8.804567016046464,0.12026997239782
N,10.3516995235342,47.666947613224025,Upgrading_tech1,60000000,41.29716397334798,43.69592899836637,13.667809233790068,34.66875851953126,8.95431133828506,0.11961076101321422
X,10.1350340358799,49.81125341967313,FlexEEG_biogas,60000000,30.927193998695465,34.32296261280164,6.734057529883816,32.67784294737289,5.938439477500594,0.11634376358300114
R,11.023858993331991,48.57950267480639,FlexEEG_biogas,60000000,26.481569338440686,34.32296261280164,6.734057529883816,32.37252649836297,6.070859738296437,0.10660704066904203
AB,12.099100679828798,48.76600917336551,FlexEEG_biogas,60000000,25.66940841857688,34.32296261280164,6.734057529883816,31.870655407549588,5.863907188350452,0.10480565828276167
D,13.113105608328048,48.42851463679729,FlexEEG_biogas,60000000,22.511086920088275,34.32296261280164,6.734057529883816,31.94202299672909,6.107353019291174,0.0977260820097654
S,12.69411731200936,48.69356943121753,FlexEEG_biogas,60000000,20.302077587275317,34.32296261280164,6.734057529883816,32.209008878847165,6.3901001250976055,0.09269776937839391
K,13.350707589899375,48.79470727910502,Upgrading_tech1,20000000,9.85561193278587,21.533097764752856,4.992431777648582,11.521481103510009,2.3222896562648785,0.08201057437979298
W,10.44508375711625,49.32217277636897,Upgrading_tech1,20000000,5.160529020797831,21.533097764752856,4.953334349132012,11.325993960927157,2.521591327098073,0.06375446412048813
B,11.201384260604833,48.07357214815247,Upgrading_tech1,20000000,1.785265235153588,21.533097764752856,4.985631664073016,11.487480535632177,2.831147149640204,0.04977441823800666
P,10.030111597399753,50.25234006242015,Upgrading_tech1,20000000,1.2399397484174486,21.533097764752856,4.950783349579517,11.313238963164684,2.7376801816372027,0.047430894570130055
