PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
C,Upgrading_tech1,20000000,10.6866102156782,0.08706536088253847,18264840.182649333,10464862.260729855,7799977.921919478,3.831224940976055,4.781108009092552,2.1099282213682344,20.533097764752856,5.100713676439719,8000.000000000408,50.09413755316515,10.77486167258746,0.0,0.0,0.0,0.0
D,FlexEEG_biogas,60000000,42.828023127725686,0.14157929392204283,54794520.5479452,29133530.36720332,25660990.180741884,17.480240031113155,6.734057529883816,5.702649388989176,34.322962612801646,0.0,8000.0,48.42851463679729,13.113105608328048,8.937809013775789,3.8340891304454257,2.323690382088137,1.7611941653382708
H,Upgrading_tech1,20000000,9.282908815149156,0.08155560437872311,18264840.18264862,10391661.6505123,7873178.532136322,3.815911060090409,4.766467887049041,2.1653386184699195,20.533097764752856,5.065034721059516,8000.000000000096,50.0793847157584,11.912888356343556,0.0,0.0,0.0,0.0
I,Upgrading_tech1,60000000,65.87007052598622,0.16236150803104588,54794520.5479452,31511374.90856186,23283145.639383346,11.51810739870563,13.036332511596187,6.657185624833857,42.69592899836638,15.27261381567409,8000.0,48.31128051737323,12.022993302559682,0.0,0.0,0.0,0.0
K,Upgrading_tech1,40000000,33.73124610790695,0.12624748315505485,36529680.36529706,21071543.19828081,15458137.167016244,7.692118955990207,9.012550539867757,4.615323649672136,32.57818632069874,10.270551670659195,8000.000000000055,48.79470727910502,13.350707589899375,0.0,0.0,0.0,0.0
L,Upgrading_tech1,40000000,31.221332082380506,0.12058955055230824,36529680.36529706,20905209.508622013,15624470.856675038,7.6573212363656875,8.979283801935997,4.696798119064893,32.57818632069874,10.189478408101406,8000.000000000055,47.67952365879874,11.107992824619124,0.0,0.0,0.0,0.0
M,Upgrading_tech1,40000000,24.364406702713055,0.10480537516151434,36529680.36529706,21117302.232043814,15412378.133253237,7.7016919416579945,9.021702346620359,5.218552589995901,32.57818632069874,10.261028115187203,8000.000000000055,47.84721150118794,12.670618193153649,0.0,0.0,0.0,0.0
N,Upgrading_tech1,60000000,46.98496780147202,0.1309829150085844,54794520.5479452,31602436.013256803,23192084.534688402,11.537157771461587,13.054544732535177,8.023421037299448,42.69592899836638,15.4034495214065,8000.0,47.666947613224025,10.3516995235342,0.0,0.0,0.0,0.0
P,Upgrading_tech1,20000000,10.283345233396368,0.0854919252102262,18264840.182649333,10502116.535928218,7762723.646721115,3.8390186947599485,4.788558864132224,2.1547916886282947,20.533097764752856,5.118871907888529,8000.000000000408,50.25234006242015,10.030111597399753,0.0,0.0,0.0,0.0
R,Upgrading_tech1,40000000,33.2868588734332,0.1252498556513899,36529680.36529706,20995828.454998653,15533851.9102984,7.676279107709444,8.997407591211324,4.606772963619826,32.57818632069874,10.23364729323471,8000.000000000055,48.57950267480639,11.023858993331991,0.0,0.0,0.0,0.0
S,FlexEEG_biogas,60000000,45.24165976385433,0.14658132434659432,54794520.5479452,29047114.776518732,25747405.771426473,17.452670001061144,6.734057529883816,5.517294514344619,34.322962612801646,0.0,8000.0,48.69356943121753,12.69411731200936,8.911297772754999,3.8227164930489717,2.3167978745751343,1.7611941653382708
U,Upgrading_tech1,60000000,50.41995840560427,0.13678948966723592,54794520.5479452,31452613.01814592,23341907.529799286,11.505814159786352,13.024580133513,7.679804650935479,42.69592899836638,15.285765193724579,8000.0,47.84794333549336,11.864730084853388,0.0,0.0,0.0,0.0
V,FlexEEG_biogas,60000000,41.24739686004085,0.13828504865820168,54794520.5479452,29045096.644268904,25749423.9036763,17.452026136148156,6.734057529883816,5.777764581042665,34.322962612801646,0.0,8000.0,48.51616578226692,11.551822556753288,8.910678634587184,3.822450898772365,2.316636908346888,1.7611941653382708
W,Upgrading_tech1,20000000,11.673153042030858,0.09088435257739924,18264840.182648636,10594198.696036408,7670641.48661223,3.858282676677427,4.806975296153862,2.1096664575424384,20.533097764752856,5.1637539829429215,8000.000000000103,49.32217277636897,10.44508375711625,0.0,0.0,0.0,0.0
X,FlexEEG_biogas,60000000,47.42978419934519,0.15108854473196498,54794520.5479452,29552371.008543786,25242149.539401416,17.613866949326418,6.734057529883816,5.535448856761465,34.322962612801646,0.0,8000.0,49.81125341967313,10.1350340358799,9.066304174242942,3.889210234208397,2.357097111641453,1.7611941653382708
Y,Upgrading_tech1,60000000,53.16586986620913,0.1413955649596046,54794520.5479452,31429017.04759532,23365503.500349883,11.500877781779153,13.01986093940288,7.4860710124022996,42.69592899836638,15.271755134786618,8000.0,48.10363987383523,10.521058207772896,0.0,0.0,0.0,0.0
Z,Upgrading_tech1,60000000,59.705942896334896,0.1522533239029611,54794520.5479452,31308576.8875479,23485943.660397302,11.475681184929414,12.995772907393397,6.793943806164298,42.69592899836638,15.00827574732456,8000.0,48.21077669020171,12.509266846017434,0.0,0.0,0.0,0.0
AA,Upgrading_tech1,40000000,29.803942860987753,0.11736819438473622,36529680.36529706,20820631.358796302,15709049.006500753,7.639627125509174,8.962368171970855,4.592304791864747,32.57818632069874,9.99310564689484,8000.000000000055,49.7432204886739,12.220567629528976,0.0,0.0,0.0,0.0
AB,FlexEEG_biogas,60000000,45.441800197422154,0.146994635694772,54794520.5479452,29065282.16631851,25729238.38162669,17.458466125102866,6.734057529883816,5.510007009005479,34.322962612801646,0.0,8000.0,48.76600917336551,12.099100679828798,8.916871304636052,3.8251073942161815,2.318246905585565,1.7611941653382708
AC,Upgrading_tech1,60000000,52.837516655850415,0.14084634896536952,54794520.5479452,31504813.70048128,23289706.84746392,11.516734765899526,13.035020269980073,7.517683462666699,42.69592899836638,15.281204745119625,8000.0,49.1362356817195,12.742475486576245,0.0,0.0,0.0,0.0
AD,Upgrading_tech1,40000000,24.069811994978778,0.10411497951196491,36529680.36529708,20835937.59899262,15693742.766304463,7.642829256454204,8.965429420010118,5.1189670564771435,32.57818632069874,10.144774022965239,8000.000000000061,49.30562493499518,11.19028635271306,0.0,0.0,0.0,0.0
