PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
B,Upgrading_tech1,20000000,11.261262652941472,0.08929498551215653,18264840.182648398,10364525.53869053,7900314.64395787,3.810234069380866,4.761040664684686,2.0225329156618628,20.533097764752856,5.051808217618961,7999.999999999998,48.07357214815247,11.201384260604833,0.0,0.0,0.0,0.0
C,Upgrading_tech1,20000000,10.37421170558909,0.08584710916164884,18264840.182648387,10458255.944122596,7806584.238525792,3.829842871273068,4.779786745771085,2.1270695998311613,20.533097764752856,5.097493669464766,7999.999999999994,50.09413755316515,10.77486167258746,0.0,0.0,0.0,0.0
D,FlexEEG_biogas,60000000,43.297413878987214,0.14255467587872062,54794520.5479452,29154566.58237459,25639953.965570614,17.486951425201397,6.734057529883816,5.678675656065191,34.322962612801646,0.0,8000.0,48.42851463679729,13.113105608328048,8.94426266601785,3.836857580506826,2.3253682306101977,1.7611941653382708
I,Upgrading_tech1,60000000,65.26818187920193,0.16137927650918127,54794520.5479452,31521517.513051625,23273003.03489358,11.520229274965462,13.03836103249414,6.700083577670215,42.69592899836638,15.276071601299046,8000.0,48.31128051737323,12.022993302559682,0.0,0.0,0.0,0.0
K,Upgrading_tech1,20000000,12.761980001595287,0.09505237414316747,18264840.182648398,10335236.522670064,7929603.659978336,3.8041066819006213,4.755182861480593,1.9098822120595398,20.533097764752856,5.037532359909334,7999.999999999998,48.79470727910502,13.350707589899375,0.0,0.0,0.0,0.0
L,Upgrading_tech1,40000000,32.184417213460414,0.12276736433297253,36529680.36529678,20904674.165303774,15625006.199993009,7.6572092402527385,8.97917673327235,4.632623673139877,32.57818632069874,10.188267926401243,7999.999999999995,47.67952365879874,11.107992824619124,0.0,0.0,0.0,0.0
M,Upgrading_tech1,40000000,27.019331525455605,0.11097905909840211,36529680.36529683,21060003.78926513,15469676.576031702,7.689704862246557,9.01024265806462,5.039025204759231,32.57818632069874,10.255586515757193,8000.000000000006,47.84721150118794,12.670618193153649,0.0,0.0,0.0,0.0
N,Upgrading_tech1,60000000,44.804323383676255,0.12726874511924335,54794520.5479452,31654620.018176056,23139900.529769145,11.548074888587948,13.064981533519028,8.19189015491599,42.69592899836638,15.428884702578603,8000.0,47.666947613224025,10.3516995235342,0.0,0.0,0.0,0.0
O,Upgrading_tech1,60000000,37.616313134885324,0.11485044259744726,54794520.5479452,31162819.97717025,23631700.570774954,11.445188215579297,12.966621525317866,8.111221095477127,42.69592899836638,14.882845943656768,8000.0,49.62711633580038,11.686605444268857,0.0,0.0,0.0,0.0
P,Upgrading_tech1,20000000,9.939381361742836,0.08414394954632587,18264840.182648398,10485527.809167922,7779312.373480477,3.8355482621378463,4.785241118780165,2.169039124666524,20.533097764752856,5.1107863408398,7999.999999999998,50.25234006242015,10.030111597399753,0.0,0.0,0.0,0.0
Q,Upgrading_tech1,40000000,27.25895469808834,0.1115321877013804,36529680.36529684,20989105.837297622,15540574.527999219,7.674872707320008,8.996063067671106,4.7529431822625545,32.57818632069874,9.9858217624507,8000.000000000008,48.92796062685133,10.742648905548826,0.0,0.0,0.0,0.0
R,FlexEEG_biogas,60000000,42.62284127989754,0.14115252202956596,54794520.5479452,29095868.580500834,25698651.96744437,17.468224414683593,6.734057529883816,5.704046970506716,34.322962612801646,0.0,8000.0,48.57950267480639,11.023858993331991,8.92625484054578,3.8291326886682326,2.3206864779807463,1.7611941653382708
