SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km
CLUSTER_107,B,cattle_man,13402.099999999993,34.307131916577106
CLUSTER_107,B,horse_man,1668.9,34.307131916577106
CLUSTER_107,B,pig_man,993.2,34.307131916577106
CLUSTER_152,B,cattle_man,3361.0,30.528510488889832
CLUSTER_201,B,cattle_man,7892.0,10.29039673105607
CLUSTER_201,B,cattle_slu,18990.0,10.29039673105607
CLUSTER_201,B,horse_man,2174.1,10.29039673105607
CLUSTER_209,B,cattle_man,13940.0,22.476289664086423
CLUSTER_256,B,cattle_man,2666.96,12.160217553817128
CLUSTER_256,B,cattle_slu,3500.2,12.160217553817128
CLUSTER_256,B,horse_man,2930.0,12.160217553817128
CLUSTER_256,B,pig_man,14.8359,12.160217553817128
CLUSTER_263,B,cattle_man,11151.51,35.30210881913006
CLUSTER_297,B,cattle_man,11530.0,12.237745214167765
CLUSTER_297,B,cattle_slu,40380.0,12.237745214167765
CLUSTER_297,B,horse_man,3459.0,12.237745214167765
CLUSTER_297,B,pig_man,153.126,12.237745214167765
CLUSTER_3,B,cattle_man,7882.999999999999,10.623914341964213
CLUSTER_3,B,cattle_slu,38874.0,10.623914341964213
CLUSTER_3,B,horse_man,5877.0,10.623914341964213
CLUSTER_3,B,pig_man,16.916,10.623914341964213
CLUSTER_315,B,cattle_man,6294.0,20.96646905945102
CLUSTER_315,B,horse_man,1179.8,20.96646905945102
CLUSTER_315,B,pig_man,304.38530000000003,20.96646905945102
CLUSTER_324,B,cattle_man,6315.0,24.08969760039796
CLUSTER_324,B,horse_man,736.19,24.08969760039796
CLUSTER_324,B,pig_man,258.47,24.08969760039796
CLUSTER_342,B,cattle_man,4948.0,8.892148362867285
CLUSTER_342,B,cattle_slu,14750.0,8.892148362867285
CLUSTER_342,B,horse_man,2247.0,8.892148362867285
CLUSTER_342,B,pig_man,109.9,8.892148362867285
CLUSTER_369,B,cattle_man,3235.7,19.60949081275104
CLUSTER_376,B,cattle_man,2955.0,22.875137393703877
CLUSTER_415,B,cattle_man,6170.0,2.264001005534232
CLUSTER_415,B,cattle_slu,21660.0,2.264001005534232
CLUSTER_415,B,horse_man,3241.0,2.264001005534232
CLUSTER_415,B,pig_slu,70.74000000000001,2.264001005534232
CLUSTER_427,B,cattle_man,8930.0,35.8916559562403
CLUSTER_499,B,cattle_man,4370.0,28.807418283984266
CLUSTER_499,B,horse_man,3670.0,28.807418283984266
CLUSTER_499,B,pig_man,128.13,28.807418283984266
CLUSTER_5,B,cattle_man,39.95411123083187,20.690517731043634
CLUSTER_507,B,cattle_man,9890.0,18.269574146033133
CLUSTER_534,B,cattle_man,2189.0,26.91769729675138
CLUSTER_63,B,cattle_man,14627.0,18.80569826757328
CLUSTER_63,B,horse_man,6166.0,18.80569826757328
CLUSTER_63,B,pig_man,79.20406,18.80569826757328
CLUSTER_84,B,cattle_man,15427.9,15.19713260087686
CLUSTER_84,B,cattle_slu,19315.440429603066,15.19713260087686
CLUSTER_114,C,cattle_man,3025.0,31.57635105244574
CLUSTER_114,C,horse_man,370.48697047005476,31.57635105244574
CLUSTER_114,C,pig_man,77.82099999780954,31.57635105244574
CLUSTER_133,C,horse_man,538.3,57.622682006346295
CLUSTER_153,C,cattle_man,5103.062,33.937809638096255
CLUSTER_153,C,horse_man,1262.5,33.937809638096255
CLUSTER_153,C,pig_man,71.88691,33.937809638096255
CLUSTER_168,C,cattle_man,4187.0,43.09510643420318
CLUSTER_168,C,horse_man,2384.0,43.09510643420318
CLUSTER_168,C,pig_man,426.892,43.09510643420318
CLUSTER_194,C,cattle_man,4180.5,17.261541108444582
CLUSTER_194,C,cattle_slu,4298.799999999998,17.261541108444582
CLUSTER_194,C,horse_man,974.4,17.261541108444582
CLUSTER_194,C,pig_man,308.943,17.261541108444582
CLUSTER_200,C,horse_man,797.9,34.89733268379698
CLUSTER_217,C,cattle_man,3099.0,21.328689049453377
CLUSTER_217,C,horse_man,1360.0,21.328689049453377
CLUSTER_217,C,pig_man,542.22,21.328689049453377
CLUSTER_222,C,cattle_man,793.6507936507936,21.440303406114804
CLUSTER_222,C,horse_man,643.3,21.440303406114804
CLUSTER_222,C,pig_man,43.141,21.440303406114804
CLUSTER_24,C,cattle_man,15326.0,28.65580757426249
CLUSTER_24,C,horse_man,1587.3015873015872,28.65580757426249
CLUSTER_24,C,pig_man,223.81187183186324,28.65580757426249
CLUSTER_247,C,horse_man,632.0,32.63886476882548
CLUSTER_255,C,cattle_man,5100.0,24.85775153669412
CLUSTER_255,C,horse_man,1720.5,24.85775153669412
CLUSTER_255,C,pig_man,204.36,24.85775153669412
CLUSTER_289,C,cattle_man,2928.51287,41.524302586993656
CLUSTER_289,C,horse_man,747.4,41.524302586993656
CLUSTER_289,C,pig_man,222.68,41.524302586993656
CLUSTER_293,C,cattle_man,4637.0,8.505228592533554
CLUSTER_293,C,cattle_slu,19004.0,8.505228592533554
CLUSTER_293,C,horse_man,504.0,8.505228592533554
CLUSTER_293,C,pig_man,338.2269,8.505228592533554
CLUSTER_298,C,cattle_man,6560.0,28.63399657195839
CLUSTER_298,C,horse_man,591.0,28.63399657195839
CLUSTER_317,C,cattle_man,11860.0,21.41648255629125
CLUSTER_317,C,horse_man,217.4,21.41648255629125
CLUSTER_317,C,pig_man,92.31,21.41648255629125
CLUSTER_320,C,horse_man,151.8,37.71068197604106
CLUSTER_326,C,cattle_man,7270.0,9.000886962242781
CLUSTER_326,C,cattle_slu,44110.0,9.000886962242781
CLUSTER_326,C,horse_man,1285.4,9.000886962242781
CLUSTER_326,C,pig_man,707.3,9.000886962242781
CLUSTER_327,C,horse_man,336.5,56.64613639343808
CLUSTER_328,C,cattle_man,9120.0,21.39265129559517
CLUSTER_328,C,horse_man,333.38,21.39265129559517
CLUSTER_328,C,pig_man,824.57,21.39265129559517
CLUSTER_347,C,cattle_man,674.0,29.04979443739329
CLUSTER_347,C,horse_man,826.5,29.04979443739329
CLUSTER_347,C,pig_man,55.193,29.04979443739329
CLUSTER_359,C,horse_man,362.1,47.571342518315696
CLUSTER_359,C,pig_man,13.947,47.571342518315696
CLUSTER_36,C,cattle_man,5369.2,31.148540196642877
CLUSTER_36,C,horse_man,1610.7,31.148540196642877
CLUSTER_36,C,pig_man,1634.0,31.148540196642877
CLUSTER_367,C,cattle_man,1682.0,16.590215971210657
CLUSTER_367,C,cattle_slu,18050.0,16.590215971210657
CLUSTER_367,C,horse_man,1169.9,16.590215971210657
CLUSTER_367,C,pig_man,1184.2,16.590215971210657
CLUSTER_38,C,cattle_man,6536.0,34.8064521071778
CLUSTER_38,C,horse_man,253.79999999999998,34.8064521071778
CLUSTER_38,C,pig_man,315.61,34.8064521071778
CLUSTER_4,C,pig_man,730.49,44.60242906771172
CLUSTER_401,C,cattle_man,1666.8,34.76250923820092
CLUSTER_401,C,horse_man,929.5,34.76250923820092
CLUSTER_401,C,pig_man,189.6729,34.76250923820092
CLUSTER_417,C,horse_man,430.8,37.82791146407786
CLUSTER_418,C,cattle_man,5426.46,15.714017830256266
CLUSTER_418,C,cattle_slu,10097.0,15.714017830256266
CLUSTER_418,C,horse_man,144.9,15.714017830256266
CLUSTER_418,C,pig_man,116.425,15.714017830256266
CLUSTER_421,C,cattle_man,2121.0,43.1485571015424
CLUSTER_455,C,cattle_man,11640.0,5.1092339127099455
CLUSTER_455,C,cattle_slu,11080.499,5.1092339127099455
CLUSTER_455,C,horse_man,810.1,5.1092339127099455
CLUSTER_455,C,pig_man,488.40999999999997,5.1092339127099455
CLUSTER_46,C,cattle_man,1697.0,24.388782202844585
CLUSTER_46,C,horse_man,2237.0,24.388782202844585
CLUSTER_46,C,pig_man,83.87871,24.388782202844585
CLUSTER_465,C,cattle_man,5980.0,15.825401453109482
CLUSTER_465,C,cattle_slu,28910.0,15.825401453109482
CLUSTER_465,C,horse_man,1448.0,15.825401453109482
CLUSTER_465,C,pig_man,518.0,15.825401453109482
CLUSTER_467,C,cattle_man,779.0,28.35976650855681
CLUSTER_467,C,horse_man,266.5,28.35976650855681
CLUSTER_467,C,pig_man,1040.9,28.35976650855681
CLUSTER_468,C,cattle_man,1492.0,32.03713212693096
CLUSTER_468,C,horse_man,11.2,32.03713212693096
CLUSTER_491,C,cattle_man,4089.834651727976,30.5713677410876
CLUSTER_491,C,horse_man,277.6,30.5713677410876
CLUSTER_506,C,cattle_man,1700.0,16.827634040931617
CLUSTER_506,C,horse_man,529.0,16.827634040931617
CLUSTER_506,C,pig_man,228.0325,16.827634040931617
CLUSTER_517,C,cattle_man,2042.0,9.99268005463376
CLUSTER_517,C,cattle_slu,1455.5,9.99268005463376
CLUSTER_517,C,horse_man,372.7,9.99268005463376
CLUSTER_525,C,cattle_man,4927.7,13.16504910843364
CLUSTER_525,C,cattle_slu,54.5,13.16504910843364
CLUSTER_525,C,horse_man,29.06,13.16504910843364
CLUSTER_525,C,pig_man,24.965,13.16504910843364
CLUSTER_526,C,cattle_man,2490.0,26.71841433906978
CLUSTER_526,C,horse_man,485.0,26.71841433906978
CLUSTER_526,C,pig_man,141.0,26.71841433906978
CLUSTER_535,C,cattle_man,1578.0,23.34063428105191
CLUSTER_535,C,horse_man,706.0,23.34063428105191
CLUSTER_535,C,pig_man,303.3,23.34063428105191
CLUSTER_539,C,cattle_man,2743.0,35.38649381893957
CLUSTER_539,C,horse_man,433.0,35.38649381893957
CLUSTER_95,C,cattle_man,4536.0,31.73749148852839
CLUSTER_95,C,horse_man,229.22,31.73749148852839
CLUSTER_104,D,legume_str,171.70000000000002,35.85242533245269
CLUSTER_104,D,rape_str,732.1,35.85242533245269
CLUSTER_124,D,legume_str,92.4,38.26212530716957
CLUSTER_159,D,beet_leaf,1650.0,21.241575337741114
CLUSTER_159,D,cattle_man,483.9042244636424,21.241575337741114
CLUSTER_159,D,legume_str,421.3,21.241575337741114
CLUSTER_159,D,maize_str,9172.0,21.241575337741114
CLUSTER_159,D,rape_str,771.0,21.241575337741114
CLUSTER_208,D,legume_str,344.5,20.20887246344904
CLUSTER_208,D,maize_str,2548.0,20.20887246344904
CLUSTER_208,D,rape_str,87.1,20.20887246344904
CLUSTER_214,D,legume_str,85.15,44.40108486196571
CLUSTER_225,D,beet_leaf,5020.0,15.18242667506266
CLUSTER_225,D,cattle_man,6770.0,15.18242667506266
CLUSTER_225,D,legume_str,589.4,15.18242667506266
CLUSTER_225,D,maize_str,8410.0,15.18242667506266
CLUSTER_225,D,rape_str,1132.3,15.18242667506266
CLUSTER_233,D,beet_leaf,1632.0,19.95439258471865
CLUSTER_233,D,legume_str,413.0,19.95439258471865
CLUSTER_233,D,rape_str,718.0,19.95439258471865
CLUSTER_258,D,legume_str,10.47,45.17899178475356
CLUSTER_273,D,beet_leaf,639.0,12.31280337755113
CLUSTER_273,D,cattle_man,6690.0,12.31280337755113
CLUSTER_273,D,legume_str,126.2,12.31280337755113
CLUSTER_273,D,maize_str,4942.0,12.31280337755113
CLUSTER_273,D,rape_str,116.6,12.31280337755113
CLUSTER_282,D,legume_str,149.16,30.686859422011
CLUSTER_282,D,rape_str,168.6,30.686859422011
CLUSTER_291,D,beet_leaf,5904.1,15.880985261752889
CLUSTER_291,D,cattle_man,2457.376,15.880985261752889
CLUSTER_291,D,legume_str,875.6,15.880985261752889
CLUSTER_291,D,maize_str,29880.0,15.880985261752889
CLUSTER_291,D,rape_str,424.0,15.880985261752889
CLUSTER_292,D,beet_leaf,1388.0,5.197727923211714
CLUSTER_292,D,cattle_man,8900.0,5.197727923211714
CLUSTER_292,D,cattle_slu,37420.0,5.197727923211714
CLUSTER_292,D,clover_alfalfa_grass,2878.0,5.197727923211714
CLUSTER_292,D,legume_str,588.0,5.197727923211714
CLUSTER_292,D,maize_str,10970.0,5.197727923211714
CLUSTER_292,D,pig_slu,41392.073569788976,5.197727923211714
CLUSTER_292,D,rape_str,1890.0,5.197727923211714
