PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
Plant_0,Upgrading_tech1,60000000,50.66342044193738,0.13719911417087904,54794520.547945224,31304667.132474396,23489853.41547083,11.474863247438055,12.994990956378697,7.635075052923795,42.69592899836638,15.25831299072091,8000.000000000003,49.36540711748482,12.173113158736982,0.0,0.0,0.0,0.0
Plant_1,Upgrading_tech1,60000000,70.00089968113244,0.1690773968424657,54794520.547945224,31122171.107882913,23672349.440062314,11.43668429818639,12.958491751460395,6.28030988496493,42.69592899836638,15.169361990188136,8000.000000000003,47.79568973952001,10.815045642890134,0.0,0.0,0.0,0.0
Plant_2,Upgrading_tech1,60000000,48.778823292769765,0.13402174168116665,54794520.5479452,31667630.723866694,23126889.82407851,11.55079678389171,13.067583674657154,7.7850202744235775,42.69592899836638,15.281717048206396,8000.0,49.2850393695521,10.786171507133073,0.0,0.0,0.0,0.0
Plant_3,Upgrading_tech1,60000000,60.38480253452784,0.15337210115178435,54794520.547946066,31616530.2329346,23177990.315011464,11.540106342527938,13.057363576470877,7.1544432014087205,42.69592899836673,15.410319232376237,8000.000000000125,48.69656046428536,13.020522253768675,0.0,0.0,0.0,0.0
Plant_4,FlexEEG_biogas,60000000,35.24582113260874,0.12562557811539232,54794520.5479452,30493498.875432134,24301021.67251307,17.914124383978475,6.734057529883816,6.632199305411614,34.322962612801646,0.0,8000.0,50.042802420614336,11.786643148488452,9.355030635669651,4.013066426002371,2.432161470304467,1.7611941653382708
Plant_5,FlexEEG_biogas,60000000,47.321865007760714,0.15086682657565365,54794520.5479452,29385315.841921326,25409204.70602388,17.560569668967187,6.734057529883817,5.48920649619332,34.32296261280165,0.0,8000.0,48.672659154013765,11.75793594686171,9.01505370252816,3.8672251060602143,2.3437727915516455,1.7611941653382708
Plant_6,Upgrading_tech1,60000000,77.74996013826255,0.18156960037728087,54794520.547944926,31139629.09985767,23654891.44808726,11.440336584810872,12.961983349855243,5.7824063559696475,42.695928998366284,15.177871248715403,7999.99999999996,47.992009612728886,12.248505401274398,0.0,0.0,0.0,0.0
Plant_7,FlexEEG_biogas,60000000,39.23413634960842,0.13406626045299586,54794520.54794519,30039220.095426876,24755300.452518307,17.769191282005647,6.734057529883816,6.226541085465048,34.322962612801646,0.0,7999.999999999996,49.944107797485614,9.743524666575228,9.215663489857867,3.9532815214385586,2.395928194811248,1.7611941653382708
Plant_8,FlexEEG_biogas,60000000,44.33247759584282,0.14470100152123844,54794520.54794524,29675653.791449677,25118866.756495565,17.65319908838477,6.734057529883816,5.777258880756529,34.322962612801646,0.0,8000.0000000000055,48.46948197036471,10.694058178403104,9.104125816673891,3.905434741569943,2.366930146406027,1.7611941653382708
Plant_9,FlexEEG_biogas,60000000,43.09725472995197,0.14213890872387847,54794520.547945246,30014625.912097163,24779894.635848083,17.761344753756177,6.734057529883816,5.966153837472947,34.322962612801646,0.0,8000.000000000006,50.00866636569815,10.708627622109992,9.208118296718549,3.950044828535635,2.39396656274887,1.7611941653382708
