PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus,THG_price
Plant_0,Upgrading_tech1,80000000.0,149.90416612283047,0.2538899147673601,80000000.0,45072475.96042338,34927524.03957662,14.73711154176827,10.81834266922938,12.10220540898702,51.73782534072534,21.36522612737839,8760.0,49.36540711748482,12.173113158736982,0.0,0.0,0.0,0.0,75
Plant_1,Upgrading_tech1,80000000.0,198.84272797950462,0.3162871301338708,80000000.0,45368883.6270828,34631116.3729172,14.815108762508693,10.833163052562352,11.293861062272322,51.73782534072534,23.69292858013446,8760.0,47.79568973952001,10.815045642890134,0.0,0.0,0.0,0.0,75
Plant_2,Upgrading_tech1,80000000.0,126.81827817080789,0.22417441463400567,80000000.0,45344690.39537593,34655309.60462407,14.808742514107857,10.83195339097701,12.696173288526477,51.73782534072534,20.39199744193527,8760.0,49.2850393695521,10.786171507133073,0.0,0.0,0.0,0.0,75
Plant_3,Upgrading_tech1,80000000.0,175.10291158296374,0.2860883172151303,80000000.0,45621273.60309744,34378726.39690256,14.881523092791534,10.845782551363083,11.87249769937708,51.737825340725315,22.6658453011297,8760.0,48.69656046428536,13.020522253768675,0.0,0.0,0.0,0.0,75
Plant_4,Upgrading_tech1,80000000.0,126.51368752012941,0.22378041957628603,80000000.0,45763567.93943433,34236432.06056567,14.918966668008277,10.852897268179927,13.284248689791676,51.73782534072534,20.87088079197889,8760.0,50.042802420614336,11.786643148488452,0.0,0.0,0.0,0.0,75
Plant_5,Upgrading_tech1,80000000.0,144.12504029930858,0.2464750798123494,80000000.0,44480470.60430304,35519529.39569696,14.58133023907379,10.788742401423365,10.366107411226356,51.73782534072532,19.377514737500913,8760.0,48.672659154013765,11.75793594686171,0.0,0.0,0.0,0.0,75
Plant_6,Upgrading_tech1,80000000.0,215.86375086748535,0.33788870729683995,80000000.0,45468362.137967855,34531637.862032145,14.841285708131853,10.838136978106604,10.254312133963307,51.73782534072534,23.744879103604053,8760.0,47.992009612728886,12.248505401274398,0.0,0.0,0.0,0.0,75
Plant_7,Upgrading_tech1,80000000.0,112.79810537035372,0.20597095235902163,80000000.0,44592099.6834675,35407900.3165325,14.610704506031084,10.794323855381588,11.033901966163453,51.73782534072534,17.973604426175562,8760.0,49.944107797485614,9.743524666575228,0.0,0.0,0.0,0.0,75
Plant_8,Upgrading_tech1,80000000.0,150.24624989036124,0.2543284005644757,80000000.0,44918649.33697008,35081350.66302992,14.696633340780888,10.810651338056717,11.514302581356834,51.73782534072534,20.832472953293305,8760.0,48.46948197036471,10.694058178403104,0.0,0.0,0.0,0.0,75
Plant_9,FlexEEG_biogas,80000000.0,50.927269883335114,0.13937654827865575,80000000.0,44072713.946823254,35927286.053176746,25.174610904651956,8.564718871208212,10.54500943652117,41.847311018606376,0.0,8760.0,50.00866636569815,10.708627622109992,13.520966906877913,5.800145446257728,3.5152396643986226,2.3382588871176946,75
Plant_0,FlexEEG_biogas,80000000.0,68.08490424017157,0.16820948806459857,80000000.0,44071726.028554976,35928273.971445024,25.17409901311367,8.564718871208212,9.422864474765904,41.847311018606376,0.0,8760.0,49.36540711748482,12.173113158736982,13.520663825696476,5.800015432261949,3.5151608680375457,2.3382588871176946,50
Plant_1,Upgrading_tech1,80000000.0,91.12811436179291,0.17747641871779862,80000000.0,45133592.96890257,34866407.03109743,14.753193975988241,10.821398519653336,10.304977185169824,51.73782534072532,15.712648886445761,8760.0,47.79568973952001,10.815045642890134,0.0,0.0,0.0,0.0,50
Plant_2,FlexEEG_biogas,80000000.0,61.231145752545004,0.15680435236609913,80000000.0,44470315.069690086,35529684.930309914,25.380628605656476,8.564718871208212,10.077439643704807,41.847311018606376,0.0,8760.0,49.2850393695521,10.786171507133073,13.642946044148795,5.852471344431494,3.546952329958482,2.3382588871176946,50
Plant_3,FlexEEG_biogas,80000000.0,87.83141238696763,0.20047648418655695,80000000.0,43468201.16924595,36531798.83075405,24.86138157630812,8.564718871208212,7.819273477064679,41.847311018606376,0.0,8760.0,48.69656046428536,13.020522253768675,13.335509817253943,5.720589146677445,3.4670237252590574,2.3382588871176946,50
Plant_4,FlexEEG_biogas,80000000.0,56.058200287519185,0.14810225636975605,80000000.0,45113035.88349452,34886964.11650548,25.713655493239195,8.564718871208212,10.74863358761543,41.847311018606376,0.0,8760.0,50.042802420614336,11.786643148488452,13.840124889642555,5.937055974411413,3.598215742067523,2.3382588871176946,50
Plant_5,FlexEEG_biogas,80000000.0,81.33514483892989,0.18994120707260564,80000000.0,43137336.19247586,36862663.80752414,24.68994332340386,8.564718871208212,8.0725108154055,41.847311018606376,0.0,8760.0,48.672659154013765,11.75793594686171,13.23400450929966,5.677045992274594,3.440633934711875,2.3382588871176946,50
Plant_6,Upgrading_tech1,80000000.0,110.58978544790365,0.20308946881607426,80000000.0,45199190.107286535,34800809.892713465,14.770455319259606,10.824678376572537,9.070263176095596,51.73782534072534,15.736206513908057,8760.0,47.992009612728886,12.248505401274398,0.0,0.0,0.0,0.0,50
Plant_7,FlexEEG_biogas,80000000.0,58.730913273936736,0.1526094045516031,80000000.0,44361875.60194156,35638124.39805844,25.324440510203864,8.564718871208212,10.184697357442099,41.847311018606376,0.0,8760.0,49.944107797485614,9.743524666575228,13.609678148357393,5.8382002767179175,3.5383031980108592,2.3382588871176946,50
Plant_8,FlexEEG_biogas,80000000.0,73.17106658739846,0.1765953714444728,80000000.0,43388614.49164455,36611385.50835545,24.820143603357245,8.564718871208212,8.736415215886915,41.847311018606376,0.0,8760.0,48.46948197036471,10.694058178403104,13.311093602827587,5.7101152215583895,3.460675891853569,2.3382588871176946,50
Plant_9,FlexEEG_biogas,80000000.0,61.71669237888919,0.15761675068940462,80000000.0,44507702.70695474,35492297.29304526,25.400001073771538,8.564718871208212,10.06507083898974,41.847311018606376,0.0,8760.0,50.00866636569815,10.708627622109992,13.65441611170106,5.857391707046072,3.549934367906711,2.3382588871176946,50
Plant_0,FlexEEG_biogas,80000000.0,68.08490424017151,0.16820948806459857,80000000.0,44071726.028554976,35928273.971445024,25.174099013113665,8.564718871208212,9.422864474765905,41.847311018606376,0.0,8760.0,49.36540711748482,12.173113158736982,13.520663825696476,5.800015432261949,3.5151608680375457,2.3382588871176946,25
Plant_1,FlexEEG_biogas,80000000.0,70.96212666711756,0.17296076483621792,80000000.0,44612285.80636085,35387714.19363915,25.45419098537998,8.564718871208212,9.514865958721588,41.847311018606376,0.0,8760.0,47.79568973952001,10.815045642890134,13.686500921086632,5.871155261260312,3.558275915915341,2.3382588871176946,25
Plant_2,FlexEEG_biogas,80000000.0,61.25006765178313,0.15683602522343598,80000000.0,44492332.69974241,35507667.30025759,25.39203707827908,8.564718871208212,10.08761114930181,41.847311018606376,0.0,8760.0,49.2850393695521,10.786171507133073,13.64970078241303,5.8553689526169,3.548708456131455,2.3382588871176946,25
Plant_3,FlexEEG_biogas,80000000.0,88.17975273407154,0.20103957174628784,80000000.0,43485981.980234005,36514018.019765995,24.870594733895174,8.564718871208212,7.805714844271031,41.847311018606376,0.0,8760.0,48.69656046428536,13.020522253768675,13.340964751507297,5.722929172526716,3.468441922743464,2.3382588871176946,25
Plant_4,FlexEEG_biogas,80000000.0,56.05820028751897,0.14810225636975538,80000000.0,45113035.883494504,34886964.116505496,25.71365549323918,8.564718871208212,10.74863358761543,41.847311018606376,0.0,8760.0,50.042802420614336,11.786643148488452,13.840124889642551,5.937055974411411,3.598215742067522,2.3382588871176946,25
Plant_5,FlexEEG_biogas,80000000.0,83.2700250880502,0.1930861738177565,80000000.0,43329074.99025871,36670925.00974129,24.789293109007474,8.564718871208212,8.04537313605983,41.847311018606376,0.0,8760.0,48.672659154013765,11.75793594686171,13.292827615648736,5.702279585018007,3.455927021223035,2.3382588871176946,25
