PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Methane,Feed_Trans_Cost
AB,12.136260903314422,48.18369574363663,Upgrading_tech1,60000000,96.72000710613646,43.69592899836637,13.748604549341891,35.07273509729037,5.553607033360723
BF,10.585497337678108,47.80993390150806,Upgrading_tech1,60000000,77.08873282965378,43.69592899836637,13.567178824873517,34.165606474948504,6.337523233861157
AM,12.473690068323949,49.3837336474317,Upgrading_tech1,60000000,61.003019553955,43.69592899836637,13.639105630008327,34.52524050062256,7.587080753712334
BO,12.617102981758256,47.94083474283144,Upgrading_tech1,60000000,58.721115739564084,43.69592899836637,13.562630734288483,34.142866022023334,7.5257357196094405
D,10.619407844773292,48.34153079121238,Upgrading_tech1,60000000,45.76269722476643,43.69592899836637,13.581370181527411,34.23656325821797,8.424442113186055
I,13.131068617445017,48.75802589014527,Upgrading_tech1,60000000,35.947111756624935,43.69592899836637,13.586211002516972,34.26076736316578,8.983441218059935
AD,10.159815219202752,49.93231653978721,FlexEEG_biogas,60000000,35.74447960464544,34.32296261280164,6.734057529883816,32.82910154128098,5.701897585528775
AJ,11.610210054334033,49.75559147617191,Upgrading_tech1,60000000,28.848769833467074,43.69592899836637,13.522868316643079,33.94405393379631,9.166693834712213
AK,11.91933676680278,48.3806943020371,FlexEEG_biogas,60000000,27.842014374652894,34.32296261280164,6.734057529883816,32.095365058414934,5.838312728510123
K,11.279767544563258,47.7797592857407,Upgrading_tech1,40000000,27.084816139718285,33.578186320698734,9.39943128799553,23.005946938919678,5.3404537637055745
E,12.297379252014752,48.81820878827289,FlexEEG_biogas,60000000,24.592750251537325,34.32296261280164,6.734057529883816,31.976305134008825,5.989033352995772
AP,11.464443463905145,48.9972799244183,FlexEEG_biogas,60000000,21.474736316512345,34.32296261280164,6.734057529883816,32.45860638394268,6.442770168034183
AN,13.128011409147554,48.37464481080303,FlexEEG_biogas,60000000,20.893297529583563,34.32296261280164,6.734057529883816,31.872503450344837,6.177089918932709
S,10.295849793096474,47.87479495995144,Upgrading_tech1,20000000,8.18030665737723,21.533097764752856,5.023915273342608,11.678898581980137,2.518475113668841
R,10.443101087628612,49.16788715242737,Upgrading_tech1,20000000,5.134978319538561,21.533097764752856,4.962369264967828,11.37116854010624,2.5481327274660144
