PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,Upgrading_tech1,40000000,26.653675305128658,0.11013374381031782,36529680.3652968,21028580.369193316,15501099.996103492,7.683130948305574,9.003957974050257,5.05666424073476,32.57818632069874,10.249611013778553,8000.000000000001,49.715464649326336,10.55895422648173,0.0,0.0,0.0,0.0
D,Upgrading_tech1,60000000,47.01858155718629,0.13103999164696,54794520.5479452,31229064.815810516,23565455.73213469,11.459046919286909,12.979870493045919,7.144627448749794,42.69592899836638,14.530289952203299,8000.0,48.34153079121238,10.619407844773292,0.0,0.0,0.0,0.0
E,FlexEEG_biogas,60000000,46.73769720343377,0.14966563817612233,54794520.5479452,29086079.006402485,25708441.54154272,17.465101148963257,6.734057529883816,5.431926336790982,34.322962612801646,0.0,8000.0,48.81820878827289,12.297379252014752,8.923251519543676,3.827844341558593,2.3199056615506626,1.7611941653382708
I,Upgrading_tech1,60000000,54.650133380394756,0.14387308376478947,54794520.5479452,31668693.41015745,23125827.137787756,11.55101910241101,13.067796211915306,7.4009698158915,42.69592899836638,15.281477527681197,8000.0,48.75802589014527,13.131068617445017,0.0,0.0,0.0,0.0
K,Upgrading_tech1,40000000,34.841341721868254,0.12873220616754577,36529680.365296796,20879917.746455587,15649762.618841212,7.652030091496079,8.974225449502711,4.447589628183725,32.57818632069874,10.177150865323538,7999.999999999998,47.7797592857407,11.279767544563258,0.0,0.0,0.0,0.0
L,Upgrading_tech1,20000000,8.992417730785633,0.08040347419491689,18264840.18264839,10439492.898309514,7825347.2843388785,3.8259175618012105,4.7760341366084855,2.208082514048888,20.533097764752856,5.08834831026118,7999.999999999995,50.20236554784325,9.865133944472616,0.0,0.0,0.0,0.0
P,Upgrading_tech1,40000000,28.331111333451922,0.1139992468681994,36529680.3652968,21150645.66588226,15379034.699414546,7.708667530694739,9.028371033388044,5.007626261812476,32.57818632069874,10.309107270177108,8000.000000000001,48.32330337226768,12.776355457482383,0.0,0.0,0.0,0.0
R,Upgrading_tech1,20000000,9.008844176643645,0.0804687374939641,18264840.182648398,10495040.78913675,7769799.393511649,3.837538418253712,4.787143714773931,2.2345947428081483,20.533097764752856,5.115423094370196,7999.999999999998,49.16788715242737,10.443101087628612,0.0,0.0,0.0,0.0
S,Upgrading_tech1,20000000,11.215815559412025,0.08911917652289736,18264840.182648398,10664948.315840075,7599891.866808324,3.8730837998805248,4.821125220114595,2.1746991444779233,20.533097764752856,5.198238292849952,7999.999999999998,47.87479495995144,10.295849793096474,0.0,0.0,0.0,0.0
AB,Upgrading_tech1,60000000,65.51589918246688,0.16178364850383553,54794520.5479452,31544381.290060345,23250139.25788486,11.525012474950618,13.042933787895885,6.783181458519231,42.69592899836638,15.375152873709446,8000.0,48.18369574363663,12.136260903314422,0.0,0.0,0.0,0.0
AD,FlexEEG_biogas,60000000,44.05304704848382,0.14412217214009715,54794520.5479452,29432914.798194338,25361605.749750864,17.575755639976528,6.734057529883816,5.718082434443583,34.322962612801646,0.0,8000.0,49.93231653978721,10.159815219202752,9.029656477236927,3.8734893191015676,2.347569284303981,1.7611941653382708
AJ,Upgrading_tech1,60000000,38.1203323862996,0.11573081379139194,54794520.5479452,31152742.69469367,23641777.853251535,11.443080004964138,12.964606068822551,8.122614354434852,42.69592899836638,14.927280826529259,8000.0,49.75559147617191,11.610210054334033,0.0,0.0,0.0,0.0
AK,FlexEEG_biogas,60000000,44.29134064234489,0.1446158155791366,54794520.5479452,29024678.086296108,25769842.461649098,17.445511799412515,6.734057529883816,5.57226080677112,34.322962612801646,0.0,8000.0,48.3806943020371,11.91933676680278,8.904414471981507,3.819763734868913,2.315008324162978,1.7611941653382708
AM,Upgrading_tech1,60000000,48.245379295278376,0.13311958415086722,54794520.5479452,31254680.35462482,23539840.193320382,11.464405799616683,12.984993600808782,7.688553154012174,42.69592899836638,15.15417840672839,8000.0,49.3837336474317,12.473690068323949,0.0,0.0,0.0,0.0
AN,FlexEEG_biogas,60000000,42.240555141107876,0.14035670603309547,54794520.5479452,29075823.95179312,25718696.596152086,17.46182937634068,6.734057529883816,5.722642835142292,34.322962612801646,0.0,8000.0,48.37464481080303,13.128011409147554,8.920105394842375,3.8264947353517815,2.3190877183950196,1.7611941653382708
AP,FlexEEG_biogas,60000000,41.74897105523364,0.1393320576500645,54794520.5479452,29380256.681414727,25414263.866530474,17.558955594399162,6.734057529883816,5.851905008312161,34.322962612801646,0.0,8000.0,48.9972799244183,11.464443463905145,9.013501614270814,3.866559300300904,2.343369272909639,1.7611941653382708
AU,Upgrading_tech1,60000000,48.14939305614269,0.13295711890116557,54794520.5479452,31588647.50133789,23205873.046607316,11.534273155766606,13.051787030151393,7.927165729719448,42.69592899836638,15.383442219723753,8000.0,47.83281835735893,12.17160538702117,0.0,0.0,0.0,0.0
BD,Upgrading_tech1,20000000,9.621999596821137,0.0828951842716561,18264840.18264838,10523904.160303723,7740936.0223446535,3.843576759009254,4.792916389007326,2.208845455935891,20.533097764752856,5.129491487091617,7999.99999999999,47.61898503584228,9.93362381450161,0.0,0.0,0.0,0.0
BF,Upgrading_tech1,60000000,55.77504399468224,0.14574534947193873,54794520.5479452,31555495.45064503,23239025.097300176,11.527337604902833,13.045156620012822,7.423952181292234,42.69592899836638,15.379039730536611,8000.0,47.80993390150806,10.585497337678108,0.0,0.0,0.0,0.0
BM,Upgrading_tech1,40000000,31.43535472619164,0.1210742716975568,36529680.365296796,21016830.591302067,15512849.77399473,7.680672844492998,9.001608018472007,4.654557095628146,32.57818632069874,10.16020113369807,7999.999999999998,48.61937301776604,11.285469950407794,0.0,0.0,0.0,0.0
BO,Upgrading_tech1,60000000,45.45627263884915,0.12838156516565769,54794520.5479452,31503854.149231054,23290666.39871415,11.516534023672023,13.034828359730028,7.650733897536537,42.69592899836638,14.931735522512833,8000.0,47.94083474283144,12.617102981758256,0.0,0.0,0.0,0.0
