SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km,,,,,,,,,,,,,
CLUSTER_10,A,horse_man,1392.2,82.33443156,,Feedstock,,,,Methane,substrat_ENG,,,,,,
CLUSTER_108,A,cattle_man,372.4,34.88450733,,horse_man,"785,632",98.80%,98.40%," 44,341,070 ",beet_leaf,1726419.676,,0.40%,,,98.80%
CLUSTER_108,A,pig_man,291.926,34.88450733,,cattle_man,"4,813,128",97.20%,97.90%," 176,304,879 ",cattle_man,4952551.927,,-0.70%,,,97.20%
CLUSTER_134,A,horse_man,721.52,40.24157112,,pig_man,"202,370",100.00%,100%," 17,600,119 ",cattle_slu,22337983.63,,0.00%,,,100.00%
CLUSTER_134,A,pig_man,1021.56,40.24157112,,cattle_slu,"8,918,065",39.90%,35.10%," 144,026,750 ",cereal_str,1619247.622,,4.80%,,,39.90%
CLUSTER_139,A,horse_man,980.3,54.59001353,,pig_slu,"35,985",1.10%,1.30%," 291,119 ",clover_alfalfa_grass,2233683.821,,-0.20%,,,1.10%
CLUSTER_141,A,cattle_man,6618,41.31000086,,legume_str,"97,935",80.00%,69.70%," 12,675,727 ",horse_man,795356.0082,,10.30%,,,80.00%
CLUSTER_141,A,horse_man,2815,41.31000086,,rape_str,"304,063",70.60%,54%," 37,269,002 ",legume_str,122367.005,,16.60%,,,70.60%
CLUSTER_141,A,pig_man,111.971,41.31000086,,beet_leaf,"327,534",19.00%,23.40%," 14,247,729 ",maize_str,540425.9988,,-4.40%,,,19.00%
CLUSTER_148,A,cattle_man,4501,10.33300265,,maize_str,"328,715",60.80%,65%," 72,258,131 ",perm_grass,1983002.335,,-4.20%,,,60.80%
CLUSTER_148,A,cattle_slu,36150,10.33300265,,clover_alfalfa_grass,"45,626",2.00%,0.70%," 4,650,202 ",pig_man,202370.3019,,1.30%,,,2.00%
CLUSTER_148,A,horse_man,500.77,10.33300265,,0,,,,,pig_slu,3265860.462,,,,,
CLUSTER_148,A,pig_man,361.14175,10.33300265,,,,,,,rape_str,430744.188,,,,,
CLUSTER_153,A,cattle_man,5103.062,16.2610462,,,,,,,,,,,,,
CLUSTER_153,A,cattle_slu,34327,16.2610462,,,,,,,,,,,,,
