Plant_14,Longitude,Latitude,Alternatives,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Feed_Trans
BF,12.18504707800676,48.408766583197256,Upgrading,60000000.0,98.8256742811202,42.69592899836638,8.497050114523336,5.963002036691886
X,10.31146716391925,47.89632029131894,Upgrading,60000000.0,82.35296175132399,42.69592899836638,8.443489334758466,6.438593223778265
AJ,12.317409973370095,47.89295626814062,Upgrading,60000000.0,78.11442415249971,42.69592899836638,8.432154179211265,6.5884288192476195
CB,10.196167284796529,49.90308431558692,Biogas,60000000.0,63.33484676088304,34.322962612801646,6.734057529883818,5.580594776193782
CG,11.026734645777625,47.82653032138388,Upgrading,60000000.0,62.01781373286781,42.69592899836637,8.441306147059287,7.726982999694517
E,12.711153487472693,49.043291155657,Upgrading,60000000.0,61.11990910851162,42.69592899836637,8.438628784215595,7.726384778262651
AU,12.652150055506311,48.29631554432875,Biogas,60000000.0,48.71283005039261,34.32296261280168,6.734057529883825,5.9977266144758286
BO,11.391204474836565,49.19411282487568,Biogas,60000000.0,47.69663605856087,34.32296261280168,6.734057529883825,6.381399519636664
BB,11.004837093947604,48.49041834352908,Biogas,60000000.0,45.77524179927033,34.32296261280168,6.734057529883825,6.165520175838813
AK,13.178484443289442,48.657968473893504,Biogas,60000000.0,44.91941695981223,34.32296261280168,6.734057529883825,6.149501784943009
AV,11.523129927586671,50.07135494640782,Upgrading,60000000.0,32.22718895359242,42.69592899836637,8.41490281802373,8.314108134593436
BC,12.342017242237654,49.684025653478464,Upgrading,25961126.885169417,13.3457621254924,24.40633925595486,4.077386919203544,3.0508370846736117
AL,10.448978888108046,49.492546127430096,Upgrading,30534803.943145916,9.286617316916434,27.19056586790827,4.686659506110733,4.070473594579071
L,11.916356932624076,47.94474094124833,Upgrading,37031569.44559008,9.239869564641424,30.934614756751046,5.5658080503254865,5.755292388511018
BR,10.672329714502627,48.00424998356873,Upgrading,31094904.40429923,5.166775109110489,27.52616261111639,4.787386364998284,5.005298849161873
AR,9.780919322806431,50.19509843046476,Upgrading,13548536.334174737,4.102296119386551,15.775518484292876,2.3183165277204476,1.4975864262751337
