PlantLocation,SupplyNode,Feedstock,FlowTons,Distance_km
BF,CLUSTER_0,horse_man,2610.0,39.51424769761925
BF,CLUSTER_0,pig_man,1695.2,39.51424769761925
BF,CLUSTER_0,rape_str,1701.9,39.51424769761925
BF,CLUSTER_100,horse_man,3925.5,31.35155529391889
BF,CLUSTER_100,pig_man,69.61,31.35155529391889
BF,CLUSTER_100,rape_str,1247.0,31.35155529391889
BF,CLUSTER_100,legume_str,592.6,31.35155529391889
BF,CLUSTER_104,horse_man,871.7,33.90462350519518
BF,CLUSTER_104,pig_man,527.2180000000001,33.90462350519518
BF,CLUSTER_104,rape_str,732.1,33.90462350519518
BF,CLUSTER_104,legume_str,171.70000000000002,33.90462350519518
BF,CLUSTER_107,pig_man,993.2,72.52284092075008
BF,CLUSTER_109,pig_man,121.22265,102.02013054944103
BF,CLUSTER_116,pig_man,144.5,48.67156019272874
BF,CLUSTER_122,pig_man,40.78257,50.12747670446059
BF,CLUSTER_124,pig_man,225.04,101.60183064301148
BF,CLUSTER_125,pig_man,536.0,75.73567928801164
BF,CLUSTER_126,cattle_man,6163.0,21.500573401214297
BF,CLUSTER_126,horse_man,1435.2,21.500573401214297
BF,CLUSTER_126,pig_man,2894.0,21.500573401214297
BF,CLUSTER_126,beet_leaf,6252.0,21.500573401214297
BF,CLUSTER_126,rape_str,2381.0,21.500573401214297
BF,CLUSTER_126,legume_str,544.6,21.500573401214297
BF,CLUSTER_131,cattle_man,9440.0,11.553967786108707
BF,CLUSTER_131,horse_man,1232.0,11.553967786108707
BF,CLUSTER_131,pig_man,1497.8,11.553967786108707
BF,CLUSTER_131,beet_leaf,2747.0,11.553967786108707
BF,CLUSTER_131,rape_str,1908.0,11.553967786108707
BF,CLUSTER_131,legume_str,1003.9999999999999,11.553967786108707
BF,CLUSTER_135,pig_man,159.368,65.6597997840345
BF,CLUSTER_138,pig_man,1203.8,91.51712125689728
BF,CLUSTER_142,horse_man,1981.9999999999998,35.80264459172342
BF,CLUSTER_142,pig_man,67.2671,35.80264459172342
BF,CLUSTER_142,legume_str,157.6,35.80264459172342
BF,CLUSTER_143,pig_man,52.20089,96.62755535102838
BF,CLUSTER_144,pig_man,1094.5,60.39426487691135
BF,CLUSTER_145,pig_man,104.2,93.38830601640728
BF,CLUSTER_149,pig_man,19.0894,55.97549261031208
BF,CLUSTER_150,pig_man,605.1,86.73264755943754
BF,CLUSTER_151,pig_man,33.274,56.48192066450613
BF,CLUSTER_152,pig_man,174.14849999999998,54.04296533539839
BF,CLUSTER_155,pig_man,1243.7,51.14979687540525
BF,CLUSTER_159,pig_man,3550.315,87.36703260692316
BF,CLUSTER_162,pig_man,126.94,73.86799400288986
BF,CLUSTER_165,cattle_man,8970.0,2.174490335981366
BF,CLUSTER_165,cattle_slu,37970.0,2.174490335981366
BF,CLUSTER_165,horse_man,1926.7,2.174490335981366
BF,CLUSTER_165,pig_man,1019.9,2.174490335981366
BF,CLUSTER_165,clover_alfalfa_grass,4997.0,2.174490335981366
BF,CLUSTER_165,maize_str,1640.0,2.174490335981366
BF,CLUSTER_165,beet_leaf,673.0,2.174490335981366
BF,CLUSTER_165,rape_str,1507.0,2.174490335981366
BF,CLUSTER_165,legume_str,854.0,2.174490335981366
BF,CLUSTER_175,pig_man,35.4,53.61251368914605
BF,CLUSTER_180,horse_man,1481.0,32.26163414382118
BF,CLUSTER_180,pig_man,6160.0,32.26163414382118
BF,CLUSTER_180,rape_str,2510.0,32.26163414382118
BF,CLUSTER_180,legume_str,350.0,32.26163414382118
BF,CLUSTER_182,pig_man,1527.0,80.3793247427596
BF,CLUSTER_184,pig_man,1364.0,45.75322973813087
BF,CLUSTER_186,pig_man,471.4,54.3875707127892
BF,CLUSTER_195,pig_man,34.13825,82.61779341124848
BF,CLUSTER_2,horse_man,975.2,34.520751818089416
BF,CLUSTER_2,pig_man,1666.5,34.520751818089416
BF,CLUSTER_2,rape_str,2407.0,34.520751818089416
BF,CLUSTER_2,legume_str,639.4,34.520751818089416
BF,CLUSTER_20,cattle_man,27140.0,12.83260919775202
BF,CLUSTER_20,horse_man,3289.0,12.83260919775202
BF,CLUSTER_20,pig_man,3376.0,12.83260919775202
BF,CLUSTER_20,beet_leaf,2532.0,12.83260919775202
BF,CLUSTER_20,rape_str,2658.0,12.83260919775202
BF,CLUSTER_20,legume_str,1043.0,12.83260919775202
BF,CLUSTER_202,pig_man,229.17,78.27739985327106
BF,CLUSTER_203,pig_man,696.08362,49.63961533509578
BF,CLUSTER_204,pig_man,37.494,88.98169156423782
BF,CLUSTER_205,horse_man,3447.0,31.261102488131836
BF,CLUSTER_205,pig_man,123.23616,31.261102488131836
BF,CLUSTER_205,rape_str,424.8,31.261102488131836
BF,CLUSTER_205,legume_str,366.9,31.261102488131836
BF,CLUSTER_208,pig_man,22.65,61.34698658740948
BF,CLUSTER_212,pig_man,132.0,67.51890444507144
BF,CLUSTER_219,pig_man,686.0,95.65145084862831
BF,CLUSTER_22,horse_man,2301.0,24.555934648284147
BF,CLUSTER_22,pig_man,696.0,24.555934648284147
BF,CLUSTER_22,beet_leaf,232.81,24.555934648284147
BF,CLUSTER_22,rape_str,418.6,24.555934648284147
BF,CLUSTER_22,legume_str,405.9,24.555934648284147
BF,CLUSTER_223,pig_man,439.438657,70.567266107588
BF,CLUSTER_225,pig_man,1314.9,67.72665364879136
BF,CLUSTER_229,pig_man,38.028209,102.53998349870088
BF,CLUSTER_231,pig_man,10.6436,91.6706248765544
BF,CLUSTER_233,pig_man,435.2,58.61553417070094
BF,CLUSTER_235,pig_man,439.78,101.97388539527344
BF,CLUSTER_239,pig_man,931.74,46.10881799395461
BF,CLUSTER_240,pig_man,24.931,60.35957964176792
BF,CLUSTER_250,pig_man,54.334,95.50553742845138
BF,CLUSTER_256,pig_man,14.8359,70.70199999023744
BF,CLUSTER_257,horse_man,1598.0,33.62964654770884
BF,CLUSTER_257,pig_man,1704.41,33.62964654770884
BF,CLUSTER_257,rape_str,1210.4,33.62964654770884
BF,CLUSTER_257,legume_str,280.6,33.62964654770884
BF,CLUSTER_263,pig_man,198.21,58.33168433874298
BF,CLUSTER_267,pig_man,778.8,46.024467420425935
BF,CLUSTER_270,pig_man,61.2952,75.3683547473916
BF,CLUSTER_273,pig_man,524.6,71.01287557918761
BF,CLUSTER_274,pig_man,587.9,64.55368359753867
BF,CLUSTER_279,horse_man,1665.3,24.846765670299085
BF,CLUSTER_279,pig_man,723.8400164000001,24.846765670299085
BF,CLUSTER_279,beet_leaf,1594.0,24.846765670299085
BF,CLUSTER_279,rape_str,766.0,24.846765670299085
BF,CLUSTER_279,legume_str,338.3,24.846765670299085
BF,CLUSTER_280,pig_man,171.3,84.11928144372341
BF,CLUSTER_282,pig_man,277.076,77.36908990083384
BF,CLUSTER_284,pig_man,447.9,61.57821336236415
BF,CLUSTER_288,cattle_man,23510.0,18.819737130442057
BF,CLUSTER_288,horse_man,1884.0,18.819737130442057
BF,CLUSTER_288,pig_man,786.0,18.819737130442057
BF,CLUSTER_288,beet_leaf,7380.0,18.819737130442057
BF,CLUSTER_288,rape_str,1600.0,18.819737130442057
BF,CLUSTER_288,legume_str,851.0,18.819737130442057
BF,CLUSTER_290,pig_man,122.18799999999999,73.99681767444834
BF,CLUSTER_291,pig_man,7740.0,84.60981594112499
BF,CLUSTER_292,pig_man,2862.0,71.52579607399427
BF,CLUSTER_297,pig_man,153.126,85.2110972684027
BF,CLUSTER_3,pig_man,16.916,83.7031659901723
BF,CLUSTER_300,horse_man,6326.0,35.78601444802745
