PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,IRR,CAPEX_EUR,OPEX_EUR,Feed_Trans_Cost
CV,12.10681591984845,48.19149341604931,Upgrading_tech1,80000000.0,134.3428906753845,0.23060450612246708,52.73782534072534,10.87832170781915,8.05429084526696
BR,10.672329714502627,48.00424998356873,Upgrading_tech1,80000000.0,105.84370865498892,0.19424944112113685,52.73782534072535,10.831415443006305,9.390782138931083
Y,12.45867160163661,49.38235611505287,Upgrading_tech1,80000000.0,78.12736432631795,0.15808013790317776,52.73782534072535,10.848932319852798,11.129864244257172
AU,12.652150055506311,48.29631554432875,Upgrading_tech1,80000000.0,60.17839434959678,0.13392186008672535,52.73782534072535,10.818862538747126,11.162815681277786
K,10.09736434295418,49.6502121994487,FlexEEG_biogas,80000000.0,46.642252300541195,0.1320062643012334,41.84731101860638,8.564718871208214,8.531348515537918
AT,12.349468255289642,48.79168101769955,FlexEEG_biogas,80000000.0,39.66082072432707,0.11980651504569462,41.847311018606376,8.564718871208212,8.208135003014291
CC,11.53323346156749,48.34102040147138,FlexEEG_biogas,80000000.0,39.154312119306155,0.1189109888787172,41.847311018606376,8.564718871208212,8.300827017275555
AK,13.178484443289442,48.657968473893504,FlexEEG_biogas,64644188.245857835,27.40793016752614,0.10562550260129133,36.127923812976555,7.16653773404847,6.64032282277588
BH,11.740568515429358,47.75751578581723,Upgrading_tech1,41616633.17377242,25.201937028795072,0.10359191088123221,34.42930704010915,6.151723298884906,6.007322466687929
X,10.31146716391925,47.89632029131894,Upgrading_tech1,58955450.39299763,30.46075427015252,0.10155700234164922,43.17877682658814,8.345478564589634,9.530711253616927
AV,11.523129927586671,50.07135494640782,Upgrading_tech1,61009587.050033666,27.09932205075623,0.09444255412751268,44.15467595195069,8.535934655754254,8.676390951861983
D,10.990402300074864,49.16607901825271,Upgrading_tech1,58799331.240734145,19.878746731867516,0.08229280739513456,43.104606228627,8.259735478012972,8.31982798880943
CU,13.630652002980966,48.60990863817854,Upgrading_tech1,18603715.39467002,9.279073762759694,0.08162632090918032,20.485191459707927,3.068049662445804,2.311091387202356
AR,9.780919322806431,50.19509843046476,Upgrading_tech1,23301458.913488112,9.883469808467265,0.07868741487757247,23.702921053774535,3.703025457041914,2.7835076084419574
H,12.798377634991224,47.9039067488627,Upgrading_tech1,18261722.841552075,4.404568327128036,0.061828029359099146,20.250942920018623,3.0279623929125785,2.6303490868630193
CN,13.136628160963255,49.012236385774585,EEG_CHP_large1,467342.46575341845,0.25114039109415964,0.06095704905491228,1.2100887961953175,0.07593108113636615,0.023724124970873055
