PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,IRR,CAPEX_EUR,OPEX_EUR,Feed_Trans_Cost
O,10.914721771375948,50.00482723433811,Upgrading_tech1,80000000.0,107.27765582998558,0.19609467909396017,52.73782534072535,10.878763076788346,9.788945785553985
A,10.961617986877082,48.052567975235725,Upgrading_tech1,80000000.0,101.74447629432004,0.1889627083673353,52.73782534072535,10.85923562752263,9.937763674445442
M,11.854687029576375,48.81388314853605,Upgrading_tech1,80000000.0,69.44038809706873,0.1464815600949929,52.73782534072535,10.813303487870217,11.196123768891445
D,12.0415599853881,49.7389572248469,Upgrading_tech1,80000000.0,53.86683569124769,0.12522460144272984,52.73782534072534,10.791453913380725,10.307318628422951
T,10.532672974877707,49.336740640591046,FlexEEG_biogas,80000000.0,37.31326470629625,0.11564285821506659,41.847311018606376,8.564718871208212,8.611648852429694
G,12.00580877390384,48.181245350250514,FlexEEG_biogas,80000000.0,37.19836401412749,0.11543819373712894,41.847311018606376,8.564718871208212,8.750434050434556
L,13.267951380419426,48.73761309345703,Upgrading_tech1,69991293.92238869,40.75629731995751,0.1120561966585254,48.306611980433324,9.607288654990192,9.05275354704722
S,10.445101394489514,48.34246152067781,FlexEEG_biogas,80000000.0,34.862101231846594,0.11125812436436866,41.847311018606376,8.564718871208212,8.811986200563684
K,9.43952051273737,49.89226728277097,FlexEEG_biogas,64283778.87457589,26.004423846152676,0.10286676394027494,35.99126337391655,7.133409202002761,6.9228142756496736
P,12.581765671011546,47.92045809885328,Upgrading_tech1,30186432.24808334,13.888418542641947,0.08515330002498356,27.96682303992231,4.654222787106047,4.205935965216988
H,10.391542725392734,47.709174961672346,Upgrading_tech1,28111649.963031918,11.616963638851903,0.08017383223282826,26.697449936876435,4.37381605200217,3.7026772962566445
F,10.813739304595853,48.84198996194425,Upgrading_tech1,35056825.91692863,12.701109575393701,0.07831350764882528,30.79668072069819,5.295448080361975,4.759008100472026
J,10.04624395588424,50.22171153956857,Upgrading_tech1,22060609.377487283,9.134822814483396,0.07726866550672118,22.8529984775888,3.546857239692247,2.77677069937862
R,11.382274695310208,47.7308809468272,Upgrading_tech1,21456201.543913513,6.898470721900978,0.0695588429740559,22.439008023408945,3.4678843053187234,2.8075664792434267
