PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Feed_Trans_Cost
E,12.012979763620333,48.20684696854946,Upgrading_tech1,60000000.0,92.60121676943754,43.69592899836637,13.771646368455936,5.886290554638134
J,10.437869887108333,47.704819746780906,Upgrading_tech1,60000000.0,71.50632530693815,43.69592899836637,13.557446887750231,6.675667907286266
G,12.570237543965584,47.93100019401797,Upgrading_tech1,60000000.0,63.43490264105295,43.69592899836637,13.528074872168428,7.122460363493818
C,12.256253982579375,49.28272065881865,Upgrading_tech1,60000000.0,52.773419588227135,43.69592899836637,13.630089624352216,8.10024913757011
K,11.34184774305326,47.79827729901043,Upgrading_tech1,60000000.0,47.69201260179715,43.69592899836637,13.565192638900509,8.25378529571877
I,13.304323733731383,48.591362333233874,Upgrading_tech1,53945760.22562643,33.77666245590973,40.76988699463381,12.278749307384231,7.640499259372956
A,10.426031180937702,49.76345010396675,FlexEEG_biogas,60000000.0,32.67586842531729,34.322962612801646,6.734057529883818,6.02718052469619
T,10.49206911072586,48.25246076615605,Upgrading_tech1,49224252.979845114,29.10404491034714,38.40337847384218,11.353749439886323,7.138949436588608
S,12.518684972280344,48.58883272838263,FlexEEG_biogas,60000000.0,25.397402764108868,34.32296261280164,6.734057529883816,5.946426107671579
D,11.29787629540125,48.43108917943932,FlexEEG_biogas,60000000.0,24.254189848032226,34.322962612801646,6.734057529883818,6.089124385799991
F,11.84761918143194,50.12888374474623,Upgrading_tech1,43270317.90439099,21.385278093684136,35.31895644703583,10.047268057917421,6.271793670420344
B,11.74633195740246,48.850419897877885,FlexEEG_biogas,60000000.0,20.744435027710416,34.32296261280164,6.734057529883818,6.292053658942751
O,10.115536474374528,50.23689430528555,FlexEEG_biogas,60000000.0,14.462938404100434,34.32296261280164,6.734057529883816,7.249064516441501
N,11.253411910986838,49.344264300148,Upgrading_tech1,25198386.688488208,5.9427710744971485,24.923454918363316,6.109389383077712,3.476120655498471
H,10.484612644812955,49.29723527845827,EEG_CHP_large1,467342.4657534186,0.13020664946586402,1.2100887961953175,0.07932582388783667,0.030134814681501032
P,9.476691618383398,49.90209364264335,EEG_CHP_large1,467342.4657534246,0.09154846557391672,1.2100887961953175,0.07932582388783765,0.03302209068085597
M,11.117578826861903,50.1025109763638,EEG_CHP_large1,467342.46575342555,0.08868807228775522,1.2100887961953175,0.07932582388783779,0.03284897726492262
Q,10.769888412188664,48.78714279700576,EEG_CHP_large1,467342.46575342555,0.0642863139760177,1.2100887961953175,0.07932582388783779,0.034444174978352254
R,12.948598803210228,48.9859952261635,EEG_CHP_large1,467342.4657534233,0.04435491869893182,1.2100887961953175,0.07932582388783743,0.04231557013019767
