PlantLocation,SupplyNode,Feedstock,FlowTons,Distance_km
CV,CLUSTER_0,cattle_man,28890.0,32.95978738510055
CV,CLUSTER_0,horse_man,2610.0,32.95978738510055
CV,CLUSTER_0,pig_man,1695.2,32.95978738510055
CV,CLUSTER_100,cattle_man,9536.0,31.24771452873148
CV,CLUSTER_100,horse_man,3925.5,31.24771452873148
CV,CLUSTER_100,pig_man,69.61,31.24771452873148
CV,CLUSTER_101,pig_man,311.45,113.41617261415658
CV,CLUSTER_104,horse_man,871.7,43.94215576727816
CV,CLUSTER_104,pig_man,527.2180000000001,43.94215576727816
CV,CLUSTER_107,pig_man,993.2,70.09139212001567
CV,CLUSTER_111,pig_man,262.226,100.95732454692066
CV,CLUSTER_116,pig_man,144.5,62.008467724478095
CV,CLUSTER_122,cattle_man,17000.0,26.09435593217077
CV,CLUSTER_122,horse_man,5260.0,26.09435593217077
CV,CLUSTER_122,pig_man,40.78257,26.09435593217077
CV,CLUSTER_124,pig_man,225.04,115.76428769470564
CV,CLUSTER_125,pig_man,536.0,96.36639882625278
CV,CLUSTER_126,horse_man,1435.2,43.432086639346245
CV,CLUSTER_126,pig_man,2894.0,43.432086639346245
CV,CLUSTER_13,pig_man,152.17000000000002,102.05985185974224
CV,CLUSTER_131,horse_man,1232.0,35.34706008111779
CV,CLUSTER_131,pig_man,1497.8,35.34706008111779
CV,CLUSTER_132,pig_man,943.9,113.88348546245356
CV,CLUSTER_135,horse_man,2847.0,55.47333947203544
CV,CLUSTER_135,pig_man,159.368,55.47333947203544
CV,CLUSTER_138,pig_man,1203.8,91.68044150623192
CV,CLUSTER_142,cattle_man,32190.000000000004,11.898469427455286
CV,CLUSTER_142,horse_man,1981.9999999999998,11.898469427455286
CV,CLUSTER_142,pig_man,67.2671,11.898469427455286
CV,CLUSTER_144,pig_man,1094.5,62.66080284949809
CV,CLUSTER_145,pig_man,104.2,102.54259111951484
CV,CLUSTER_149,horse_man,2613.8,35.32696026602102
CV,CLUSTER_149,pig_man,19.0894,35.32696026602102
CV,CLUSTER_150,pig_man,605.1,111.45159985280812
CV,CLUSTER_151,horse_man,5352.0,34.35619790467084
CV,CLUSTER_151,pig_man,33.274,34.35619790467084
CV,CLUSTER_152,horse_man,2493.3,46.99645269141967
CV,CLUSTER_152,pig_man,174.14849999999998,46.99645269141967
CV,CLUSTER_155,pig_man,1243.7,74.91436710138818
CV,CLUSTER_159,pig_man,3550.315,99.82288908132035
CV,CLUSTER_162,pig_man,126.94,86.21372258371515
CV,CLUSTER_165,cattle_man,8970.0,26.861394130314373
CV,CLUSTER_165,horse_man,1926.7,26.861394130314373
CV,CLUSTER_165,pig_man,1019.9,26.861394130314373
CV,CLUSTER_175,pig_man,35.4,78.13243112132804
CV,CLUSTER_176,pig_man,232.96,111.51751700245076
CV,CLUSTER_180,horse_man,1481.0,55.31187479119173
CV,CLUSTER_180,pig_man,6160.0,55.31187479119173
CV,CLUSTER_182,pig_man,1527.0,80.75408170387308
CV,CLUSTER_184,pig_man,1364.0,70.5788731687122
CV,CLUSTER_186,pig_man,471.4,77.24298598898115
CV,CLUSTER_187,pig_man,939.3,100.73759064330709
CV,CLUSTER_195,pig_man,34.13825,106.90033511968002
CV,CLUSTER_198,horse_man,2306.0,46.88939213862314
CV,CLUSTER_2,horse_man,975.2,55.72331326241407
CV,CLUSTER_2,pig_man,1666.5,55.72331326241407
