PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Methane,Feed_Trans_Cost
CL,12.240569807442542,48.186742530579686,Upgrading_tech1,60000000,98.49650819495224,43.69592899836637,13.74685444907578,35.06398459595982,5.4326555367343365
K,10.321613453174328,47.87431679192061,Upgrading_tech1,60000000,77.19558967078503,43.69592899836637,13.574426367246051,34.20184418681118,6.350488618353465
A,12.457116825687566,49.3777336980791,Upgrading_tech1,60000000,61.51017907890635,43.69592899836637,13.63024376343186,34.48093116774022,7.5295318692493485
AQ,11.167351934434542,47.93580009378346,Upgrading_tech1,60000000,59.234361444339314,43.69592899836637,13.534086615651328,34.000145428837556,7.4136081494461905
BQ,12.586423830927918,48.37662620337118,Upgrading_tech1,60000000,51.97972413135932,43.69592899836637,13.577667711190674,34.21805090653429,8.007829040353435
AM,10.552797211215996,49.61390400424837,Upgrading_tech1,60000000,41.129758044987256,43.69592899836637,13.614379753581765,34.40161111848974,8.759198263103588
BT,11.977306487262144,48.03869225318455,Upgrading_tech1,60000000,31.35305147693606,43.69592899836637,13.640521917295548,34.532321937058654,9.346147547562058
CN,13.173579017309423,48.6787647420734,FlexEEG_biogas,60000000,27.007658126768167,34.32296261280164,6.734057529883816,32.376641134532164,6.038600094619225
V,12.136790269018425,48.85162910044787,FlexEEG_biogas,60000000,25.8048564254257,34.32296261280164,6.734057529883816,31.889665375024496,5.864902645070098
BI,11.105736741842394,48.41875992202621,FlexEEG_biogas,60000000,24.099144571273754,34.32296261280164,6.734057529883816,32.20698102888244,6.1408265317244
BY,10.095204105951948,49.97575158482972,FlexEEG_biogas,60000000,23.11272203710362,34.32296261280164,6.734057529883816,32.54117588132318,6.378474847304479
BE,11.4478456787523,49.11901623657691,FlexEEG_biogas,60000000,20.9304712624324,34.32296261280164,6.734057529883816,32.921803038659725,6.718356125825731
CO,11.8558381098417,49.94715434536959,Upgrading_tech1,40000000,18.166679126680023,33.578186320698734,9.344813862428769,22.732859811085866,5.737568295206171
AJ,10.648148676159964,48.2994635341728,Upgrading_tech1,20000000,8.442927638795645,21.533097764752856,4.983329498824184,11.475969709388018,2.3895834706475005
CH,13.600632816874898,48.63919445449202,Upgrading_tech1,20000000,6.207981127059348,21.533097764752856,5.023304278105828,11.675843605796238,2.6457285280686027
CF,10.432050614103217,47.66480995133598,Upgrading_tech1,20000000,3.0323708619584266,21.533097764752856,5.0127701433131655,11.623172931832926,2.6954453135677925
D,12.69553421600721,47.876685054426105,Upgrading_tech1,10000000,0.36702926037779887,13.954164156774336,2.6642848210372514,5.791506978455065,1.105934438520264
