PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Feed_Trans_Cost
E,12.012979763620333,48.20684696854946,Upgrading_tech1,60000000.0,92.60121676943751,43.69592899836638,13.771646368455936,5.8862905546381326
J,10.437869887108333,47.704819746780906,Upgrading_tech1,60000000.0,71.50632530693817,43.69592899836638,13.557446887750235,6.675667907286269
G,12.570237543965584,47.93100019401797,Upgrading_tech1,60000000.0,63.434902641053,43.69592899836638,13.528074872168432,7.12246036349382
C,12.256253982579375,49.28272065881865,Upgrading_tech1,60000000.0,52.7734195882271,43.69592899836638,13.630089624352218,8.10024913757011
K,11.34184774305326,47.79827729901043,Upgrading_tech1,60000000.0,47.69201260179704,43.69592899836637,13.565192638900509,8.25378529571877
I,13.304323733731383,48.591362333233874,Upgrading_tech1,53945760.22562643,33.78595286815952,40.76612564351056,12.278387860247767,7.640499259372956
A,10.426031180937702,49.76345010396675,FlexEEG_biogas,60000000.0,32.67586842531724,34.32296261280164,6.734057529883816,6.0271805246961865
T,10.49206911072586,48.25246076615605,Upgrading_tech1,47075839.99667513,29.109013844567134,37.30315153907905,10.89477497413409,6.670460017408327
S,12.518684972280344,48.58883272838263,FlexEEG_biogas,60000000.0,25.397402764169577,34.32296261280164,6.734057529883816,5.946426107671579
D,11.29787629540125,48.43108917943932,FlexEEG_biogas,60000000.0,24.25418984736713,34.322962612801646,6.734057529883816,6.089124385799991
F,11.84761918143194,50.12888374474623,Upgrading_tech1,42948182.773576155,21.368976031352926,35.15418795259033,9.98009387135401,6.204791650946167
B,11.74633195740246,48.850419897877885,FlexEEG_biogas,60000000.0,20.744435022206183,34.32296261280164,6.734057529883816,6.29205365894275
O,10.115536474374528,50.23689430528555,FlexEEG_biogas,60000000.0,14.491951764153093,34.32296261280164,6.734057529883816,7.247261116596223
N,11.253411910986838,49.344264300148,Upgrading_tech1,25313628.474915802,6.703453728601769,24.9910734166784,6.134247420661266,3.4493500005925855
