PlantLocation,SupplyNode,Feedstock,FlowTons,Distance_km
CL,CLUSTER_0,cattle_man,28890.0,23.066537222424085
CL,CLUSTER_0,horse_man,2610.0,23.066537222424085
CL,CLUSTER_0,pig_man,1695.2,23.066537222424085
CL,CLUSTER_100,horse_man,3925.5,39.92080036929772
CL,CLUSTER_100,pig_man,69.61,39.92080036929772
CL,CLUSTER_104,horse_man,871.7,35.59724539784455
CL,CLUSTER_104,pig_man,527.2180000000001,35.59724539784455
CL,CLUSTER_107,pig_man,993.2,79.75482739386239
CL,CLUSTER_116,pig_man,144.5,68.42966093084027
CL,CLUSTER_122,horse_man,5260.0,32.37067515184771
CL,CLUSTER_122,pig_man,40.78257,32.37067515184771
CL,CLUSTER_124,pig_man,225.04,107.20725707383102
CL,CLUSTER_125,pig_man,536.0,100.05486916778968
CL,CLUSTER_126,pig_man,2894.0,45.96412035182775
CL,CLUSTER_131,horse_man,1232.0,36.5293064618792
CL,CLUSTER_131,pig_man,1497.8,36.5293064618792
CL,CLUSTER_135,pig_man,159.368,46.50298823487648
CL,CLUSTER_138,pig_man,1203.8,101.16624359763432
CL,CLUSTER_142,cattle_man,32190.000000000004,13.041718364620916
CL,CLUSTER_142,horse_man,1981.9999999999998,13.041718364620916
CL,CLUSTER_142,pig_man,67.2671,13.041718364620916
CL,CLUSTER_144,pig_man,1094.5,71.66199193336179
CL,CLUSTER_149,horse_man,2613.8,31.00194472819654
CL,CLUSTER_149,pig_man,19.0894,31.00194472819654
CL,CLUSTER_151,horse_man,5352.0,42.07692024829431
CL,CLUSTER_151,pig_man,33.274,42.07692024829431
CL,CLUSTER_152,pig_man,174.14849999999998,56.871963887788034
CL,CLUSTER_155,pig_man,1243.7,71.3745690286094
CL,CLUSTER_159,pig_man,3550.315,90.975537792357
CL,CLUSTER_162,pig_man,126.94,93.20232519009558
CL,CLUSTER_165,horse_man,1926.7,27.20403222939488
CL,CLUSTER_165,pig_man,1019.9,27.20403222939488
CL,CLUSTER_175,pig_man,35.4,78.28227210565635
CL,CLUSTER_180,pig_man,6160.0,57.21279701333255
CL,CLUSTER_182,pig_man,1527.0,90.1654324722244
CL,CLUSTER_184,pig_man,1364.0,69.1252657908371
CL,CLUSTER_186,pig_man,471.4,79.35806095413196
CL,CLUSTER_195,pig_man,34.13825,103.71108249768156
CL,CLUSTER_2,pig_man,1666.5,50.760752474888896
CL,CLUSTER_20,horse_man,3289.0,33.66157555251569
CL,CLUSTER_20,pig_man,3376.0,33.66157555251569
CL,CLUSTER_202,pig_man,229.17,91.371238744089
CL,CLUSTER_203,cattle_man,9596.801435935553,25.89500906972997
CL,CLUSTER_203,horse_man,3313.0,25.89500906972997
CL,CLUSTER_203,pig_man,696.08362,25.89500906972997
CL,CLUSTER_204,pig_man,37.494,77.89972225091746
CL,CLUSTER_205,cattle_man,16567.0,13.418354775952922
CL,CLUSTER_205,horse_man,3447.0,13.418354775952922
CL,CLUSTER_205,pig_man,123.23616,13.418354775952922
CL,CLUSTER_208,pig_man,22.65,56.05437711700522
CL,CLUSTER_212,pig_man,132.0,90.30342412411454
CL,CLUSTER_218,horse_man,4008.0000000000005,28.015411428956007
CL,CLUSTER_22,cattle_man,44030.0,2.4106403193225567
CL,CLUSTER_22,cattle_slu,203300.0,2.4106403193225567
CL,CLUSTER_22,horse_man,2301.0,2.4106403193225567
CL,CLUSTER_22,pig_slu,11616.0,2.4106403193225567
CL,CLUSTER_22,pig_man,696.0,2.4106403193225567
CL,CLUSTER_223,pig_man,439.438657,90.56549811392738
