PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
D,Upgrading_tech1,20000000,10.231104279868447,0.08528755064448323,18264840.182648398,10458604.782432793,7806235.400215605,3.829915849740248,4.779856513433139,2.1365980927298187,20.533097764752856,5.097663697917638,7999.999999999998,50.22079874592364,9.934459418980095,0.0,0.0,0.0,0.0
G,Upgrading_tech1,60000000,65.44303363839788,0.16166472053884018,54794520.5479452,31867952.11743348,22926568.43051172,11.592704876608401,13.107647953370513,6.748440260018991,42.69592899836638,15.332670054855049,8000.0,48.33221473027682,12.66819091379332,0.0,0.0,0.0,0.0
H,Upgrading_tech1,60000000,48.87241091452204,0.13417988747022447,54794520.5479452,31705482.91974572,23089037.628199484,11.558715625240524,13.07515411383296,7.869049176407632,42.69592899836638,15.371515580919718,8000.0,47.978457086577,10.35970111727858,0.0,0.0,0.0,0.0
J,FlexEEG_biogas,60000000,45.83455150153047,0.14780508218448984,54794520.5479452,29056167.205264423,25738353.342680782,17.455558087928168,6.734057529883816,5.481423937505127,34.322962612801646,0.0,8000.0,48.72524943192535,12.850590060569749,8.914074946623732,3.823907828881619,2.3175198962918904,1.7611941653382708
K,Upgrading_tech1,20000000,8.01458294042325,0.07649312007656905,18264840.18264839,10475489.22743586,7789350.955212532,3.8334481478840425,4.783233402433753,2.2898821811437626,20.533097764752856,5.105893401988316,7999.999999999995,50.18270022219253,10.986654628844011,0.0,0.0,0.0,0.0
N,FlexEEG_biogas,60000000,43.70600057763123,0.14340266168480076,54794520.5479452,29177041.12710694,25617479.420838267,17.494121703952807,6.734057529883816,5.659135705205761,34.322962612801646,0.0,8000.0,48.82766910543982,11.904039546731438,8.951157580089625,3.839815320491782,2.3271608002980497,1.7611941653382708
Q,Upgrading_tech1,40000000,36.48039641944913,0.13238240443388682,36529680.36529681,20917804.352290675,15611876.01300614,7.659956131554942,8.981802770669727,4.359256100294438,32.57818632069874,10.19561730317262,8000.000000000002,47.82519595438672,12.154361137103166,0.0,0.0,0.0,0.0
U,Upgrading_tech1,20000000,13.669930579370703,0.09849297027451431,18264840.182648372,10583842.733800622,7680997.448847749,3.8561161650641402,4.804904103706704,1.973989674410857,20.533097764752856,5.158706348593346,7999.999999999986,49.50041213151283,10.304521491216496,0.0,0.0,0.0,0.0
V,FlexEEG_biogas,60000000,42.33310918470771,0.14054945923825302,54794520.5479452,29110301.050184723,25684219.497760482,17.472828949811543,6.734057529883816,5.7275919430346915,34.322962612801646,0.0,8000.0,48.61203773942329,11.032914234703998,8.930682544844085,3.8310320594085105,2.3218376117627337,1.7611941653382708
W,Upgrading_tech1,20000000,9.910439610817118,0.08403027504873584,18264840.182648398,10486373.278099757,7778466.904548642,3.8357251378561785,4.785410212566532,2.171350986672654,20.533097764752856,5.111198433692818,7999.999999999998,48.32157492035327,10.359439625777725,0.0,0.0,0.0,0.0
Y,Upgrading_tech1,40000000,31.369622247873018,0.12092544632137625,36529680.365296796,21046619.649518695,15483060.715778101,7.686904842940379,9.007565830115333,4.75733082839996,32.57818632069874,10.25840360001393,7999.999999999998,48.70667659874395,13.5092290989041,0.0,0.0,0.0,0.0
AA,Upgrading_tech1,40000000,25.508489866155372,0.10747622479767638,36529680.36529679,21335428.872213334,15194251.493083457,7.747324968153251,9.065327674654261,5.2839139624943,32.57818632069874,10.399173073646512,7999.999999999997,47.6972974188284,10.617362141901683,0.0,0.0,0.0,0.0
AB,FlexEEG_biogas,60000000,44.049072480760245,0.1441139357943264,54794520.5479452,29039994.306643307,25754526.241301894,17.45039828635209,6.734057529883816,5.592984907232616,34.322962612801646,0.0,8000.0,48.44903184509447,12.070412181982892,8.90911330012045,3.8217794107314864,2.3162299458978706,1.7611941653382708
AC,FlexEEG_biogas,60000000,44.83870336195777,0.14574851429478763,54794520.5479452,29438654.080934916,25355866.467010286,17.57758670074208,6.734057529883816,5.668553378500156,34.322962612801646,0.0,8000.0,49.817429363050096,10.211140724021703,9.031417218635747,3.8742446316673593,2.3480270494953697,1.7611941653382708
AF,Upgrading_tech1,60000000,49.67009007859671,0.13552627609373724,54794520.5479452,31439517.815983564,23355002.73196164,11.503074587459142,13.02196109308053,7.538036974537339,42.69592899836638,15.095097473517813,8000.0,48.00783605495268,12.552803254705548,0.0,0.0,0.0,0.0
AG,Upgrading_tech1,40000000,35.35319617194462,0.12987443048808367,36529680.36529442,20915679.179740217,15614001.1855542,7.659511536364079,8.98137773616015,4.431888312431316,32.578186320701434,10.194581465679224,7999.999999999477,48.31346227362893,11.305107865285274,0.0,0.0,0.0,0.0
AM,Upgrading_tech1,60000000,52.4316345102583,0.14016687600406064,54794520.5479452,31307274.51525231,23487246.032692894,11.475408723072277,12.995512432934278,7.5137342360420485,42.69592899836638,15.25254029736928,8000.0,49.287805705279375,12.549189117642596,0.0,0.0,0.0,0.0
AN,Upgrading_tech1,60000000,55.7764388485412,0.14574766819208684,54794520.5479452,31770796.88840735,23023723.659537856,11.572379586965381,13.088216907565286,7.532313821794209,42.69592899836638,15.485510861256174,8000.0,48.2092284345632,12.213681714889896,0.0,0.0,0.0,0.0
AP,Upgrading_tech1,40000000,26.601418253908186,0.11001281160646736,36529680.365296796,20908342.34829603,15621338.017000766,7.657976639831004,8.979910369870801,5.000368079409678,32.57818632069874,10.19100539601326,7999.999999999998,49.21046626100264,10.894232468798991,0.0,0.0,0.0,0.0
AQ,Upgrading_tech1,60000000,42.71156381948487,0.12368219508797362,54794520.5479452,31153524.044835266,23640996.50310994,11.443243466757185,12.96476233885087,7.807282540811924,42.69592899836638,14.91208092548313,8000.0,49.89652867732957,11.731927416848176,0.0,0.0,0.0,0.0
AR,Upgrading_tech1,60000000,54.415875554223014,0.1434826111429357,54794520.5479452,31364635.100594178,23429885.447351027,11.487408802973825,13.006984550002652,7.411243071471944,42.69592899836638,15.279235460870321,8000.0,47.75832549380255,11.099518361586638,0.0,0.0,0.0,0.0
AS,Upgrading_tech1,20000000,9.403868677395245,0.08203410557968138,18264840.182648398,10554990.602230616,7709849.580417783,3.850080175680376,4.799133677392703,2.2385432391548163,20.533097764752856,5.144643434201648,7999.999999999998,47.563304756175135,10.19397072442837,0.0,0.0,0.0,0.0
