SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km
CLUSTER_125,A,horse_man,653.0,65.23993994272227
CLUSTER_125,A,pig_man,536.0,65.23993994272227
CLUSTER_130,A,cattle_man,16581.0,14.5295952545777
CLUSTER_130,A,cattle_slu,77450.0,14.5295952545777
CLUSTER_130,A,horse_man,373.2,14.5295952545777
CLUSTER_130,A,legume_str,185.4,14.5295952545777
CLUSTER_130,A,pig_man,304.35,14.5295952545777
CLUSTER_130,A,rape_str,594.2,14.5295952545777
CLUSTER_140,A,cattle_man,7209.0,36.677870595368326
CLUSTER_140,A,horse_man,867.0,36.677870595368326
CLUSTER_140,A,pig_man,765.7,36.677870595368326
CLUSTER_143,A,cattle_man,20920.0,25.32684059087374
CLUSTER_143,A,horse_man,1329.0,25.32684059087374
CLUSTER_143,A,legume_str,47.158,25.32684059087374
CLUSTER_143,A,pig_man,52.20089,25.32684059087374
CLUSTER_143,A,rape_str,89.7,25.32684059087374
CLUSTER_150,A,legume_str,116.5,28.238282424709727
CLUSTER_150,A,pig_man,129.28320515944037,28.238282424709727
CLUSTER_150,A,rape_str,158.8,28.238282424709727
CLUSTER_167,A,cattle_man,16680.0,46.43102242977813
CLUSTER_167,A,horse_man,1062.4,46.43102242977813
CLUSTER_167,A,pig_man,722.3,46.43102242977813
CLUSTER_17,A,cattle_man,9480.0,13.405023966660618
CLUSTER_17,A,cattle_slu,36030.0,13.405023966660618
CLUSTER_17,A,horse_man,663.59,13.405023966660618
CLUSTER_17,A,legume_str,112.2,13.405023966660618
CLUSTER_17,A,pig_man,202.955,13.405023966660618
CLUSTER_17,A,rape_str,126.64,13.405023966660618
CLUSTER_186,A,horse_man,2019.1,64.28179582261753
CLUSTER_186,A,pig_man,471.4,64.28179582261753
CLUSTER_212,A,horse_man,525.0,82.13048983890049
CLUSTER_212,A,pig_man,132.0,82.13048983890049
CLUSTER_230,A,cattle_man,11370.0,52.22756305901598
CLUSTER_230,A,horse_man,900.0,52.22756305901598
CLUSTER_230,A,pig_man,156.99,52.22756305901598
CLUSTER_234,A,cattle_man,3092.766744364709,54.20839004008204
CLUSTER_234,A,horse_man,2507.0,54.20839004008204
CLUSTER_234,A,pig_man,472.3,54.20839004008204
CLUSTER_249,A,horse_man,1754.0,47.86733709427234
CLUSTER_249,A,pig_man,509.2300000000001,47.86733709427234
CLUSTER_259,A,cattle_man,11538.000000067355,50.19355587596137
CLUSTER_259,A,horse_man,817.6,50.19355587596137
CLUSTER_259,A,pig_man,260.08,50.19355587596137
CLUSTER_262,A,horse_man,491.0,65.9392427365229
CLUSTER_262,A,pig_man,55.52,65.9392427365229
CLUSTER_280,A,cattle_man,7664.0,25.479747328794858
CLUSTER_280,A,horse_man,1101.277,25.479747328794858
CLUSTER_280,A,pig_man,171.3,25.479747328794858
CLUSTER_290,A,cattle_man,4269.0,53.80664801595803
CLUSTER_290,A,horse_man,887.0,53.80664801595803
CLUSTER_290,A,pig_man,122.18799999999999,53.80664801595803
CLUSTER_295,A,cattle_man,1036.53,43.44267878252038
