PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Methane,Feed_Trans_Cost
Plant_6,12.248505401274398,47.992009612728886,Upgrading_tech1,60000000,92.56659108672093,43.69592899836637,13.731740739161076,<gurobi.Var *Awaiting Model Update*>,5.778702880267432
Plant_1,10.815045642890134,47.79568973952001,Upgrading_tech1,60000000,76.32636115621126,43.69592899836637,13.583789231323632,<gurobi.Var *Awaiting Model Update*>,6.4330858989496384
Plant_0,12.173113158736982,49.36540711748482,Upgrading_tech1,60000000,57.17171064947463,43.69592899836637,13.671315389422077,<gurobi.Var *Awaiting Model Update*>,7.926208248621325
Plant_3,13.020522253768675,48.69656046428536,Upgrading_tech1,60000000,40.594435753882536,43.69592899836637,13.526502115884824,<gurobi.Var *Awaiting Model Update*>,8.611263507257112
Plant_8,10.694058178403104,48.46948197036471,Upgrading_tech1,60000000,33.89460977779443,43.69592899836637,13.54963070342519,<gurobi.Var *Awaiting Model Update*>,9.112913975702618
Plant_9,10.708627622109992,50.00866636569815,FlexEEG_biogas,60000000,25.56788825769719,34.32296261280164,6.734057529883816,<gurobi.Var *Awaiting Model Update*>,6.340451382895352
Plant_5,11.75793594686171,48.672659154013765,FlexEEG_biogas,60000000,22.730550650326283,34.32296261280164,6.734057529883816,<gurobi.Var *Awaiting Model Update*>,6.119983595861559
Plant_4,11.786643148488452,50.042802420614336,Upgrading_tech1,40000000,19.814367079024223,33.578186320698734,9.354497859452692,<gurobi.Var *Awaiting Model Update*>,5.691364928314696
Plant_7,9.743524666575228,49.944107797485614,FlexEEG_biogas,60000000,16.47324523314893,34.32296261280164,6.734057529883816,<gurobi.Var *Awaiting Model Update*>,7.074489442760093
Plant_2,10.786171507133073,49.2850393695521,FlexEEG_biogas,60000000,11.163020597462333,34.32296261280164,6.734057529883816,<gurobi.Var *Awaiting Model Update*>,7.370716410975648
