PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Methane,Feed_Trans_Cost
E,12.012979763620333,48.20684696854946,Upgrading_tech1,60000000,92.60121676943754,43.69592899836637,13.771646368455936,35.187944192860606,5.886290554638134
J,10.437869887108333,47.704819746780906,Upgrading_tech1,60000000,71.50632530693822,43.69592899836637,13.557446887750231,34.116946789332076,6.675667907286267
G,12.570237543965584,47.93100019401797,Upgrading_tech1,60000000,63.43490264105304,43.69592899836637,13.528074872168428,33.970086711423065,7.122460363493818
C,12.256253982579375,49.28272065881865,Upgrading_tech1,60000000,52.77341958822717,43.69592899836637,13.630089624352216,34.480160472342,8.10024913757011
K,11.34184774305326,47.79827729901043,Upgrading_tech1,60000000,47.69201260179712,43.69592899836637,13.565192638900509,34.15567554508347,8.253785295718767
I,13.304323733731383,48.591362333233874,Upgrading_tech1,60000000,33.08944901208882,43.69592899836637,13.542243563416623,34.04093016766404,8.777982385967286
A,10.426031180937702,49.76345010396675,FlexEEG_biogas,60000000,32.6758683806974,34.32296261280164,6.734057529883816,33.069727842017684,6.0271805246961865
T,10.49206911072586,48.25246076615605,Upgrading_tech1,40000000,28.459807364518454,33.578186320698734,9.381391955768715,22.9157502777856,5.20090927178222
D,11.29787629540125,48.43108917943932,FlexEEG_biogas,60000000,25.683126692898888,34.32296261280164,6.734057529883816,32.2349493136541,6.05176986663685
S,12.518684972280344,48.58883272838263,FlexEEG_biogas,60000000,25.071019595814644,34.32296261280164,6.734057529883816,31.98418661049692,5.961851582574616
F,11.84761918143194,50.12888374474623,Upgrading_tech1,40000000,21.199594667799445,33.578186320698734,9.348326672757302,22.750423862728535,5.574607537217172
B,11.74633195740246,48.850419897877885,FlexEEG_biogas,60000000,20.942031321233575,34.32296261280164,6.734057529883816,32.073495328515975,6.278048325848861
O,10.115536474374528,50.23689430528555,FlexEEG_biogas,60000000,14.491951683026066,34.32296261280164,6.734057529883816,33.13024486658052,7.247261116596225
H,10.484612644812955,49.29723527845827,Upgrading_tech1,20000000,6.786062953269322,21.533097764752856,4.954056253696732,11.329603483750756,2.4173137663286317
