PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,FlexEEG_biogas,60000000,42.3378422079475,0.14055931484800444,54794520.5479452,29818479.131233416,24976041.41671179,17.69876608478932,6.734057529883816,5.95321966965946,34.322962612801646,0.0,8000.0,49.76345010396675,10.426031180937702,9.147942875342201,3.9242311275868427,2.378321895507178,1.7611941653382708
B,FlexEEG_biogas,60000000,43.71261545160421,0.1434163823452106,54794520.5479452,29091287.69396268,25703232.853982527,17.46676292864246,6.734057529883816,5.631344500735943,34.322962612801646,0.0,8000.0,48.850419897877885,11.74633195740246,8.924849480863111,3.8285298256762643,2.3203211064704634,1.7611941653382708
C,Upgrading_tech1,60000000,42.91312239499917,0.12402860435060292,54794520.5479452,31316059.33362988,23478461.214315325,11.477246544667421,12.997269396609791,7.938520412056901,42.69592899836638,15.054999113079882,8000.0,49.28272065881865,12.256253982579375,0.0,0.0,0.0,0.0
D,FlexEEG_biogas,60000000,44.40938946580039,0.1448602442705662,54794520.5479452,29207105.815776266,25587414.73216894,17.503713542225867,6.734057529883816,5.622745433020841,34.322962612801646,0.0,8000.0,48.43108917943932,11.29787629540125,8.9603810570249,3.8437719537794197,2.329558759866315,1.7611941653382708
E,Upgrading_tech1,60000000,68.45744449397017,0.16657306322711118,54794520.5479452,31167291.4014275,23627229.1465177,11.4461236566673,12.967515810169317,6.403616548667575,42.69592899836638,15.191354224068888,8000.0,48.20684696854946,12.012979763620333,0.0,0.0,0.0,0.0
F,Upgrading_tech1,40000000,27.649856547883346,0.11243313190817994,36529680.365296796,20861191.32258344,15668489.042713357,7.648112443490978,8.970480164728283,4.908413283723011,32.57818632069874,10.168023356143236,7999.999999999998,50.12888374474623,11.84761918143194,0.0,0.0,0.0,0.0
G,Upgrading_tech1,60000000,63.33083227237224,0.15821091692444722,54794520.5479452,31071312.589360595,23723207.95858461,11.42604447848608,12.948320047755935,6.691089925826051,42.69592899836638,15.144572868790549,8000.0,47.93100019401797,12.570237543965584,0.0,0.0,0.0,0.0
H,Upgrading_tech1,20000000,14.022924937875832,0.09982247807922584,18264840.182648398,10607514.105095975,7657326.077552425,3.8610683172297855,4.809638377965776,1.9626692613838372,20.533097764752856,5.170244091212222,7999.999999999998,49.29723527845827,10.484612644812955,0.0,0.0,0.0,0.0
I,Upgrading_tech1,60000000,48.76524884382686,0.13399880018741328,54794520.5479452,31497239.65156122,23297280.896383986,11.515150242455817,13.03350546019606,7.488119124769423,42.69592899836638,14.985496833330208,8000.0,48.591362333233874,13.304323733731383,0.0,0.0,0.0,0.0
J,Upgrading_tech1,60000000,60.80713326132388,0.15406738497479666,54794520.5479452,31209485.06128628,23585035.48665892,11.454950750857959,12.975954542141073,6.924688681702477,42.69592899836638,15.211919977591354,8000.0,47.704819746780906,10.437869887108333,0.0,0.0,0.0,0.0
K,Upgrading_tech1,60000000,58.68181861682509,0.15056275779199124,54794520.5479452,31055930.73604633,23738589.811898876,11.422826528953227,12.945243677093082,6.987367484065375,42.69592899836638,15.137075547983613,8000.0,47.79827729901043,11.34184774305326,0.0,0.0,0.0,0.0
N,Upgrading_tech1,20000000,8.429290055085726,0.07815771321456899,18264840.18264839,10382472.002541177,7882368.180107215,3.8139885464119905,4.76462995745481,2.2165778515829073,20.533097764752856,5.060555563864522,7999.999999999995,49.344264300148,11.253411910986838,0.0,0.0,0.0,0.0
O,FlexEEG_biogas,60000000,40.97027705952115,0.13770589964433033,54794520.5479452,30160466.437276483,24634054.110668723,17.807873714909295,6.734057529883816,6.151728103191476,34.322962612801646,0.0,8000.0,50.23689430528555,10.115536474374528,9.252860377204232,3.969238025011335,2.4055988030371727,1.7611941653382708
Q,Upgrading_tech1,40000000,28.097896262272364,0.11346368594216671,36529680.365296856,21047711.43038861,15481968.934908245,7.687133248170139,9.007784186289316,4.789653001136724,32.57818632069874,10.076835652245803,8000.000000000011,48.78714279700576,10.769888412188664,0.0,0.0,0.0,0.0
R,Upgrading_tech1,40000000,29.185016748477153,0.11595522132254521,36529680.365296856,21061218.12754285,15468462.237754004,7.689958907010456,9.010485525720165,4.890942341869861,32.57818632069874,10.24906817992135,8000.000000000011,48.9859952261635,12.948598803210228,0.0,0.0,0.0,0.0
S,FlexEEG_biogas,60000000,46.51811692816351,0.14921367616845949,54794520.5479452,29106966.098036353,25687554.449908853,17.471764966678123,6.734057529883816,5.45294460997379,34.322962612801646,0.0,8000.0,48.58883272838263,12.518684972280344,8.929659422517457,3.8305931663659765,2.32157161597938,1.7611941653382708
T,Upgrading_tech1,40000000,35.56983806800093,0.13035723437373048,36529680.365296796,20821096.13067486,15708584.234621938,7.639724357774921,8.962461126346566,4.370754334888734,32.57818632069874,10.148480423935235,7999.999999999998,48.25246076615605,10.49206911072586,0.0,0.0,0.0,0.0
