PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,FlexEEG_biogas,60000000.0,52.799760817600905,0.16205156048144542,60000000.0,33070669.63595684,26929330.36404316,18.896818129260907,6.734057529883816,6.467352611622018,34.32296261280164,0.0,8760.0,49.76345010396675,10.426031180937702,10.145674946988256,4.352232406770463,2.637716610163918,1.7611941653382712
B,FlexEEG_biogas,60000000.0,48.543326594349374,0.1533729219607145,60000000.0,32050870.97310838,27949129.02689162,18.368407710063277,6.734057529883816,6.217194851661176,34.32296261280164,0.0,8760.0,48.850419897877885,11.74633195740246,9.832813252364927,4.218022823544956,2.556377468815125,1.7611941653382712
C,Upgrading_tech1,60000000.0,40.17510427639127,0.11770831014760286,60000000.0,34221213.052642606,25778786.947357398,11.162525879326145,13.578300140412338,8.78126447269527,43.69592899836637,16.679876437264387,8760.0,49.28272065881865,12.256253982579375,0.0,0.0,0.0,0.0
D,FlexEEG_biogas,60000000.0,50.87772371882573,0.1581426593288513,60000000.0,32352635.29696516,27647364.70303484,18.524767409950183,6.734057529883816,6.22094977169457,34.32296261280164,0.0,8760.0,48.43108917943932,11.29787629540125,9.925390837704168,4.2577362156218035,2.5804461912859415,1.7611941653382712
E,Upgrading_tech1,60000000.0,66.58217494046946,0.1610367216265578,60000000.0,34247088.87738572,25752911.12261428,11.169334888138486,13.58347530536096,7.069221056180324,43.69592899836637,16.6924886599452,8760.0,48.20684696854946,12.012979763620333,0.0,0.0,0.0,0.0
F,Upgrading_tech1,42948182.77357616,23.819499630693954,0.09941287311598335,42948182.77357616,24490704.63303117,18457478.140544992,7.988869077585902,9.989389332763174,5.9393649793803105,35.15067475370704,11.794897899497128,8760.0,50.12888374474623,11.84761918143194,0.0,0.0,0.0,0.0
G,Upgrading_tech1,60000000.0,55.178892667129716,0.14264887861294517,60000000.0,34070795.99982448,25929204.000175525,11.12294487859157,13.548216729848711,7.717620276554162,43.69592899836637,16.60656115614901,8760.0,47.93100019401797,12.570237543965584,0.0,0.0,0.0,0.0
I,Upgrading_tech1,53945760.22562643,45.37995804602329,0.13189721392101328,53945760.22562643,31001115.815116085,22944644.410510346,10.097483880916482,12.361345068273856,7.1137997793996215,40.76988699463381,15.009469710435443,8760.0,48.591362333233874,13.304323733731383,0.0,0.0,0.0,0.0
J,Upgrading_tech1,60000000.0,54.62923063569262,0.1417518612850701,60000000.0,34194434.43641175,25805565.563588247,11.15547930841649,13.572944417166166,7.821622685639329,43.69592899836637,16.66682418195116,8760.0,47.704819746780906,10.437869887108333,0.0,0.0,0.0,0.0
K,Upgrading_tech1,60000000.0,51.17544750676363,0.13608953146887615,60000000.0,34062135.44503317,25937864.55496683,11.120665925380255,13.54648461889045,7.9718134298038805,43.69592899836637,16.59958695531926,8760.0,47.79827729901043,11.34184774305326,0.0,0.0,0.0,0.0
N,Upgrading_tech1,25313628.4749158,13.032016577114518,0.08713983813313697,25313628.4749158,14518049.770208143,10795578.704707656,4.730539218621203,6.174848411250347,3.1460856421312005,24.994772910751486,7.07629141914438,8760.0,49.344264300148,11.253411910986838,0.0,0.0,0.0,0.0
O,FlexEEG_biogas,60000000.0,45.912949536440884,0.14796675872618414,60000000.0,33131710.58815982,26868289.41184018,18.92844660291639,6.734057529883816,6.94918739697773,34.32296261280164,0.0,8760.0,50.23689430528555,10.115536474374528,10.16440156082231,4.360265640244186,2.6425852365116276,1.7611941653382712
S,FlexEEG_biogas,60000000.0,50.52436849157521,0.15742227572405088,60000000.0,31962236.052393515,28037763.947606485,18.32248137448673,6.734057529883816,6.041763360583487,34.32296261280164,0.0,8760.0,48.58883272838263,12.518684972280344,9.805621148170358,4.206358113439196,2.5493079475389075,1.7611941653382712
T,Upgrading_tech1,47075839.99667513,39.31414789906708,0.12759114465063237,47075839.99667513,27138318.15691927,19937521.839755863,8.833990120740161,10.924928389794122,6.127747994617336,37.30694111691599,13.227578837613029,8760.0,48.25246076615605,10.49206911072586,0.0,0.0,0.0,0.0
