PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,FlexEEG_biogas,60000000.0,49.01485494434906,0.15433842041895662,60000000.0,32911463.89965054,27088536.10034946,18.814325405035028,6.734057529883816,6.632287679993095,34.32296261280164,0.0,8760.0,49.76345010396675,10.426031180937702,10.09683258401102,4.33128029504961,2.625018360636128,1.7611941653382712
B,FlexEEG_biogas,60000000.0,47.65289467356677,0.1515467361276166,60000000.0,31948124.87944737,28051875.12055263,18.315169646119667,6.734057529883816,6.222166321057381,34.32296261280164,0.0,8760.0,48.850419897877885,11.74633195740246,9.801292013761884,4.204501026634792,2.5481824403847226,1.7611941653382712
C,Upgrading_tech1,60000000.0,40.3818338244954,0.11805934223982173,60000000.0,34231389.54268384,25768610.457316156,11.165203738333823,13.580335438420583,8.73560451727166,43.69592899836637,16.647088295429484,8760.0,49.28272065881865,12.256253982579375,0.0,0.0,0.0,0.0
D,FlexEEG_biogas,60000000.0,49.97418937159258,0.15629950660030656,60000000.0,32310004.667476904,27689995.332523096,18.502678276458255,6.734057529883816,6.257926706569451,34.32296261280164,0.0,8760.0,48.43108917943932,11.29787629540125,9.912312284583395,4.252125854258631,2.577045972277958,1.7611941653382712
E,Upgrading_tech1,60000000.0,65.45658009118631,0.15923869017625125,60000000.0,34227704.298179,25772295.701821,11.1642339967871,13.579598389519616,7.132131439613453,43.69592899836637,16.68304035706187,8760.0,48.20684696854946,12.012979763620333,0.0,0.0,0.0,0.0
F,Upgrading_tech1,39186887.99995527,22.55623380490691,0.09968485149549511,39186887.99995527,22374723.9438228,16812164.056132466,7.296816575111693,9.189620407568157,5.363722333726596,33.11443182744752,10.895842537869264,8760.0,50.12888374474623,11.84761918143194,0.0,0.0,0.0,0.0
G,Upgrading_tech1,60000000.0,54.78235662811791,0.14200186429728534,60000000.0,34147897.136513,25852102.863486998,11.143233403667214,13.563636957186416,7.785991149326842,43.69592899836637,16.64414128024218,8760.0,47.93100019401797,12.570237543965584,0.0,0.0,0.0,0.0
I,Upgrading_tech1,57254656.19808886,46.01484733316151,0.12993659439080818,57254656.19808886,32898947.38333304,24355708.814755823,10.715864763748506,13.054088432734762,7.813921994380151,42.3695445428106,15.930031749370277,8760.0,48.591362333233874,13.304323733731383,0.0,0.0,0.0,0.0
J,Upgrading_tech1,59736738.883435,50.10148009988177,0.1345606003023736,59736738.883435,34197353.20578808,25539385.67764692,11.14678093923586,13.548618965814589,8.1429764495995,43.56873711350262,16.66824682913994,8760.0,47.704819746780906,10.437869887108333,0.0,0.0,0.0,0.0
K,Upgrading_tech1,57861291.987453304,49.35707521152656,0.13506326906463006,57861291.987453304,32859735.343148615,25001556.644304693,10.727360025037395,13.103644608933903,7.622052737564463,42.66263434840678,16.01387228435974,8760.0,47.79827729901043,11.34184774305326,0.0,0.0,0.0,0.0
N,Upgrading_tech1,39568868.43618299,23.1692916768582,0.10077394116098581,39568868.43618299,22774350.536611754,16794517.899571232,7.415710363428345,9.308013537149154,5.515148744497197,33.32365606128607,11.100522716867742,8760.0,49.344264300148,11.253411910986838,0.0,0.0,0.0,0.0
O,FlexEEG_biogas,60000000.0,46.0204391176839,0.1481883763937879,60000000.0,33140568.71122852,26859431.28877148,18.93303645451608,6.734057529883816,6.946750413378668,34.32296261280164,0.0,8760.0,50.23689430528555,10.115536474374528,10.167119124097704,4.361431404672517,2.6432917604075867,1.7611941653382712
S,FlexEEG_biogas,60000000.0,50.23283326870489,0.15682750136598544,60000000.0,31959590.011162758,28040409.988837242,18.32111032370299,6.734057529883816,6.059450621703573,34.32296261280164,0.0,8760.0,48.58883272838263,12.518684972280344,9.804809375245313,4.206009883829063,2.5490968992903418,1.7611941653382712
T,Upgrading_tech1,54831203.18802683,47.33628968126732,0.13449101241303119,54831203.18802683,31499416.6183242,23331786.569702633,10.26044662056244,12.544880325943181,7.217707578279653,41.198678293170616,15.28987086720658,8760.0,48.25246076615605,10.49206911072586,0.0,0.0,0.0,0.0
