PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
E,Upgrading_tech1,60000000.0,55.156696166811315,0.14471675862903943,60000000.0,34211055.175434306,25788944.824565697,11.15985291813118,8.444610288655515,7.819309379464593,42.695928998366284,11.500912498661599,8760.0,49.043291155657,12.711153487472693,0.0,0.0,0.0,0.0
L,Upgrading_tech1,60000000.0,55.107413381701,0.1446347197944362,60000000.0,34252096.71646339,25747903.283536617,11.170652659484873,8.446662365706983,8.05929104799604,42.69592899836636,11.72892477660721,8760.0,47.94474094124833,11.916356932624076,0.0,0.0,0.0,0.0
X,Upgrading_tech1,60000000.0,48.15598152326727,0.1329682717810119,60000000.0,34664277.49728089,25335722.502719115,11.279114615643802,8.46727140474786,8.905374974798082,42.69592899836637,12.03272508240617,8760.0,47.89632029131894,10.31146716391925,0.0,0.0,0.0,0.0
AJ,Upgrading_tech1,60000000.0,51.45423856800693,0.138527980030424,60000000.0,34322469.319586016,25677530.68041398,11.189170626721332,8.450180995863116,8.34117876754027,42.69592899836637,11.75699692152317,8760.0,47.89295626814062,12.317409973370095,0.0,0.0,0.0,0.0
AK,FlexEEG_biogas,60000000.0,50.16395526886583,0.15668692389433425,60000000.0,31960093.932026118,28039906.067973882,18.31137143115915,6.734057529883816,6.054214438613912,34.32296261280164,0.0,8760.0,48.657968473893504,13.178484443289442,9.80496397197211,4.206076201830365,2.549137092018403,1.660916950762664
AL,Upgrading_tech1,51921834.621069334,37.41800824599321,0.12125430196128217,51921834.621069334,29544165.108137228,22377669.512932107,9.641322477584662,7.436102487894056,6.727388204548556,38.680468096912364,9.496896425295532,8760.0,49.492546127430096,10.448978888108046,0.0,0.0,0.0,0.0
AR,Upgrading_tech1,22795617.601161167,14.301085733259896,0.09699520751527135,22795617.601161167,12887638.314436134,9907979.286725035,4.210966596357198,3.6201816714232997,2.652542790802055,22.122385006416593,4.442841904847196,8760.0,50.19509843046476,9.780919322806431,0.0,0.0,0.0,0.0
AU,Upgrading_tech1,60000000.0,73.25283819384501,0.1743355589817459,60000000.0,34465711.46909903,25534288.530900974,11.22686361111953,8.457343103338767,6.919969983895457,42.69592899836637,11.730280647995025,8760.0,48.29631554432875,12.652150055506311,0.0,0.0,0.0,0.0
AV,Upgrading_tech1,41709819.732909545,26.89399434258368,0.1091404718692861,41709819.732909545,23522295.970107947,18187523.762801595,7.689510949139748,6.136951079052775,5.141134427890114,33.40941492203606,7.530743779463704,8760.0,50.07135494640782,11.523129927586671,0.0,0.0,0.0,0.0
BB,FlexEEG_biogas,60000000.0,49.20909407075677,0.1547358351384267,60000000.0,32062845.19274427,27937154.80725573,18.364612172422245,6.734057529883816,6.169876599694676,34.32296261280164,0.0,8760.0,48.49041834352908,11.004837093947604,9.83648679576477,4.219598678745918,2.557332532573283,1.660916950762664
BC,Upgrading_tech1,41418896.73004267,29.172696492664812,0.11458242768059024,41418896.73004267,23411421.894992977,18007474.8350497,7.649874262005262,6.101887500942261,5.101419629421589,33.247570115612874,7.633985806107166,8760.0,49.684025653478464,12.342017242237654,0.0,0.0,0.0,0.0
BF,FlexEEG_biogas,60000000.0,51.68828785287429,0.15979306635297896,60000000.0,31833298.79375908,28166701.20624092,18.245672313671815,6.734057529883816,5.888866278567751,34.32296261280164,0.0,8760.0,48.408766583197256,12.18504707800676,9.76606478208945,4.189389454453871,2.539023911790225,1.660916950762664
BO,FlexEEG_biogas,60000000.0,48.75783340452913,0.15381227679421894,60000000.0,32612201.352836132,27387798.647163868,18.64926200519622,6.734057529883816,6.484026355127127,34.32296261280164,0.0,8760.0,49.19411282487568,11.391204474836565,10.005022513117094,4.2918961468386465,2.60114917990221,1.660916950762664
BR,Upgrading_tech1,57283850.4862749,48.235950169643274,0.1357639630704186,57283850.4862749,32868094.83179411,24415755.65448079,10.708795947162681,8.116826432205759,7.747008937674128,41.34579667707064,11.011199290761288,8760.0,48.00424998356873,10.672329714502627,0.0,0.0,0.0,0.0
CB,FlexEEG_biogas,60000000.0,47.87117250851704,0.15199476280579605,60000000.0,32515240.838374425,27484759.161625575,18.599021748997792,6.734057529883816,6.491749111914757,34.32296261280164,0.0,8760.0,49.90308431558692,10.196167284796529,9.975276219097344,4.279135755293428,2.593415609268744,1.660916950762664
CG,Upgrading_tech1,56924454.451905325,50.411763981940396,0.1399193156668661,56924454.451905325,32545796.614714824,24378657.8371905,10.611062576421668,8.066224654346101,7.7865092118237484,41.167149588721514,11.22839042941029,8760.0,47.82653032138388,11.026734645777625,0.0,0.0,0.0,0.0
