SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km
CLUSTER_109,E,cattle_man,10424.0,21.926339601321736
CLUSTER_109,E,horse_man,2924.000000000007,21.926339601321736
CLUSTER_109,E,pig_man,121.22265,21.926339601321736
CLUSTER_109,E,rape_str,16.3,21.926339601321736
CLUSTER_109,E,legume_str,13.7,21.926339601321736
CLUSTER_124,E,pig_man,225.04,73.49596222752817
CLUSTER_125,E,pig_man,536.0,70.81580752568222
CLUSTER_143,E,cattle_man,20919.999999999894,18.617338165915548
CLUSTER_143,E,horse_man,1329.0,18.617338165915548
CLUSTER_143,E,pig_man,52.20089,18.617338165915548
CLUSTER_143,E,rape_str,89.7,18.617338165915548
CLUSTER_143,E,legume_str,47.158,18.617338165915548
CLUSTER_146,E,cattle_man,2485.0,52.57135733925276
CLUSTER_146,E,horse_man,847.0,52.57135733925276
CLUSTER_150,E,cattle_man,18940.000000000156,13.74724721261342
CLUSTER_150,E,cattle_slu,87300.00000000006,13.74724721261342
CLUSTER_150,E,horse_man,998.0,13.74724721261342
CLUSTER_150,E,pig_man,605.1,13.74724721261342
CLUSTER_150,E,maize_str,307.3,13.74724721261342
CLUSTER_150,E,rape_str,158.8,13.74724721261342
CLUSTER_150,E,legume_str,116.5,13.74724721261342
CLUSTER_155,E,cattle_man,533.52,30.00342297916177
CLUSTER_155,E,horse_man,1141.3,30.00342297916177
CLUSTER_155,E,pig_man,1243.7,30.00342297916177
CLUSTER_155,E,rape_str,1777.0,30.00342297916177
CLUSTER_155,E,legume_str,662.1,30.00342297916177
CLUSTER_175,E,cattle_man,2182.272,40.164215670685614
CLUSTER_175,E,horse_man,1207.3,40.164215670685614
CLUSTER_175,E,pig_man,35.4,40.164215670685614
CLUSTER_180,E,horse_man,1481.0,61.54620695531669
CLUSTER_180,E,pig_man,6160.0,61.54620695531669
CLUSTER_184,E,cattle_man,2092.0,36.985569772375705
CLUSTER_184,E,horse_man,556.0,36.985569772375705
CLUSTER_184,E,pig_man,1364.0,36.985569772375705
CLUSTER_184,E,rape_str,983.3300035835817,36.985569772375705
CLUSTER_184,E,legume_str,480.0,36.985569772375705
CLUSTER_186,E,cattle_man,2851.0,54.87959398739891
CLUSTER_186,E,horse_man,2019.1,54.87959398739891
CLUSTER_186,E,pig_man,471.4,54.87959398739891
CLUSTER_189,E,cattle_man,4488.98,33.860227417742784
CLUSTER_189,E,horse_man,1789.0,33.860227417742784
CLUSTER_193,E,cattle_man,1113.0,44.19530311357322
CLUSTER_193,E,horse_man,1133.0,44.19530311357322
CLUSTER_195,E,cattle_man,17240.000000000087,2.6184837110134005
CLUSTER_195,E,cattle_slu,93330.00000000003,2.6184837110134005
CLUSTER_195,E,horse_man,1276.5,2.6184837110134005
CLUSTER_195,E,pig_slu,464.13,2.6184837110134005
CLUSTER_195,E,pig_man,34.13825,2.6184837110134005
CLUSTER_195,E,maize_str,21.4,2.6184837110134005
CLUSTER_195,E,rape_str,51.9,2.6184837110134005
CLUSTER_195,E,legume_str,17.12,2.6184837110134005
CLUSTER_196,E,horse_man,1807.0,88.7404760820381
CLUSTER_202,E,cattle_man,16100.0,38.3834269381991
CLUSTER_202,E,horse_man,1917.3,38.3834269381991
CLUSTER_202,E,pig_man,229.17,38.3834269381991
CLUSTER_212,E,pig_man,132.0,81.94724756785794
CLUSTER_214,E,pig_man,13.92,84.51839875498305
CLUSTER_223,E,cattle_man,9326.0,11.65515249601404
CLUSTER_223,E,cattle_slu,53129.999999999985,11.65515249601404
CLUSTER_223,E,horse_man,1582.6,11.65515249601404
CLUSTER_223,E,pig_man,439.438657,11.65515249601404
CLUSTER_223,E,maize_str,1682.3,11.65515249601404
CLUSTER_223,E,rape_str,240.1,11.65515249601404
CLUSTER_223,E,legume_str,122.22,11.65515249601404
CLUSTER_228,E,cattle_man,10463.0,38.29854394591205
CLUSTER_228,E,horse_man,1313.4,38.29854394591205
CLUSTER_231,E,cattle_man,13870.000000000013,11.190171875110176
CLUSTER_231,E,cattle_slu,72599.99999999994,11.190171875110176
CLUSTER_231,E,horse_man,1176.0,11.190171875110176
CLUSTER_231,E,pig_man,10.6436,11.190171875110176
CLUSTER_231,E,maize_str,13.35,11.190171875110176
CLUSTER_231,E,legume_str,26.42,11.190171875110176
CLUSTER_240,E,cattle_man,402.0399999999473,36.99046183209224
CLUSTER_240,E,horse_man,172.5,36.99046183209224
CLUSTER_240,E,pig_man,24.931,36.99046183209224
CLUSTER_240,E,legume_str,511.70000000000016,36.99046183209224
CLUSTER_241,E,cattle_man,10430.0,12.332990379380997
CLUSTER_241,E,cattle_slu,56780.00000000003,12.332990379380997
CLUSTER_241,E,horse_man,968.1,12.332990379380997
CLUSTER_241,E,maize_str,29.1,12.332990379380997
CLUSTER_241,E,rape_str,46.0,12.332990379380997
CLUSTER_241,E,legume_str,14.47,12.332990379380997
CLUSTER_250,E,cattle_man,8735.82,44.59029957838392
CLUSTER_250,E,horse_man,1190.0,44.59029957838392
CLUSTER_250,E,pig_man,54.334,44.59029957838392
CLUSTER_254,E,cattle_man,8256.0,20.483492917523638
CLUSTER_254,E,horse_man,1711.5,20.483492917523638
CLUSTER_258,E,horse_man,1914.0,64.05849834386109
CLUSTER_267,E,cattle_man,6170.0,50.76694646044924
CLUSTER_267,E,horse_man,951.0,50.76694646044924
CLUSTER_267,E,pig_man,778.8,50.76694646044924
CLUSTER_270,E,cattle_man,9712.0,25.32996970791658
CLUSTER_270,E,horse_man,2875.0,25.32996970791658
CLUSTER_270,E,pig_man,61.2952,25.32996970791658
CLUSTER_274,E,cattle_man,2163.0,23.60542883895802
CLUSTER_274,E,horse_man,783.4,23.60542883895802
CLUSTER_274,E,pig_man,587.9,23.60542883895802
CLUSTER_274,E,rape_str,401.4,23.60542883895802
CLUSTER_274,E,legume_str,393.2,23.60542883895802
CLUSTER_276,E,horse_man,1192.0,76.18450100302861
CLUSTER_280,E,cattle_man,7663.999999999799,26.865470826632965
CLUSTER_280,E,horse_man,1101.277,26.865470826632965
CLUSTER_280,E,pig_man,171.3,26.865470826632965
CLUSTER_280,E,rape_str,224.4,26.865470826632965
CLUSTER_280,E,legume_str,227.3,26.865470826632965
CLUSTER_282,E,horse_man,1029.0,48.83519694684611
CLUSTER_282,E,pig_man,277.076,48.83519694684611
CLUSTER_284,E,cattle_man,1152.783,19.026873411936982
CLUSTER_284,E,horse_man,195.4,19.026873411936982
CLUSTER_284,E,pig_man,447.9,19.026873411936982
CLUSTER_284,E,rape_str,262.2,19.026873411936982
CLUSTER_284,E,legume_str,192.3,19.026873411936982
CLUSTER_285,E,cattle_man,15869.999999999998,32.809709801180226
CLUSTER_285,E,horse_man,3438.0,32.809709801180226
CLUSTER_290,E,horse_man,887.0,58.25199554464933
CLUSTER_290,E,pig_man,122.18799999999999,58.25199554464933
CLUSTER_295,E,cattle_man,1036.53,33.47216658223763
CLUSTER_295,E,horse_man,46.7,33.47216658223763
CLUSTER_295,E,rape_str,310.5,33.47216658223763
CLUSTER_295,E,legume_str,228.28,33.47216658223763
CLUSTER_296,E,horse_man,902.0,54.51336109521958
CLUSTER_301,E,cattle_man,2641.0,24.136738101201423
CLUSTER_301,E,horse_man,760.0,24.136738101201423
CLUSTER_301,E,pig_man,225.23,24.136738101201423
CLUSTER_301,E,rape_str,382.1,24.136738101201423
CLUSTER_301,E,legume_str,364.26,24.136738101201423
CLUSTER_31,E,cattle_man,11270.176,48.5349128049122
CLUSTER_31,E,horse_man,3786.0,48.5349128049122
CLUSTER_31,E,pig_man,390.4,48.5349128049122
CLUSTER_311,E,cattle_man,22700.0,28.39941096763236
CLUSTER_311,E,horse_man,1250.5,28.39941096763236
CLUSTER_311,E,rape_str,316.0,28.39941096763236
CLUSTER_311,E,legume_str,30.47,28.39941096763236
CLUSTER_321,E,cattle_man,2184.0,47.91008383176232
CLUSTER_321,E,horse_man,1668.0,47.91008383176232
CLUSTER_321,E,pig_man,53.32708,47.91008383176232
CLUSTER_33,E,cattle_man,6952.0,26.379249433036733
CLUSTER_33,E,horse_man,1803.0,26.379249433036733
CLUSTER_340,E,pig_man,150.7,92.09630880920776
CLUSTER_355,E,cattle_man,3894.999999999822,41.05609637064722
CLUSTER_355,E,horse_man,1202.0,41.05609637064722
CLUSTER_355,E,pig_man,1341.0,41.05609637064722
CLUSTER_370,E,cattle_man,11090.0,9.870001468986436
CLUSTER_370,E,cattle_slu,71479.99999999997,9.870001468986436
CLUSTER_370,E,horse_man,1921.0,9.870001468986436
CLUSTER_370,E,pig_man,15.373134,9.870001468986436
CLUSTER_370,E,maize_str,133.51,9.870001468986436
CLUSTER_370,E,rape_str,42.4,9.870001468986436
CLUSTER_370,E,legume_str,38.17,9.870001468986436
CLUSTER_372,E,cattle_man,9440.00000000015,38.83999562485354
CLUSTER_372,E,horse_man,1283.0,38.83999562485354
CLUSTER_372,E,pig_man,127.52,38.83999562485354
CLUSTER_372,E,legume_str,304.78,38.83999562485354
CLUSTER_397,E,cattle_man,5686.0,56.66110556006812
CLUSTER_397,E,horse_man,797.2,56.66110556006812
CLUSTER_397,E,pig_man,80.291,56.66110556006812
CLUSTER_399,E,horse_man,218.1,64.17394635852685
CLUSTER_399,E,pig_man,646.33,64.17394635852685
CLUSTER_400,E,cattle_man,3903.8,42.04640437767499
CLUSTER_400,E,horse_man,1513.0,42.04640437767499
CLUSTER_400,E,pig_man,2588.0,42.04640437767499
CLUSTER_406,E,cattle_man,16789.999999999858,14.084306790327002
CLUSTER_406,E,cattle_slu,94100.00000000009,14.084306790327002
CLUSTER_406,E,horse_man,1539.0,14.084306790327002
CLUSTER_406,E,pig_man,52.746,14.084306790327002
CLUSTER_406,E,maize_str,29.7,14.084306790327002
CLUSTER_408,E,cattle_man,7585.8,36.78813344048148
CLUSTER_408,E,horse_man,3122.0,36.78813344048148
CLUSTER_408,E,pig_man,511.6000000000001,36.78813344048148
CLUSTER_408,E,rape_str,1388.0,36.78813344048148
CLUSTER_408,E,legume_str,270.2,36.78813344048148
CLUSTER_416,E,horse_man,387.2,67.45581683369693
CLUSTER_429,E,cattle_man,6420.000000000146,18.04939712657089
CLUSTER_429,E,horse_man,723.0,18.04939712657089
CLUSTER_429,E,rape_str,185.6,18.04939712657089
CLUSTER_429,E,legume_str,61.70000000000001,18.04939712657089
CLUSTER_442,E,horse_man,2096.0,76.42917145677193
CLUSTER_453,E,cattle_man,163.9,29.728493577377197
CLUSTER_453,E,horse_man,209.4,29.728493577377197
CLUSTER_453,E,pig_man,269.0,29.728493577377197
CLUSTER_453,E,rape_str,449.1,29.728493577377197
CLUSTER_453,E,legume_str,457.0,29.728493577377197
CLUSTER_456,E,cattle_man,18.534,34.896948771109464
CLUSTER_456,E,horse_man,275.0,34.896948771109464
CLUSTER_456,E,pig_man,30.472,34.896948771109464
CLUSTER_470,E,cattle_man,25970.000000000065,32.231429666279965
CLUSTER_470,E,horse_man,1288.9999999999957,32.231429666279965
CLUSTER_470,E,pig_man,190.5,32.231429666279965
CLUSTER_470,E,rape_str,89.8,32.231429666279965
CLUSTER_470,E,legume_str,43.7,32.231429666279965
CLUSTER_472,E,cattle_man,24810.0,36.24205421438624
CLUSTER_472,E,horse_man,709.0,36.24205421438624
CLUSTER_472,E,pig_man,22.5159,36.24205421438624
CLUSTER_472,E,rape_str,336.6,36.24205421438624
CLUSTER_472,E,legume_str,59.1,36.24205421438624
CLUSTER_477,E,cattle_man,6130.00000000001,27.17981030170789
CLUSTER_477,E,horse_man,907.999999999992,27.17981030170789
CLUSTER_477,E,rape_str,247.70000000000002,27.17981030170789
CLUSTER_477,E,legume_str,101.5,27.17981030170789
CLUSTER_48,E,horse_man,1045.96,64.69380073547248
CLUSTER_48,E,pig_man,1701.4,64.69380073547248
CLUSTER_484,E,cattle_man,10650.0,26.37412497849878
CLUSTER_484,E,horse_man,420.9,26.37412497849878
CLUSTER_484,E,pig_man,64.9729,26.37412497849878
CLUSTER_484,E,rape_str,75.4,26.37412497849878
CLUSTER_484,E,legume_str,72.6,26.37412497849878
CLUSTER_488,E,cattle_man,62.5,33.74845052603171
CLUSTER_488,E,horse_man,236.9,33.74845052603171
CLUSTER_488,E,pig_man,1185.8,33.74845052603171
CLUSTER_501,E,cattle_man,230.0,48.988813561666575
CLUSTER_501,E,horse_man,474.5,48.988813561666575
CLUSTER_501,E,pig_man,1378.0,48.988813561666575
CLUSTER_503,E,cattle_man,1023.7099999999999,50.22967721843841
CLUSTER_503,E,horse_man,847.1,50.22967721843841
CLUSTER_504,E,horse_man,1033.0,73.47352553803164
CLUSTER_504,E,pig_man,442.0,73.47352553803164
CLUSTER_509,E,cattle_man,10453.0,35.55920969611399
CLUSTER_509,E,horse_man,798.0,35.55920969611399
