PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,FlexEEG_biogas,60000000.0,52.791291786416245,0.1620343712215626,60000000.0,33070334.26326605,26929665.73673395,18.896644355328284,6.734057529883816,6.467732477267664,34.32296261280164,0.0,8760.0,49.76345010396675,10.426031180937702,10.145572058769048,4.3521882703828645,2.6376898608381003,1.7611941653382712
B,FlexEEG_biogas,60000000.0,48.321991031886064,0.152919347457958,60000000.0,32017455.456342738,27982544.543657262,18.351093402970033,6.734057529883816,6.214349747099634,34.32296261280164,0.0,8760.0,48.850419897877885,11.74633195740246,9.822561782557335,4.213625207876529,2.5537122471978972,1.7611941653382712
C,Upgrading_tech1,60000000.0,40.06860319207851,0.11752737531128576,60000000.0,34221213.052642606,25778786.947357398,11.162525879326129,13.578300140412338,8.788226687630909,43.69592899836637,16.67987643726442,8760.0,49.28272065881865,12.256253982579375,0.0,0.0,0.0,0.0
D,FlexEEG_biogas,60000000.0,51.07581765636801,0.15854626919463843,60000000.0,32352635.296965096,27647364.703034904,18.52476740995017,6.734057529883816,6.207999926352478,34.32296261280164,0.0,8760.0,48.43108917943932,11.29787629540125,9.925390837704146,4.257736215621795,2.580446191285936,1.7611941653382712
E,Upgrading_tech1,60000000.0,66.48739545690265,0.16088544926880788,60000000.0,34252324.79228664,25747675.207713358,11.170712675747382,13.584522488341145,7.078299663267932,43.69592899836636,16.695040714819736,8760.0,48.20684696854946,12.012979763620333,0.0,0.0,0.0,0.0
F,Upgrading_tech1,42948182.77357618,23.8505776379951,0.09950038640963754,42948182.77357618,24490704.63303117,18457478.140545007,7.988869077585903,9.988198350441943,5.939364979380299,35.13781521707681,11.794897899497123,8760.0,50.12888374474623,11.84761918143194,0.0,0.0,0.0,0.0
G,Upgrading_tech1,60000000.0,55.75072384470792,0.14358092299100123,60000000.0,34070795.99982448,25929204.000175525,11.122944878591582,13.5482167298487,7.680238388934155,43.69592899836637,16.60656115614901,8760.0,47.93100019401797,12.570237543965584,0.0,0.0,0.0,0.0
I,Upgrading_tech1,55866682.485347465,45.60375604380675,0.1304963355753359,55866682.485347465,32127233.999048818,23739448.48629865,10.462885623897908,12.76803286167671,7.541826423299917,41.694985313057224,15.553888335779334,8760.0,48.591362333233874,13.304323733731383,0.0,0.0,0.0,0.0
J,Upgrading_tech1,60000000.0,54.62923063569163,0.14175186128506945,60000000.0,34194434.436411746,25805565.563588254,11.155479308416488,13.572944417166166,7.821622685639327,43.69592899836637,16.666824181951092,8760.0,47.704819746780906,10.437869887108333,0.0,0.0,0.0,0.0
K,Upgrading_tech1,58943594.44502515,50.26215610716649,0.1355657249730131,58943594.44502515,33474891.12562733,25468703.319397826,10.928150914438092,13.328982315620427,7.804056938448464,43.18452187397803,16.313707431221122,8760.0,47.79827729901043,11.34184774305326,0.0,0.0,0.0,0.0
N,Upgrading_tech1,26666666.666666668,13.765832524582564,0.08800231320468432,26666666.666666668,15282776.579052698,11383890.08761397,4.980423677513614,6.475463638285682,3.363162788022633,25.86607470036094,7.449029482525381,8760.0,49.344264300148,11.253411910986838,0.0,0.0,0.0,0.0
O,FlexEEG_biogas,60000000.0,45.912949536440586,0.14796675872618303,60000000.0,33131710.588159833,26868289.411840167,18.9284466029164,6.734057529883816,6.949187396977758,34.32296261280164,0.0,8760.0,50.23689430528555,10.115536474374528,10.164401560822315,4.3602656402441875,2.6425852365116285,1.7611941653382712
S,FlexEEG_biogas,60000000.0,50.51187835897433,0.15739680190607963,60000000.0,31962236.05239347,28037763.94760653,18.322481374486713,6.734057529883815,6.042579868587149,34.32296261280163,0.0,8760.0,48.58883272838263,12.518684972280344,9.805621148170346,4.206358113439191,2.5493079475389036,1.7611941653382712
T,Upgrading_tech1,48298940.87877976,39.80180400913364,0.1272693808229881,48298940.87877976,27851647.97848868,20447292.90029108,9.065677565176863,11.186255800082602,6.373282485276,37.928502367125155,13.575265322732374,8760.0,48.25246076615605,10.49206911072586,0.0,0.0,0.0,0.0
