SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km
CLUSTER_101,Plant_0,cattle_man,7667.4141,15.60150898389993
CLUSTER_101,Plant_0,cattle_slu,32068.0,15.60150898389993
CLUSTER_101,Plant_0,horse_man,1895.41,15.60150898389993
CLUSTER_101,Plant_0,pig_slu,4298.0,15.60150898389993
CLUSTER_101,Plant_0,pig_man,311.45,15.60150898389993
CLUSTER_101,Plant_0,cereal_str,4230.0,15.60150898389993
CLUSTER_101,Plant_0,clover_alfalfa_grass,2476.2,15.60150898389993
CLUSTER_101,Plant_0,perm_grass,6347.0,15.60150898389993
CLUSTER_101,Plant_0,maize_str,163.78503,15.60150898389993
CLUSTER_101,Plant_0,beet_leaf,839.0,15.60150898389993
CLUSTER_101,Plant_0,rape_str,1060.3,15.60150898389993
CLUSTER_101,Plant_0,legume_str,210.4,15.60150898389993
CLUSTER_103,Plant_0,cattle_man,2660.0,13.1961226647012
CLUSTER_103,Plant_0,cattle_slu,22700.0,13.1961226647012
CLUSTER_103,Plant_0,horse_man,678.2,13.1961226647012
CLUSTER_103,Plant_0,pig_slu,10086.1,13.1961226647012
CLUSTER_103,Plant_0,pig_man,791.300184,13.1961226647012
CLUSTER_103,Plant_0,clover_alfalfa_grass,2787.606,13.1961226647012
CLUSTER_103,Plant_0,perm_grass,3797.4,13.1961226647012
CLUSTER_103,Plant_0,beet_leaf,382.0,13.1961226647012
CLUSTER_103,Plant_0,rape_str,208.4,13.1961226647012
CLUSTER_103,Plant_0,legume_str,84.58999999999999,13.1961226647012
CLUSTER_145,Plant_0,cattle_man,10356.0,26.37622574760403
CLUSTER_145,Plant_0,cattle_slu,40120.0,26.37622574760403
CLUSTER_145,Plant_0,horse_man,1174.0,26.37622574760403
CLUSTER_145,Plant_0,pig_man,104.2,26.37622574760403
CLUSTER_145,Plant_0,cereal_str,3860.0,26.37622574760403
CLUSTER_145,Plant_0,clover_alfalfa_grass,2908.808,26.37622574760403
CLUSTER_145,Plant_0,perm_grass,4152.0,26.37622574760403
CLUSTER_145,Plant_0,maize_str,1224.5,26.37622574760403
CLUSTER_145,Plant_0,beet_leaf,8238.0,26.37622574760403
CLUSTER_145,Plant_0,rape_str,1224.0,26.37622574760403
CLUSTER_145,Plant_0,legume_str,263.2,26.37622574760403
CLUSTER_162,Plant_0,cereal_str,2584.4309538295606,47.58759277398316
CLUSTER_162,Plant_0,clover_alfalfa_grass,3769.9,47.58759277398316
CLUSTER_171,Plant_0,cattle_man,11040.0,25.630341354227298
CLUSTER_171,Plant_0,cattle_slu,68600.0,25.630341354227298
CLUSTER_171,Plant_0,horse_man,1981.0000000000002,25.630341354227298
CLUSTER_171,Plant_0,pig_slu,14790.0,25.630341354227298
CLUSTER_171,Plant_0,beet_leaf,1955.9999999999998,25.630341354227298
CLUSTER_176,Plant_0,cattle_man,2533.2,17.242424129486125
CLUSTER_176,Plant_0,cattle_slu,12210.0,17.242424129486125
CLUSTER_176,Plant_0,horse_man,750.0,17.242424129486125
CLUSTER_176,Plant_0,pig_slu,1437.0,17.242424129486125
CLUSTER_176,Plant_0,pig_man,232.96,17.242424129486125
CLUSTER_176,Plant_0,cereal_str,5151.0,17.242424129486125
CLUSTER_176,Plant_0,clover_alfalfa_grass,1477.0,17.242424129486125
CLUSTER_176,Plant_0,perm_grass,9441.0,17.242424129486125
CLUSTER_176,Plant_0,maize_str,248.73000000000002,17.242424129486125
CLUSTER_176,Plant_0,beet_leaf,5962.1,17.242424129486125
CLUSTER_176,Plant_0,rape_str,773.6,17.242424129486125
CLUSTER_176,Plant_0,legume_str,185.1,17.242424129486125
CLUSTER_190,Plant_0,cattle_man,9509.0,15.058965303292563
CLUSTER_190,Plant_0,cattle_slu,51190.0,15.058965303292563
CLUSTER_190,Plant_0,horse_man,1595.7,15.058965303292563
CLUSTER_190,Plant_0,pig_slu,15330.0,15.058965303292563
CLUSTER_190,Plant_0,beet_leaf,1493.0,15.058965303292563
CLUSTER_229,Plant_0,horse_man,466.3,24.93070781462758
CLUSTER_229,Plant_0,pig_man,38.028209,24.93070781462758
