PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,Upgrading_tech1,32737204.95878736,24.14832468120613,0.11020935613623961,32737204.95878736,18947504.341398865,13789700.617388494,6.16305258006179,7.845486965829107,4.047041015400867,29.47980716663891,9.23526675465581,8760.0,49.76345010396675,10.426031180937702,0.0,0.0,0.0,0.0
B,Upgrading_tech1,6866968.39359029,-2.0466486785045888,0.023292215700432273,6866968.39359029,3914465.266965331,2952503.126624959,1.276983520235521,1.8770005885606005,0.7219233174443861,11.01103847485492,1.907962668374869,8760.0,48.850419897877885,11.74633195740246,0.0,0.0,0.0,0.0
C,Upgrading_tech1,46220356.10269368,27.545137869968862,0.1047607509848103,46220356.10269368,26245543.711749405,19974812.390944272,8.568302188583539,10.662223962348369,6.450447475387444,36.86004084270322,12.754680346531737,8760.0,49.28272065881865,12.256253982579375,0.0,0.0,0.0,0.0
D,FlexEEG_biogas,60000000.0,49.90773562489055,0.15616379867683206,60000000.0,32206182.358435035,27793817.641564965,18.448882569676638,6.734057529883816,6.208475230372927,34.32296261280163,0.0,8760.0,48.43108917943932,11.29787629540125,9.880460876330105,4.2384624230994845,2.568765104908779,1.7611941653382714
E,Upgrading_tech1,60000000.0,62.521582551000066,0.1545339936731227,60000000.0,34111051.086402014,25888948.913597986,11.133537670974775,13.55626774716422,7.259774799395637,43.69592899836637,16.62618202315486,8760.0,48.20684696854946,12.012979763620333,0.0,0.0,0.0,0.0
F,FlexEEG_biogas,30005000.000000007,15.306018058715036,0.10258525051479284,30005000.000000007,16732503.45727643,13272496.542723577,9.550719098071006,3.7731697878568635,3.3850274463135905,21.292417224225918,0.0,8760.0,50.12888374474623,11.84761918143194,5.133326388477651,2.202064384991407,1.3345844757523682,0.8807438488495807
G,FlexEEG_biomethane_tech1,60000000.0,205.6883455712745,0.37296175779254437,60000000.0,34320522.18193313,25679477.818066873,14.423275024204434,6.734057529883816,8.114688727275828,43.69592899836637,16.72828103365056,8760.0,47.93100019401797,12.570237543965584,2.5336829167115122,7.390993092923663,2.7374048492309866,1.7611941653382712
H,FlexEEG_biogas,30596145.90420398,14.5895264244996,0.09930784650350333,30596145.90420398,16781487.239574306,13814658.664629675,9.593452173832963,3.8343605497647806,3.3950551307468677,21.573167807383545,0.0,8760.0,49.29723527845827,10.484612644812955,5.148354010788872,2.2085108466769374,1.338491422228447,0.8980958941387084
I,Upgrading_tech1,42003000.0,34.528075113420456,0.12338235491923655,42003000.0,24059432.27674866,17943567.72325134,7.84139617683246,9.810162106939625,5.235344615874282,34.65691625788487,11.726888725702517,8760.0,48.591362333233874,13.304323733731383,0.0,0.0,0.0,0.0
J,FlexEEG_biomethane_tech1,60000000.0,205.17584655083505,0.37219340115639543,60000000.0,34348244.701483466,25651755.298516534,14.433502863463321,6.734057529883816,8.171932104266332,43.69592899836637,16.741793360052252,8760.0,47.704819746780906,10.437869887108333,2.53572950778086,7.396963192953868,2.7396159973903216,1.7611941653382712
K,Upgrading_tech1,54001000.00000001,44.852195957360635,0.1309052204763066,54001000.00000001,30700576.363049984,23300423.636950023,10.020385742829388,12.306560220333662,7.078578874690304,40.797574211858446,14.963871079050774,8760.0,47.79827729901043,11.34184774305326,0.0,0.0,0.0,0.0
L,Upgrading_tech1,33190827.8295595,18.42202281075687,0.09488455093070236,33190827.8295595,18919247.436014816,14271580.393544685,6.171928511619573,7.886791046820129,4.358013504242496,29.742422826431252,9.221493961459368,8760.0,49.71231309936623,11.964269007067855,0.0,0.0,0.0,0.0
M,FlexEEG_biogas,42003000.0,26.00153392142331,0.12134160373872627,42003000.0,23241350.721290834,18761649.278709166,13.275469553072853,4.998275651589892,4.8224356085195526,26.845944595278937,0.0,8760.0,50.1025109763638,11.117578826861903,7.130160723772881,3.058654720324759,1.8537301335301573,1.2329239754450567
N,FlexEEG_biogas,60000000.0,37.83494002689914,0.1311181927499332,60000000.0,32878393.64733469,27121606.35266531,18.797189997306234,6.734057529883816,7.346008405040408,34.32296261280164,0.0,8760.0,49.344264300148,11.253411910986838,10.08668703709271,4.326928117563835,2.6223806773114156,1.7611941653382712
O,FlexEEG_biogas,54001000.00000001,39.323741669678,0.14044721921899184,54001000.00000001,29738686.676763285,24262313.32323672,16.994255403889813,6.166444947723666,6.1704446748181185,31.920037837423124,0.0,8760.0,50.23689430528555,10.115536474374528,9.123463531101885,3.9137301214087556,2.3719576493386403,1.5851041020405332
P,FlexEEG_biogas,30005000.000000007,13.102945356440639,0.0945712856460641,30005000.000000007,16557089.188832166,13447910.81116784,9.459827895230067,3.7731697878568635,3.438156051073847,21.292417224225918,0.0,8760.0,49.90209364264335,9.476691618383398,5.079511447072165,2.1789791656070685,1.3205934337012537,0.8807438488495807
Q,FlexEEG_biomethane_tech1,18007000.0,59.04326961083653,0.2560810728352727,18007000.0,10492621.243518926,7514378.756481076,4.39967086632991,2.462315102073696,1.8746657696362246,20.148347573098903,5.114243775510937,8760.0,48.78714279700576,10.769888412188664,0.7746087036584474,2.2596069700342882,0.8368914703830698,0.5285637222541042
R,nonEEG_CHP,5000000.0,-10.888537282569112,,5000000.0,2798037.4792871643,2201962.5207128357,0.892685877391777,0.8191436154194762,0.4020704818670955,5.863037212598084,0.0,8760.0,48.9859952261635,12.948598803210228,0.0,0.0,0.0,0.0
S,FlexEEG_biomethane_tech1,32331969.946779992,116.63188167579662,0.3257984986873139,32331969.946779992,18880733.61774297,13451236.329037024,7.914832863606087,4.014039365008092,3.567202738228484,29.245204665516944,9.202721811889056,8760.0,48.58883272838263,12.518684972280344,1.3938538571373686,4.066003746048184,1.5059273133511795,0.9490479470693544
T,Upgrading_tech1,48002000.0,38.13425418908065,0.12432212666407882,48002000.0,27500771.48427609,20501228.515723914,8.962669838171859,11.088520638034648,6.315003886806004,37.790762217889,13.404243431743195,8760.0,48.25246076615605,10.49206911072586,0.0,0.0,0.0,0.0
