SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km
CLUSTER_108,A,cattle_man,372.4,43.48267892515856
CLUSTER_108,A,horse_man,2893.0,43.48267892515856
CLUSTER_108,A,pig_man,291.926,43.48267892515856
CLUSTER_134,A,cattle_man,8431.4,29.285180508295625
CLUSTER_134,A,horse_man,721.52,29.285180508295625
CLUSTER_134,A,pig_man,1021.56,29.285180508295625
CLUSTER_139,A,cattle_man,3032.51,43.96898028522914
CLUSTER_139,A,horse_man,980.3,43.96898028522914
CLUSTER_139,A,pig_man,42.67,43.96898028522914
CLUSTER_141,A,pig_man,111.971,50.95109099236865
CLUSTER_148,A,cattle_man,4501.0,19.63048404359735
CLUSTER_148,A,cattle_slu,36150.0,19.63048404359735
CLUSTER_148,A,horse_man,500.77,19.63048404359735
CLUSTER_148,A,pig_man,361.14175,19.63048404359735
CLUSTER_153,A,cattle_man,5103.062,23.775410828272832
CLUSTER_153,A,horse_man,1262.5,23.775410828272832
CLUSTER_153,A,pig_man,71.88691,23.775410828272832
CLUSTER_154,A,cattle_man,5634.1,23.65698531937003
CLUSTER_154,A,horse_man,347.6,23.65698531937003
CLUSTER_154,A,pig_man,309.885,23.65698531937003
CLUSTER_16,A,cattle_man,11750.6,29.66074293948328
CLUSTER_16,A,horse_man,1532.4,29.66074293948328
CLUSTER_16,A,pig_man,563.7029,29.66074293948328
CLUSTER_160,A,cattle_man,5620.0,34.978176494634184
CLUSTER_160,A,horse_man,2174.2,34.978176494634184
CLUSTER_160,A,pig_man,238.759,34.978176494634184
CLUSTER_161,A,pig_man,1184.0,49.97448363015407
CLUSTER_164,A,pig_man,46.635000000000005,64.1273386317853
CLUSTER_177,A,pig_man,779.21,49.918316795187806
CLUSTER_181,A,cattle_man,10934.199,22.478007255401888
CLUSTER_181,A,cattle_slu,14488.0,22.478007255401888
CLUSTER_181,A,horse_man,824.1,22.478007255401888
CLUSTER_181,A,pig_man,1482.4,22.478007255401888
CLUSTER_194,A,cattle_man,4180.5,27.248081530647028
CLUSTER_194,A,horse_man,974.4,27.248081530647028
CLUSTER_194,A,pig_man,308.943,27.248081530647028
CLUSTER_199,A,pig_man,341.399,61.3292109221677
CLUSTER_200,A,pig_man,508.565,57.92019798819157
CLUSTER_217,A,pig_man,542.22,49.45344633652268
CLUSTER_222,A,pig_man,43.141,40.27842078810764
CLUSTER_236,A,pig_man,144.7,45.2572792012248
CLUSTER_24,A,cattle_man,15326.0,24.173224370921357
CLUSTER_24,A,horse_man,1586.5,24.173224370921357
CLUSTER_24,A,pig_man,438.94,24.173224370921357
CLUSTER_242,A,cattle_man,11300.0,35.42453731350449
CLUSTER_242,A,horse_man,850.0,35.42453731350449
CLUSTER_242,A,pig_man,257.9398,35.42453731350449
CLUSTER_246,A,cattle_man,2279.3,39.48364628706461
CLUSTER_246,A,horse_man,1160.4,39.48364628706461
CLUSTER_246,A,pig_man,400.322,39.48364628706461
CLUSTER_247,A,pig_man,228.0,37.99840991181951
CLUSTER_251,A,horse_man,239.3,51.7526175136418
CLUSTER_251,A,pig_man,335.71000000000004,51.7526175136418
CLUSTER_265,A,pig_man,39.79,54.44119965832381
CLUSTER_272,A,cattle_man,3166.9,45.38266896788542
CLUSTER_272,A,horse_man,1033.0,45.38266896788542
CLUSTER_277,A,horse_man,190.5358677865565,52.36183155727053
CLUSTER_277,A,pig_man,203.959,52.36183155727053
CLUSTER_283,A,cattle_man,4490.4,21.03579743314312
