PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,EEG_CHP_large1,500000,0.5326171126306154,0.07894655110495385,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.022941527474191665,1.2677361912872562,0,8000.0,49.715464649326336,10.55895422648173,0,0,0,0
B,EEG_CHP_large1,500000,0.49325534374805535,0.07639049430602785,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.025514694658123796,1.2677361912872562,0,8000.0,48.12109180999548,12.45599336175814,0,0,0,0
C,EEG_CHP_large1,500000,0.5566961648893081,0.08049963056235154,456621.00456621003,286808.06839232735,169812.93617388266,0.2593653140271418,0.12310883420673013,0.01698924154603072,1.2677361912872562,0,8000.0,49.41572931769516,12.08958624916116,0,0,0,0
D,EEG_CHP_large1,500000,0.5002658963137323,0.07684734715055463,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.02505639910090293,1.2677361912872562,0,8000.0,48.34153079121238,10.619407844773292,0,0,0,0
E,EEG_CHP_large1,500000,0.6645990087243752,0.08736759369087665,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.014313574677790184,1.2677361912872562,0,8000.0,48.81820878827289,12.297379252014752,0,0,0,0
F,EEG_CHP_large1,500000,0.609807288043261,0.0838982719748187,456621.00456621003,291649.49666065,164971.50790556002,0.26374349826091203,0.12310883420673013,0.017895432445119312,1.2677361912872562,0,8000.0,48.97352700833465,10.964441780188364,0,0,0,0
G,EEG_CHP_large1,500000,0.5523667189650256,0.08022096105404608,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.02165045137781748,1.2677361912872562,0,8000.0,50.33956981591687,11.300914392589226,0,0,0,0
H,EEG_CHP_large1,500000,0.30682126495657824,0.06395941788712167,456621.00456621003,282599.90992865775,174021.09463755228,0.2555598062270173,0.12310883420673013,0.029518616827852503,1.2677361912872562,0,8000.0,49.76889015095403,9.2410857479456,0,0,0,0
I,EEG_CHP_large1,500000,0.5714097207308291,0.08144482657947161,456621.00456621003,291649.49666065,164971.50790556002,0.26374349826091203,0.12310883420673013,0.0204055676081493,1.2677361912872562,0,8000.0,48.75802589014527,13.131068617445017,0,0,0,0
L,EEG_CHP_large1,500000,0.540104070078697,0.0794302953395769,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.022452088260461803,1.2677361912872562,0,8000.0,50.20236554784325,9.865133944472616,0,0,0,0
M,EEG_CHP_large1,500000,0.5661109753880995,0.08110476512271236,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.02075195848485525,1.2677361912872562,0,8000.0,48.59630522041872,11.647814747139895,0,0,0,0
N,EEG_CHP_large1,500000,0.43831768446255004,0.07278533048672409,456621.00456621003,282599.90992865775,174021.09463755228,0.2555598062270173,0.12310883420673015,0.020922400725703446,1.2677361912872565,0,8000.0,49.9631690233205,11.82205920925671,0,0,0,0
O,EEG_CHP_large1,500000,0.5291186910460495,0.07872024915758513,456621.00456621003,291649.49666065,164971.50790556002,0.26374349826091203,0.12310883420673013,0.02317022714578981,1.2677361912872562,0,8000.0,49.275738973117214,11.314839689864774,0,0,0,0
P,EEG_CHP_large1,500000,0.5985460986442417,0.08318067373450488,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.018631601673185737,1.2677361912872562,0,8000.0,48.32330337226768,12.776355457482383,0,0,0,0
Q,EEG_CHP_large1,500000,0.1671668157358226,0.05423314017502423,456621.00456621003,272502.6559272042,184118.34863900582,0.24642869122882818,0.12310883420673015,0.029517026645916586,1.2677361912872565,0,8000.0,47.75960436168763,11.71473472453136,0,0,0,0
R,EEG_CHP_large1,500000,0.615555287896989,0.0842639414037889,456621.00456621003,291649.49666065,164971.50790556002,0.26374349826091203,0.12310883420673013,0.01751967279262534,1.2677361912872562,0,8000.0,49.16788715242737,10.443101087628612,0,0,0,0
T,EEG_CHP_large1,500000,0.1787502848724647,0.05505545701192993,456621.00456621003,287545.25241006515,169075.75215614485,0.2600319618147306,0.12310883420673013,0.04236305985390984,1.2677361912872562,0,8000.0,47.75671337601277,12.83782483417177,0,0,0,0
U,EEG_CHP_large1,500000,0.6307754204786049,0.08523022896617838,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.016524698562403194,1.2677361912872562,0,8000.0,48.84824758892444,11.824515292690378,0,0,0,0
V,EEG_CHP_large1,500000,0.5830549359952775,0.08219090319001743,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.019644293747269077,1.2677361912872562,0,8000.0,49.9492883777276,10.610599251121982,0,0,0,0
W,EEG_CHP_large1,500000,0.4768564403798916,0.07531905465527422,456621.00456621003,291443.714037588,165177.29052862202,0.26355740560685603,0.12310883420673013,0.026400635126495015,1.2677361912872562,0,8000.0,49.82262455124026,11.013765666210508,0,0,0,0
Y,EEG_CHP_large1,500000,0.6710787762588624,0.08777551939999118,456621.00456621003,291649.49666065,164971.50790556002,0.26374349826091203,0.12310883420673013,0.01388997772946704,1.2677361912872562,0,8000.0,48.83459302299672,10.602947644846882,0,0,0,0
Z,EEG_CHP_large1,500000,0.4066500959990109,0.07068617393775356,456621.00456621003,291649.49666065,164971.50790556002,0.26374349826091203,0.12310883420673013,0.031176274099053942,1.2677361912872562,0,8000.0,49.14934414075783,12.754353691734725,0,0,0,0
AA,EEG_CHP_large1,500000,0.6555638325947915,0.08679797660759636,456621.00456621003,291649.49666065007,164971.50790555996,0.2637434982609121,0.12310883420673013,0.014904224421887245,1.2677361912872562,0,8000.0,48.42627688873474,11.071020401086622,0,0,0,0
AB,EEG_CHP_large1,500000,0.5492988440719668,0.08002334205836692,456621.00456621003,291649.4966606501,164971.50790555993,0.26374349826091215,0.12310883420673013,0.02185100524577962,1.2677361912872562,0,8000.0,48.18369574363663,12.136260903314422,0,0,0,0
