PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,EEG_CHP_large1,500000,0.23628890072998487,0.05909697156670757,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104924,0.12310883420673015,0.011613397479491099,1.2677361912872565,0,8000.0,48.666363092386376,12.104532486315504,0,0,0,0
B,EEG_CHP_large1,500000,0.19540200603630553,0.05623236512489305,456621.00456621003,291649.4966606501,164971.50790555993,0.2330437279110493,0.12310883420673015,0.014286265561018799,1.2677361912872565,0,8000.0,50.26081961073022,10.886919098099094,0,0,0,0
D,EEG_CHP_large1,500000,0.13887092226774334,0.0522115481220109,456621.00456621,291649.49666065,164971.50790555996,0.23304372791104924,0.12310883420673015,0.017981829397577677,1.2677361912872565,0,7999.999999999998,49.16607901825271,10.990402300074864,0,0,0,0
E,EEG_CHP_large1,500000,0.10354786958713236,0.049661325639067666,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104924,0.12310883420673015,0.020290976638018973,1.2677361912872565,0,8000.0,49.043291155657,12.711153487472693,0,0,0,0
I,EEG_CHP_large1,500000,0.1774461931491269,0.054963028589294805,456621.00456621003,291649.49666065,164971.50790556002,0.2330437279110492,0.12310883420673015,0.01546007735336889,1.2677361912872565,0,8000.0,48.30690523917162,11.179757087283864,0,0,0,0
K,EEG_CHP_large1,500000,0.2039454306634374,0.05683385496698312,456621.00456621003,291649.49666065,164971.50790556002,0.2330437279110492,0.12310883420673015,0.013727762716430504,1.2677361912872565,0,8000.0,49.6502121994487,10.09736434295418,0,0,0,0
M,EEG_CHP_large1,500000,0.2243072469562497,0.05826114363415558,456621.00456621003,291649.49666065007,164971.50790555996,0.2330437282215624,0.12310883420673015,0.012396665391412109,1.2677361912872565,0,8000.0,48.44498871651552,13.266637745525768,0,0,0,0
N,EEG_CHP_large1,500000,0.10509315523141383,0.04977352771935717,456621.00456621003,291649.49666065,164971.50790556002,0.2330437279110489,0.12310883420673015,0.020189957846878163,1.2677361912872565,0,8000.0,49.93607580856084,9.833373693755023,0,0,0,0
O,EEG_CHP_large1,500000,0.15263002875422305,0.05319687109240889,456621.00456621003,291649.4966606501,164971.50790555993,0.2330437279110493,0.12310883420673015,0.01708236572263799,1.2677361912872565,0,8000.0,49.5495698256523,11.883677074814187,0,0,0,0
P,EEG_CHP_large1,500000,0.14727462378275313,0.05281388194595382,456621.00456621003,291649.49666064995,164971.50790556008,0.23304372791104921,0.12310883420673015,0.017432460566453676,1.2677361912872565,0,8000.0,48.66609059008647,11.144169861897613,0,0,0,0
R,EEG_CHP_large1,500000,0.12106903155878679,0.050930078117070954,456621.00456621003,291649.4966606503,164971.5079055597,0.23304372791104952,0.12310883420673015,0.019145578951641533,1.2677361912872565,0,8000.0,48.998111909651,11.718766984934298,0,0,0,0
S,EEG_CHP_large1,500000,0.13966737097053605,0.05226870449702736,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104924,0.12310883420673015,0.01792976375815416,1.2677361912872565,0,8000.0,48.19446097426649,12.33910331595242,0,0,0,0
U,EEG_CHP_large1,500000,0.1272242982048022,0.0513740225633883,456621.00456621003,291649.49666065,164971.50790556002,0.23304372791104924,0.12310883420673015,0.0187431953547776,1.2677361912872565,0,8000.0,49.98017326683306,10.564270412482411,0,0,0,0
Y,EEG_CHP_large1,500000,0.13722215603350763,0.052093178479484026,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104924,0.12310883420673015,0.018089612947157687,1.2677361912872565,0,8000.0,49.38235611505287,12.45867160163661,0,0,0,0
Z,EEG_CHP_large1,500000,0.2070575220063442,0.05705256902112499,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104924,0.12310883420673015,0.0135243183198929,1.2677361912872565,0,8000.0,48.59017158615941,12.49862278136052,0,0,0,0
AA,EEG_CHP_large1,500000,0.1818787802041013,0.055277037521887395,456621.00456621003,291649.49666065065,164971.50790555938,0.23304372791104946,0.12310883420673015,0.015170309188127123,1.2677361912872565,0,8000.0,50.36175350984132,10.287182495229525,0,0,0,0
AC,EEG_CHP_large1,500000,0.1979641773575085,0.05641291692822725,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372828188416,0.12310883420673015,0.01411877104149437,1.2677361912872565,0,8000.0,48.69609891132686,10.498375922696994,0,0,0,0
AD,EEG_CHP_large1,500000,0.12204172737361185,0.05100029394230843,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104924,0.12310883420673015,0.019081991642896954,1.2677361912872565,0,8000.0,48.74556133719264,11.67581925311732,0,0,0,0
AE,EEG_CHP_large1,500000,0.12065485119993791,0.05090017280006265,456621.00456621003,291649.49666065,164971.50790556002,0.2330437279110492,0.12310883420673015,0.019172654851375214,1.2677361912872565,0,8000.0,49.51847888412079,10.77556728721559,0,0,0,0
AG,EEG_CHP_large1,500000,0.14007230343205923,0.052297758359767466,456621.00456621003,291649.4966606497,164971.5079055603,0.2330437279110491,0.12310883420673015,0.01790329241422613,1.2677361912872565,0,8000.0,48.447046879001576,11.850387603386467,0,0,0,0
AH,EEG_CHP_large1,500000,0.18420289651010657,0.05544150655621394,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104924,0.12310883420673015,0.015018376488453345,1.2677361912872565,0,8000.0,48.2202757818664,10.771847133017594,0,0,0,0
AI,EEG_CHP_large1,500000,0.11600082183468907,0.050563848778073295,456621.00456621003,291649.4966606498,164971.50790556025,0.23304372791104924,0.12310883420673015,0.019476899197493094,1.2677361912872565,0,8000.0,49.76012744052586,11.966781379179158,0,0,0,0
AK,EEG_CHP_large1,500000,0.1791845787144788,0.05508622951018283,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104924,0.12310883420673015,0.015346435186952813,1.2677361912872565,0,8000.0,48.657968473893504,13.178484443289442,0,0,0,0
AL,EEG_CHP_large1,500000,0.18105156336348593,0.055218469689325866,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104927,0.12310883420673015,0.015224386209782573,1.2677361912872565,0,8000.0,49.492546127430096,10.448978888108046,0,0,0,0
AN,EEG_CHP_large1,500000,0.14970276316956355,0.05298761150671627,456621.00456621003,291649.4966606498,164971.50790556025,0.2330437279110493,0.12310883420673015,0.01727372764449604,1.2677361912872565,0,8000.0,49.94730322054805,12.200481219749262,0,0,0,0
AP,EEG_CHP_large1,500000,0.12912115768508192,0.05151064872361144,456621.00456621003,291649.49666065007,164971.50790555996,0.2330437279110493,0.12310883420673015,0.018619193392829574,1.2677361912872565,0,8000.0,49.18292784231091,10.312608061058151,0,0,0,0
AT,EEG_CHP_large1,500000,0.2075335799237814,0.057086007585676724,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104924,0.12310883420673015,0.013493197345262546,1.2677361912872565,0,8000.0,48.79168101769955,12.349468255289642,0,0,0,0
AU,EEG_CHP_large1,500000,0.13475243216374522,0.05191574975354296,456621.00456621003,291649.49666065007,164971.50790555996,0.23304372791104924,0.12310883420673015,0.01825106434010718,1.2677361912872565,0,8000.0,48.29631554432875,12.652150055506311,0,0,0,0
